Name,score,userscore,tag,roca,url,menu,coordinate
부산 부민동,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
백초밥,41점,5.0점,회전초밥   초밥,부산광역시 서구 부민동1가 11-4 ,https://www.diningcode.com/profile.php?rid=HUu1vQ9ItTSK,  점심특선 :7900원   백초밥 시그니처 세트 추천 :13000원   백초밥 프리미엄 세트 추천 :20000원   백초밥 활어세트 :18000원   백초밥 생연어 세트 :16000원   백초밥 광어세트 :19000원   백초밥 생 연어 + 광어 :17000원  ,"X :129.021068, Y :35.1044166"
가네쉬,41점,4.6점,카페   요거트,부산광역시 서구 부민동2가 12-7 ,https://www.diningcode.com/profile.php?rid=C27t4K67gNzu,  포켓 요거트 [그릭] :3400원   포켓 요거트 [크리미] :2500원   애플시나몬 룰루놀라 :10000원   카카오 룰루놀라 :10000원   클래식 룰루놀라 :9500원   오네쉬 그릭 요거트 :9000원   오네쉬 무가당 크리미 요거트 :5000원   오네쉬 크리미 요거트 :5000원   리얼후르츠요거트 :7000원   요거트그링크 :5000원   진저 밀크티 :6000원   넛츠펙 :1500원   오네쉬크리미요거트 M :5700원   오네쉬무가당크리미요거트 M :5700원   오네쉬그릭요거트 M :6700원   하프&하프(크리미+그릭) M :6700원   하프&하프(무가당크리미+그릭) M :6700원   오네쉬크리미요거트 S :2400원   오네쉬무가당크리미요거트 S :2400원   오네쉬그릭요거트 S :2900원   하프&하프(크리미+그릭)S :2900원   하프&하프(무가당크리미+그릭)S :2900원  ,"X :129.019551, Y :35.1024593"
투고샐러드,40점,4.0점,샐러드   훈제연어샐러드,부산광역시 서구 부민동1가 4-6 ,https://www.diningcode.com/profile.php?rid=rO3KkPL4qBil,  치폴레 포크 그랩샐러드 추천 :6500원   바질 치킨 그랩샐러드 추천 :6500원   치킨쿠스쿠스 :7500원   쉬림프쿠스쿠스샐러드 :9500원   훈제연어쿠스쿠스샐러드 :9500원   콩앤콩샐러드 :6900원   연두부샐러드 :5900원   단호박스프 :3900원   스윗콘스프 :3900원   양송이스프 :3900원   갈릭 치킨 그랩샐러드 추천 :6500원   목살스테이크샐러드 추천 :8900원   닭가슴살스테이크샐러드 추천 :8900원   닭다리살스테이크샐러드 추천 :8900원   치폴레파스타샐러드 추천 :7200원   바질파스타샐러드 :7900원   분짜샐러드 추천 :9500원   리코타치즈샐러드 :8500원  ,"X :129.020307, Y :35.1051232"
영의루,39점,4.2점,중국집   고추간짜장,부산광역시 서구 부민동2가 10-6 ,https://www.diningcode.com/profile.php?rid=PuSvDUKPsMuv,  냉면 :5500원   깐풍 새우튀김 :35000원   새우튀김 :35000원   팔보채 :33000원   전가복 :55000원   짜장면 :6000원   군만두 :8000원   물만두 :8000원   찐만두 :8000원   꽃빵 :8000원  ,"X :129.019734, Y :35.1027626"
동대문엽기떡볶이 동아대부민점,39점,4.4점,떡볶이,부산광역시 서구 부민동1가 16-1 ,https://www.diningcode.com/profile.php?rid=PCDk9tV8q3Uk,  엽기떡볶이 추천 :14000원   로제떡볶이 추천 :16000원   베스트세트 :20000원   스페셜세트 :25000원   닭발세트 :17500원   주먹김밥(셀프) :2000원   참치마요밥 :3500원   엽기오돌뼈밥 :4500원   오뎅탕 :6000원   계란찜 :2000원   계란야채죽 :5000원   오뎅튀김(15개) :2000원   짜장떡볶이 추천 :16000원   오징어튀김(1개) :1000원   엽봉(5개) :5000원   모둠튀김 :2000원   김말이 (3개) :2000원   야채튀김 (1개) :1000원   만두 (4개) :2000원   바삭치즈만두 (7개) :2000원   순대 (300g) :3000원   엽도그 :2000원   공기밥 :1000원   엽기닭볶음탕 추천 :24000원   떡추가 :1000원   오뎅 추가 :1000원   모짜치즈 :3000원   햄 :1000원   베이컨 :3000원   퐁당치즈만두 (7개) :2000원   계란 (2개) :1500원   메추리알 (5개) :1000원   우동사리 :2000원   당면사리 :2000원  :2인엽기떡볶이 :9000원   중국당면 :2500원   분모자 :2500원   엽기오돌뼈 :14000원   엽기무뼈닭발 :15000원   엽기국물닭발 :15000원   엽떡 밀키트 추천 :15000원   실속세트 :17500원  ,"X :129.020295, Y :35.1041951"
닭잡는파로,36점,4.0점,쌈밥   닭,부산광역시 서구 부민동2가 10-9 ,https://www.diningcode.com/profile.php?rid=ZWVmXoXM0vIq,  닭쌈밥 :7500원  ,"X :129.019708, Y :35.1026279"
에피소드인커피,36점,3.5점,카페   커피,부산광역시 서구 부민동2가 9-6 ,https://www.diningcode.com/profile.php?rid=HDTP1FT3liWn,  에스프레소 :3000원   아메리카노 :3500원   카페라떼 :4000원   헤이즐넛라떼 :4500원   허니브레드 :5500원  ,"X :129.018825, Y :35.1032644"
이태리광수,36점,4.0점,이태리   깔조네,부산광역시 서구 부민동3가 28-3 ,https://www.diningcode.com/profile.php?rid=f4KLn15UKLBa,  얼큰토마토 :12000원   치킨오이스터 :12000원   매콤해물볶음 :12000원   불닭파스타 :12000원   베이컨크림 :12000원   해물로제 :12000원   치킨커리 :12000원   크림새우 :12000원   광수올리오 :12000원   고구마 깔조네 :12000원   치킨칠리 깔조네 :12000원   토마토 깔조네 :12000원   커리 깔조네 :12000원  ,"X :129.018247, Y :35.1038508"
