Name,score,userscore,tag,roca,url,menu,coordinate
부산 장안읍,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
웨이브온커피,58점,4.0점,커피   아메리카노,부산광역시 기장군 장안읍 월내리 553 ,https://www.diningcode.com/profile.php?rid=oiGlPX3PGzL3,  브루잉 커피(드립 커피) 추천 :7500원   블루 오션 웨이브 추천 :9000원   오렌지 마멀 에이드 (ICE Only) :7500원   레드웨이브 (자몽차/자몽에이드) :7500원   그린라이티 에이드 (ICE Only) :8000원   웨이브온 코코 :8500원   홍차 :7000원   허브차 :7000원   디카페인 커피 변경 :500원   크림 치즈롤 :7000원   프로마쥬 블랑 :8000원   생딸기 티라미수 :10000원   고구마롤 추천 :8500원   티라미수 :7500원   몽블랑 :8000원   딸기 숲 타르트 :8500원   초코바나나 차차 :8500원   옥수수 쉬폰 :16500원   플레인 고메 스콘 :4500원   시나몬 피칸 스콘 :4500원   쑥절미 다쿠와즈 :4500원   피넛크런치 라떼 추천 :7500원   월내 라떼 추천 :7500원   아메리카노 :6000원   카페 라떼 :6500원   바닐라 라떼 :7000원   풀문 커피(Cold Brew) :7500원   고소 통밀 라떼 :7500원  ,"X :129.269781, Y :35.3222925"
도토리,53점,4.1점,케이크   아이스아메리카노,부산광역시 기장군 장안읍 장안리 409 ,https://www.diningcode.com/profile.php?rid=T2qQT2uS3hJv,  리치 스프링 추천 :7500원   화이트 온더 블랙 추천 :6500원   아포가토 AFFOGATO :7500원   블랙 버터 비어 추천 :7000원   쑥 크림 라떼 :7500원   도토리 시나몬 티 & 에일 추천 :7500원   자몽 얼그레이 티 & 에이드 :7500원   카페 라떼 :7000원   카푸치노 :6500원   플랫 화이트 :6500원   콜드브루 :7000원  ,"X :129.243149, Y :35.3699078"
마포면옥,51점,4.5점,만두   물밀면,부산광역시 기장군 장안읍 월내리 257-26 ,https://www.diningcode.com/profile.php?rid=35UnFHF5AFA7,  물밀면/비빔밀면 :7000원   찐만두(10개) :5000원   갈비탕 :10000원  ,"X :129.279817, Y :35.3284834"
원대복집,45점,4.4점,복국   복집,부산 기장군 장안읍 길천리 205-3 원대복집 ,https://www.diningcode.com/profile.php?rid=ixGTlCeQIDtC,  복국 :11000원   복매운탕 :11000원   복수육 대 :45000원   복찜 대 :3500050000원   수육 :60000원   복수육 소 :35000원   복찜 소 :40000원   까치복 :15000원   호박전 반죽 :10000원   양념게장 :10000원  ,"X :129.281735, Y :35.3294205"
보몽드,44점,4.3점,카페   디저트,부산광역시 기장군 장안읍 반룡리 56-7 ,https://www.diningcode.com/profile.php?rid=LLcAKXOi0UTh,  보몽드 아인슈페너 추천 :9000원   아메리카노 :7500원   요거트스무디 :9000원   딸기요거트스무디 :9000원   한라봉스무디 :9000원   허니 자몽 블랙티 :10000원   유자카모마일 :10000원   블루베리 자스민 :10000원   레몬녹차 :10000원   자몽에이드 :9000원   청포도에이드 :9000원  :100%오렌지쥬스 :10000원   카페라떼 :8000원   바닐라라떼 :8500원   돌체라떼 :8500원   카페모카 :8500원   보몽드쇼콜라 추천 :10000원   로얄밀크티 :9000원   그린티라떼 :8500원   딸기라떼 :9000원  ,"X :129.268161, Y :35.3347310"
장안집,43점,4.0점,백숙   오리불고기,부산광역시 기장군 장안읍 장안리 421 ,https://www.diningcode.com/profile.php?rid=356LSIDWCJl5,  메기매운탕 :38000~55000   자연산피리매운탕 :38000~55000   섞어매운탕 :45000~65000   참게메기매운탕 :50000~70000   오리불고기 :50000원   한방백숙 :60000원   한방옻백숙 :70000원   한방능이백숙 :80000원   오리 닭볶음탕 :60000원  ,"X :129.244334, Y :35.3698137"
장수물회,42점,5.0점,물회   성게알밥,부산광역시 기장군 장안읍 임랑리 94-11 ,https://www.diningcode.com/profile.php?rid=jSmSQ82Y99IZ,  물회 :18000원   물회국수 :18000원   회덮밥 :18000원   가자미물회 :20000원   성게알밥 :18000원  ,"X :129.261561, Y :35.3176707"
한돈돈까스,42점,4.5점,돈까스   함박스테이크,부산광역시 기장군 장안읍 용소리 244-1 ,https://www.diningcode.com/profile.php?rid=R4cGvxvFOMFD,  옛날돈까스 :10000원   함박스테이크 :10000원   우동 :6000원  ,"X :129.248322, Y :35.3406613"
Art cafe ink,42점,4.2점,드로잉카페   아메리카노,부산광역시 기장군 장안읍 월내리 141-3 ,https://www.diningcode.com/profile.php?rid=xpqtnQo64d9X,  잉크코코넛라떼 :7500원   잉크레몬에이드 :7500원   아인슈페너 :7000원   초콜릿잉크 :7000원   아메리카노 :5000원   카페라떼 :6000원   콜드브루 :5000원   바닐라크로플 :6500원  ,"X :129.275694, Y :35.3261192"
웨스,42점,3.7점,무스케익   카페,부산광역시 기장군 장안읍 임랑리 141-1 ,https://www.diningcode.com/profile.php?rid=fkOIGkEbQmaN,  아메리카노 :5500원   헤이즐넛 초코 쿠키 :3200원  ,"X :129.263024, Y :35.3173370"
속시원한대구탕,41점,5.0점,대구탕   대구뽈찜,부산광역시 기장군 장안읍 길천리 212-1 ,https://www.diningcode.com/profile.php?rid=ywsVpJhyDCWL,  대구탕 :8000원   생대구탕 :14000원   뽈찜(소~대) :25000~35000   매운탕 :10000원   생뽈찜(소~대) :40000~50000   생수육(소~대) :40000~50000   생대구조림(소~대) :40000~50000  ,"X :129.282193, Y :35.3296821"
대문집,39점,5.0점,한정식   생선구이,부산광역시 기장군 장안읍 길천리 188-18 ,https://www.diningcode.com/profile.php?rid=WYcPwboOCe1y,  생갈치구이 :35000원   갈치찌개 :35000원   생선구이 정식     모듬구이 정식 :23000원  ,"X :129.284643, Y :35.3268875"
생어거스틴 부산프리미엄아울렛점,39점,5.0점,태국음식   뿌팟봉커리,부산광역시 기장군 장안읍 좌천리 545 ,https://www.diningcode.com/profile.php?rid=B4s222dCinr5,  왕새우 팟타이 :18000원   스파이시 타이 칠리 누들 :15000원   생어거스틴 누들 :14000원   꾸웨이띠오 :10000원   오리엔탈 왕새우튀김 :37000원   쁘라 텃 스문플라이 :30000원   칠리 앤 사워 피시커리 :28000원   바질 소고기볶음 :25000원   아시안 바질 폭찹 :22000원   폭 칠리 페이스트볶음 :21000원   소고기 숙주볶음 :16000원  ,"X :129.234971, Y :35.3238330"
장안숲 므로,39점,5.0점,카페   애견카페,부산광역시 기장군 장안읍 기룡리 산192-3 ,https://www.diningcode.com/profile.php?rid=KhOT0qHxSbUQ,  반려견입장료/犬당 :6000원   견주입장료/인당 :6000원  ,"X :129.253975, Y :35.3414571"
소담소담,39점,5.0점,한식,부산광역시 기장군 장안읍 반룡리 904-4 ,https://www.diningcode.com/profile.php?rid=RAn7SkzkgWnh,없음,"X :129.254987, Y :35.3303908"
아름식당,39점,5.0점,김치찌개   한식,부산광역시 기장군 장안읍 월내리 132-33 ,https://www.diningcode.com/profile.php?rid=oPrhK9PleFoO,  갈치찌개 소 :35000원   돼지두루치기 소 :25000원   오늘의 정식 :8000원   특선:1인분 :10000원   김치찌개 :8000원   된장찌개 :8000원   비빔밥 :8000원  ,"X :129.276700, Y :35.3259200"
해뜨는돼지국밥,39점,5.0점,돼지국밥   수육,부산광역시 기장군 장안읍 월내리 132-56 ,https://www.diningcode.com/profile.php?rid=cDOs6XGA17Jq,없음,"X :129.277597, Y :35.3265609"
오드이븐 기장점,39점,5.0점,카페   디저트,부산광역시 기장군 장안읍 좌동리 3 ,https://www.diningcode.com/profile.php?rid=aPolWP9UGWS3,  아메리카노 :5000원   플랫화이트 :5500원   카페라떼 :5500원   카푸치노 :5500원   바닐라라떼 :6000원   홀짝홀짝’숲’ :6500원   사과나무에이드 :6500원   쑥떡쑥떡 :6000원   말차라떼 :6000원  ,"X :129.248516, Y :35.3345572"
솔밭꽃게탕,39점,5.0점,꽃게탕   횟집,부산광역시 기장군 장안읍 월내리 554-22 ,https://www.diningcode.com/profile.php?rid=yY0dAMkyG7DT,  꽃게탕 소 :30000원   꽃게탕 중 :45000원   꽃게탕 대 :55000원   꽃게탕 특대 :65000원   공기밥 :1000원  ,"X :129.267415, Y :35.3218143"
함무바한식,39점,5.0점,한식,부산광역시 기장군 장안읍 반룡리 906-2 ,https://www.diningcode.com/profile.php?rid=RbMlZHHgXkKy,없음,"X :129.255334, Y :35.3297896"
노들강변,39점,4.0점,한식,부산광역시 기장군 장안읍 기룡리 1067-26 ,https://www.diningcode.com/profile.php?rid=6k7ggv3b1WXO,  촌닭양념구이 :50000원   닭백숙 :50000원   닭도리탕 :50000원   옻닭 옻오리 :60000원   버섯전골 :20000원  ,"X :129.254284, Y :35.3486240"
배나무집,38점,4.3점,추어탕   돼지짜글이,부산광역시 기장군 장안읍 길천리 208-10 ,https://www.diningcode.com/profile.php?rid=PspQEnMRuUZZ,  명품추어탕 추천 :11000원   얼큰추어탕 :12000원   생오리주물럭(3~4인) :48000원   소왕뼈갈비찜 :90000원   불맛제육볶음 :45000원   미꾸라지튀김 :12000원   새우튀김 :17000원   우렁추어탕 :14000원   골프채왕갈비탕 추천 :15000원   전복왕갈비탕 :19000원   한방삼계탕 :15000원   전복한방삼계탕 :19000원   통돼지짜글이 추천 :12000원   오리부추불고기 추천 :48000원   커플오리부추불고기 :32000원  ,"X :129.282229, Y :35.3290146"
