Name,score,userscore,tag,roca,url,menu,coordinate
부산 용호동,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
합천국밥집,63점,4.4점,돼지국밥   따로국밥,부산광역시 남구 용호동 554-3 ,https://www.diningcode.com/profile.php?rid=5rr1t7JcgLAR,  따로국밥 :10000원   수육백반 :11000원   모듬수육 소 :30000원   모듬수육 대 :40000원   모듬수육 중 :35000원   수육 중 :35000원   수육 대 :40000원   수육 소 :30000원   섞어따로국밥 :10000원   내장따로국밥 :10000원   순대따로국밥 :10000원   모듬따로국밥 :10000원   순대 소 :25000원   순대 대 :30000원  ,"X :129.111274, Y :35.1112694"
용호동할매 팥빙수단팥죽 본점,61점,4.1점,팥빙수   붕어빵,부산광역시 남구 용호동 148-2 ,https://www.diningcode.com/profile.php?rid=6QNSdi6nC2lr,  팥빙수 :3500원   단팥죽 :3500원   붕어빵 (1개) 겨울메뉴 :1500원   대패밀크팥빙수 :4500원  ,"X :129.111106, Y :35.1243120"
귀화식당,58점,4.1점,이자카야   오무라이스,부산광역시 남구 용호동 957-1 ,https://www.diningcode.com/profile.php?rid=nknpRyuV7vto,  모듬사시미 :40000원   오므라이스 :8500원   함박스테이크 :22000원   해수 우니(성게알) :30000원   활꽃게 숯불구이 :35000원   한우 치맛살 타타키 :25000원   활가리비 성게알 숯불구이 :25000원   국내산 이면수 소금구이 :17000원  ,"X :129.112736, Y :35.1322137"
차이나반점,52점,4.7점,중식당   탕수육,부산광역시 남구 용호동 530-48 ,https://www.diningcode.com/profile.php?rid=nxalFvcgBTKA,  짜장면 :5000원   우동 :6000원   짬뽕 :6000원   간짜장 :6000원   짬뽕밥 :6500원   볶음밥 :6500원   잡채밥 :6500원   짜장밥 :6500원   오므라이스 :7000원   구름유산슬 :45000원   삼선짜장 :80000원   삼선우동 :9000원   삼선짬뽕 :9000원   삼선간짜장 :9000원   삼선볶음밥 :9000원   사천짜장 :8000원   잡탕밥 :15000원   만두 :5000원   회과육 :30000원   쏘스만두 :6000원   짬뽕국 :15000원   계란탕 :15000원   잡채 :15000원   탕수육 :19000원   라조기 :30000원   라조육 :30000원   난자완스 :35000원   소고기탕수육 :30000원   팔보채 :35000원   깐풍기 :30000원   깐풍새우 :35000원   새우칠리 :35000원   유산슬 :35000원   양장피 :35000원   고추잡채 :35000원   동파육 :30000원   함승식냉면 :8000원   평양식냉면 :7000원   밀면 :6000원   탕수육밥 :13000원   쟁반짜장:2인분 :18000원   쟁반짬뽕:2인분 :20000원   차돌짬뽕 :10000원   띵밥 :9000원   탕수육 소 :21000원  ,"X :129.112870, Y :35.1132151"
태화반점,52점,4.3점,짜장면   중국집,부산광역시 남구 용호동 957-1 ,https://www.diningcode.com/profile.php?rid=ORoyRz0Sp9KO,  양장피 :35000원   광동식탕수육 :22000원   사천식마파두부 :18000원  ,"X :129.112736, Y :35.1322137"
문현곱창,48점,4.7점,곱창   곱창전골,부산광역시 남구 용호동 494-58 ,https://www.diningcode.com/profile.php?rid=Sj9TYNJ2Dbba,  곱창 :8000원   양념곱창 :8000원   곱창전골 대 :39000원   곱창전골 중 :34000원   삼겹살 :8000원  ,"X :129.111927, Y :35.1178635"
착한생오리,47점,5.0점,오리고기   생오리,부산광역시 남구 용호동 86-23 ,https://www.diningcode.com/profile.php?rid=4SSk515SVb34,  유황생오리 양념불고기(2인분) :29000원   유황생오리 소금구이(2인분) :29000원   유황생오리 훈제구이(2인분) :29000원   볶음밥 :2000원   소금구이 반마리 추가(1인분) :15000원   양념구이 반마리 추가(1인분) :15000원   훈제구이 반마리 추가(1인분) :15000원   소주 :4000원   맥주 :4000원   음료수 :2000원  ,"X :129.114151, Y :35.1237453"
봄여름가을겨울 콩나물해장국집,47점,5.0점,콩나물국밥   콩나물해장국,부산광역시 남구 용호동 176-8 ,https://www.diningcode.com/profile.php?rid=ZzTgDuEUU1zK,  콩나물해장국 :6000원   콩나물 따로 해장국 :6000원   콩나물 우동 해장국 :6000원   콩나물 소고기 해장국 :6500원   콩나물 소고기 따로 해장국 :6500원   콩나물 황태  해장국 :6500원   들깨 콩나물 해장국 :7500원  ,"X :129.109055, Y :35.1272945"
