영도구이,31점,4.0점,한식,부산 영도구 봉래동1가 48-8 ,https://www.diningcode.com/profile.php?rid=paKJ8NGBaKMF,"X :129.039529, Y :35.0936179"
고고돈까스,31점,3.0점,돈까스   크림돈까스,부산광역시 영도구 봉래동3가 179-5 ,https://www.diningcode.com/profile.php?rid=72yib9EJpxMe,"X :129.044995, Y :35.0951750"
경주집,31점,4.0점,곱창볶음   곱창전골,부산광역시 영도구 봉래동2가 36-3 ,https://www.diningcode.com/profile.php?rid=NjFtUjZnUFnT,"X :129.042706, Y :35.0926092"
하이오커피 영도센트럴에일린점,31점,0.0점,카페   커피,부산광역시 영도구 봉래동4가 69-1 ,https://www.diningcode.com/profile.php?rid=Hr0aKrW2wlRr,"X :129.047500, Y :35.0935918"
오늘도카츠,31점,0점,돈카츠   로스카츠,부산광역시 영도구 봉래동3가 90-4 ,https://www.diningcode.com/profile.php?rid=ZYzsDAri5HHM,"X :129.045542, Y :35.0937780"
카페 델마르,31점,3.0점,카페   아메리카노,부산시 영도구 봉래동2가 151-1 홈플러스영도점 2층 ,https://www.diningcode.com/profile.php?rid=J2Hj5iYNJ1os,"X :129.044236, Y :35.0959268"
대우회센타,31점,3.0점,물회   참가자미물회,부산광역시 영도구 봉래동2가 73-1 ,https://www.diningcode.com/profile.php?rid=IKxfNZJf44a1,"X :129.042135, Y :35.0934659"
이화집,31점,리뷰없음,삼계탕   옻닭,부산 영도구 봉래동3가 163-2 ,https://www.diningcode.com/profile.php?rid=R9py8mTMgFdo,"X :129.045604, Y :35.0953810"
황제쟁반짜장,31점,1.0점,중국집   쟁반짜장,부산광역시 영도구 봉래동3가 161-8 ,https://www.diningcode.com/profile.php?rid=BbaZhU1ia5KB,"X :129.045177, Y :35.0950007"
인생통닭,31점,리뷰없음,치킨   닭강정,부산광역시 영도구 봉래동2가 73-2 ,https://www.diningcode.com/profile.php?rid=pAMuPmEUrS9C,"X :129.042132, Y :35.0933578"
영도옛날국수,31점,리뷰없음,국수   물국수,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=hDDmrEjXtATe,"X :129.043708, Y :35.0928086"
하오츠,31점,리뷰없음,짬뽕   중식당,부산 영도구 봉래동1가 95-5 ,https://www.diningcode.com/profile.php?rid=QGecKhSEp0NM,"X :129.040383, Y :35.0931349"
청불닭발,31점,리뷰없음,닭발,부산광역시 영도구 봉래동1가 92-18 ,https://www.diningcode.com/profile.php?rid=Aj4lpvaab8YD,"X :129.039818, Y :35.0933337"
삼삼밀면,31점,리뷰없음,중화요리   밀면,부산광역시 영도구 봉래동3가 137 ,https://www.diningcode.com/profile.php?rid=apm9EroRpNfV,"X :129.044795, Y :35.0946016"
주희정해물탕,31점,리뷰없음,해산물   해물탕,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=eFzZjrwRoHzK,"X :129.043708, Y :35.0928086"
동강기사식당,31점,리뷰없음,기사식당   돼지불백,부산광역시 영도구 봉래동1가 93 ,https://www.diningcode.com/profile.php?rid=klX641nmbQHV,"X :129.040227, Y :35.0934800"
동남횟집,31점,리뷰없음,초밥   횟집,부산광역시 영도구 봉래동3가 8-3 ,https://www.diningcode.com/profile.php?rid=eBNx3eVhPbC3,"X :129.043583, Y :35.0921889"
배수지횟집,31점,리뷰없음,횟집,부산광역시 영도구 봉래동5가 140-1 ,https://www.diningcode.com/profile.php?rid=ee1UAxOvTYO7,"X :129.052762, Y :35.0922412"
어우량,31점,리뷰없음,한식,부산광역시 영도구 봉래동1가 48-3 ,https://www.diningcode.com/profile.php?rid=pSBotKJSvPfX,"X :129.039480, Y :35.0933935"
영도분식,31점,리뷰없음,분식,부산광역시 영도구 봉래동1가 95-3 ,https://www.diningcode.com/profile.php?rid=Iq8Ojsr6uoH2,"X :129.040340, Y :35.0931537"
대전집,31점,리뷰없음,한식,부산광역시 영도구 봉래동5가 113-11 ,https://www.diningcode.com/profile.php?rid=mLmP2Hg8nD4F,"X :129.053087, Y :35.0938488"
모정감자탕,31점,리뷰없음,감자탕   해장국,부산광역시 영도구 봉래동5가 147-5 ,https://www.diningcode.com/profile.php?rid=7V4F9Tn1Luao,"X :129.051450, Y :35.0932817"
명가숯불갈비,31점,리뷰없음,갈비탕   숯불갈비,부산광역시 영도구 봉래동2가 23-29 ,https://www.diningcode.com/profile.php?rid=fgpj0hq1iR1F,"X :129.042220, Y :35.0924732"
수복식당,31점,리뷰없음,한식,부산광역시 영도구 봉래동2가 87 ,https://www.diningcode.com/profile.php?rid=ZmyFB4smK2WI,"X :129.041578, Y :35.0935564"
가마치통닭 봉래점,31점,리뷰없음,치킨   닭강정,부산광역시 영도구 봉래동3가 132-13 ,https://www.diningcode.com/profile.php?rid=h5n2k4X0zyyM,"X :129.044393, Y :35.0947436"
토박이숯불촌,31점,리뷰없음,고기집,부산광역시 영도구 봉래동1가 91-16 ,https://www.diningcode.com/profile.php?rid=SGLzwMTTPsN0,"X :129.040422, Y :35.0938282"
온지당,31점,리뷰없음,베이커리   스콘,부산광역시 영도구 봉래동2가 29 ,https://www.diningcode.com/profile.php?rid=r7Mb61JXRsIl,"X :129.042457, Y :35.0927486"
순천집,31점,리뷰없음,포장마차   la갈비,부산광역시 영도구 봉래동1가 48-5 ,https://www.diningcode.com/profile.php?rid=Pi8BLgspxuoV,"X :129.039504, Y :35.0934742"
소소한 상,31점,리뷰없음,메밀국수   백반,부산광역시 영도구 봉래동1가 92-5 ,https://www.diningcode.com/profile.php?rid=au4OJHUYVLMp,"X :129.039866, Y :35.0934951"
할매집,31점,리뷰없음,한식,부산광역시 영도구 봉래동3가 12-5 ,https://www.diningcode.com/profile.php?rid=nx4E9ZDyUj5O,"X :129.043427, Y :35.0925340"
죠스떡볶이 부산봉래점,31점,리뷰없음,순대   떡볶이,부산광역시 영도구 봉래동3가 24 ,https://www.diningcode.com/profile.php?rid=TAKXpMdTMJmt,"X :129.044254, Y :35.0927003"
옛날통닭,31점,리뷰없음,통닭   옛날통닭,부산광역시 영도구 봉래동3가 21-2 ,https://www.diningcode.com/profile.php?rid=dQjkQnLLhB73,"X :129.043519, Y :35.0931272"
eum cafe,31점,리뷰없음,디저트   카페,부산광역시 영도구 봉래동2가 12 ,https://www.diningcode.com/profile.php?rid=OsdIgZrOVM98,"X :129.041637, Y :35.0928615"
라치나타 부산 라발스호텔점,31점,리뷰없음,스페인   올리브,부산광역시 영도구 봉래동1가 29 ,https://www.diningcode.com/profile.php?rid=DoYmxHqtPrxm,"X :129.039146, Y :35.0945255"
