Name,score,userscore,tag,roca,url,menu,coordinate
부산 안락동,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
모해나키친,54점,4.3점,파스타   콥샐러드,부산광역시 동래구 안락동 633-92 ,https://www.diningcode.com/profile.php?rid=dG6Nevk65GbW,  프로슈토 시트러스 샐러드 :14000원   모해나 콥샐러드 추천 :14000원   버섯 치킨 크림파스타 추천 :16000원   모해나 찹스테이크 :28000원   페퍼로니 토마토 파스타 :16000원   튜나 오일 파스타 :16000원   새우 그린빈 커리 추천 :16000원   제철 굴 오일 파스타 :18000원  ,"X :129.100021, Y :35.1923610"
스지고집,50점,5.0점,한식   스지수육,부산광역시 동래구 안락동 429-44 ,https://www.diningcode.com/profile.php?rid=xFD34irYpYTR,  맑은스지수육 추천 :34000원   매운불스지 추천 :34000원   냉채수육 :24000원   우동 라면 넙적당면 사리 :2000원   스지편육 :14000원   햇반 :2000원   계란후라이(4개) :3000원   계란후라이 / 삶은달걀(4개) :3000원   스지소금전골 추천 :34000원   불볶음밥 추천 :7000원   로제불스지 추천 :35000원   또띠아 추천 :4000원  :99%자연산치즈+체다치즈+파마산 토핑 추천 :6000원   간장빠다밥 추천 :5000원   스지어묵탕 :28000원   육전(본점단독메뉴) :25000원  ,"X :129.099395, Y :35.2000586"
먹음직 온천천점,49점,4.2점,돼지고기   된장술밥,부산광역시 동래구 안락동 632-124 ,https://www.diningcode.com/profile.php?rid=jHawcPHtYT6h,  숙성목살 추천 :11000원   삼겹살 추천 :11000원   껍가브리(*먹음직살) :11000원   한방껍데기 :7000원   통항정(200g) :16000원  ,"X :129.100313, Y :35.1922208"
오프리르,48점,4.5점,고양이카페   아메리카노,부산광역시 동래구 안락동 632-117 ,https://www.diningcode.com/profile.php?rid=LtokzBkdlYcW,  아메리카노 :4500원   카페라떼 :5000원   레몬히비스커스 :5500원   레몬마들렌 :2200원   레밍턴 초코 :2500원   더블치즈케이크 :6000원   솔티드카라멜다쿠아즈 :2500원  ,"X :129.100775, Y :35.1922488"
멜버른,48점,4.4점,브런치   찻집,부산광역시 동래구 안락동 631-57 1층 카페 멜버른 ,https://www.diningcode.com/profile.php?rid=KrA4LB2QRXs8,  커피류 :4000~6000   더치커피 :6000원   온천천의 아침 세트 :16500원   쉬림프 샌드위치 :15000원   쉬림프 샌드위치 세트 :17000원   연어 샌드위치 :15000원   연어 샌드위치 세트 :17000원   프레쉬 샐러드 :11000원   맬번토스트 :9000원   베리베리토스트 :12000원   에그베네딕트 :15000원   에그베네딕트 세트 :17000원   차 :4000~6000   콥샐러드 :15000원   콥샐러드 세트 :17000원   라임소스 그릴드 치킨 :15000원   브런치세트 :14500~17000   팬케이크 :12000원   멜번브런치 :12500원   멜번브런치SET :14500원   시크릿브런치 :14500원   시크릿브런치SET :16500원   온천의아침 :14500원  ,"X :129.101205, Y :35.1919079"
코모도 테이블,46점,4.6점,샌드위치   아보카도샌드위치,부산광역시 동래구 안락동 632-109 ,https://www.diningcode.com/profile.php?rid=KpIUv9PXSfoY,  콥샐러드(인기)     그릴드아보카도샌드위치(인기)     크로와상햄치즈샌드위치     새우연어오픈샌드위치     과일에그와플     케일키위주스     아인슈페너     과일요거트    ,"X :129.100953, Y :35.1923448"
스크루테이프의 식탁,45점,4.4점,스테이크   봉골레파스타,부산광역시 동래구 안락동 632-112 ,https://www.diningcode.com/profile.php?rid=nULhQ1B6AB2t,  봉골레파스타 :16000원   비프풍기리조또 :17000원   상하이파스타 :16000원   플랫아이언 스테이크 :25000원   생면버섯베이컨크림파스타 :17000원   카프레제샐러드 :13000원   생면라구파스타 :16000원  ,"X :129.100262, Y :35.1923568"
르쎄,45점,4.4점,케이크   아이스아메리카노,부산광역시 동래구 안락동 221-51 ,https://www.diningcode.com/profile.php?rid=woJgEHY8VdAt,  아메리카노 :4600원   카페라떼 :5200원   아인슈페너 :6200원   헤이즐넛슈페너 :6300원   티라미스라떼 :6200원  ,"X :129.104156, Y :35.1914061"
