Name,score,userscore,tag,roca,url,menu,coordinate
부산 명지동,score,userscore,tag,roca,url,menu,"X :x좌표없음, Y :y좌표없음"
영진돼지국밥,59점,4.4점,돼지국밥   수육백반,부산광역시 강서구 명지동 3261-10 ,https://www.diningcode.com/profile.php?rid=ptV9dJYog3qi,  돼지국밥 :9000원   내장국밥 :9000원   순대국밥 :9000원   섞어국밥 :9000원   수육백반 :12000원  ,"X :128.911224, Y :35.0856952"
삼성갈미조개,59점,4.6점,샤브샤브   갈삼구이,부산광역시 강서구 명지동 1532-14 ,https://www.diningcode.com/profile.php?rid=kD3Kab9iI5WY,  갈삼구이(중) 추천 :50000원   갈미조개샤브샤브(중) 추천 :50000원   갈미조개전골(중) :50000원   갈미조개수육(중) :50000원   갈미조개 삼겹구이 대 :60000원   갈미조개 샤브샤브 대 :60000원   갈미조개 전골 대 :60000원   갈미조개 수육 대 :60000원   갈미조개된장 :10000원  ,"X :128.929193, Y :35.1015060"
낭만장작 명지점,57점,5.0점,치킨   마늘통닭,부산광역시 강서구 명지동 3444-3 ,https://www.diningcode.com/profile.php?rid=UorONwFbLU5y,  누룽지 통닭 :19000원   누룽지 마늘통닭 :21000원   주먹밥 :3500원   얼음황도 :4000원   얼음후르츠 :5000원   콘치즈 :6000원   떠먹는 마약 옥수수 :6000원   누룽지 화산치즈통닭 :23000원   누룽지 콘치즈 통닭 :22000원   세트메뉴(누룽지통닭 + 쫄뱅이) :34900원   누룽지 화산통닭 :21000원   누룽지 매콤 크림통닭(로제) :23000원   누룽지 파콘치즈 통닭 :23000원   누룽지 파채통닭 / 누룽지 양파통닭 :21000원   쫄뱅이무침 :17900원  ,"X :128.923419, Y :35.0965871"
스타벅스 명지강변DT점,55점,4.3점,카페   아메리카노,부산 강서구 명지동 1459-1 ,https://www.diningcode.com/profile.php?rid=V5m18lzWBHFp,  카페 아메리카노 :4500원   카페 라떼 :5000원   스타벅스 돌체 라떼 :5900원   카라멜 마키아또 :5900원   카푸치노 :5000원   카페 모카 :5500원   화이트 초콜릿 모카 :5900원   콜드 브루 :4900원   자몽 허니 블랙 티 :5700원   아이스 자몽 허니 블랙 티 :5700원   망고 바나나 블렌디드 :6300원   에스프레소 프라푸치노 :5500원   자바 칩 프라푸치노 :6300원  ,"X :128.929494, Y :35.1026638"
라무진 명지국제신도시점,52점,4.0점,양갈비   양고기,부산광역시 강서구 명지동 3599-1 ,https://www.diningcode.com/profile.php?rid=zgZ69vjc87vs,  징키스칸 프렌치렉:2대(1인분) 추천 :30000원   징기스칸 양갈비:2대(1인분) 추천 :30000원   징기스칸 양고기:200g(1인분) 추천 :28000원   마늘밥 (일일 한정량 판매) 추천 :3000원   오뎅탕 추천 :13000원  ,"X :128.908437, Y :35.0987884"
호당 물총칼국수,48점,3.9점,물총칼국수   밀면,부산광역시 강서구 명지동 3395-5 ,https://www.diningcode.com/profile.php?rid=TpQIqSswLXIV,  물총칼국수 :7000원   밀면 :6000원   물밀면…(大) :7000원   비빔밀면 :6000원   비빔밀면…(大) :7000원   왕만두(6개) :6000원   왕만두(3개) :3000원   가오리 비빔밀면 :7000원   가오리 비빔밀면…(大) :8000원  ,"X :128.924482, Y :35.0979491"
명지첫집 오션시티직영점,46점,5.0점,보쌈   쭈꾸미보쌈,부산광역시 강서구 명지동 3239 ,https://www.diningcode.com/profile.php?rid=mXXP6tdwZBas,  주꾸미 보쌈(중) 추천 :44000원   보쌈정식:2인(점심특선) :24000원   점심세트메뉴A:2인 :32000원   점심세트메뉴A:3인 :43500원   점심세트메뉴A:4인 :55000원   점심세트메뉴B:2인 :40000원   점심세트메뉴B:3인 :51500원   점심세트메뉴B:4인 :63000원   보쌈정식:3인(점심특선) :35500원   보쌈정식:4인(점심특선) :47000원  ,"X :128.904027, Y :35.0840871"
만호횟집,44점,4.0점,생선회   갈미샤브샤브,부산시 강서구 명지동 1532-14 2F (강촌횟집 건물 2층) ,https://www.diningcode.com/profile.php?rid=I3C9FzuaWlDS,  갈미샤브샤브 중 :50000원   갈미샤브샤브 대 :60000원   볶음밥 :2000원   야채추가 :5000원   갈미샤브샤브 특대 :80000원   갈미조개삼겹살 특대 :80000원   갈미조개삼겹살 대 :60000원   갈미조개삼겹살 중 :50000원   갈미수육 대 :60000원   갈미수육 중 :50000원   칼국수사리 :2000원   라면사리 :2000원  ,"X :128.929193, Y :35.1015060"
