Name,score,userscore,tag,roca,url,menu,coordinate
부산 명장동,score,userscore,tag,roca,url,menu,
구기영조방낙지,41점,4.0점,낙지   낙곱새,부산광역시 동래구 명장동 63-4 ,https://www.diningcode.com/profile.php?rid=aqXYbAmLNzMs,  낙지복음 :9000원   낙새 :10000원   낙곱 :10000원   낙곱새 :11000원   산낙지볶음 :17000원   박연포탕 소 :45000원   박연포탕 대 :60000원   해물탕 소 :40000원   해물탕 대 :53000원   곱창전골 :15000원   산낙지 회 :30000원   양념게장:1kg :20000원  ,"X :129.101272, Y :35.2034594"
수복돼지국밥,41점,3.8점,돼지국밥   수육백반,부산광역시 동래구 명장동 57-18 ,https://www.diningcode.com/profile.php?rid=Ag6M87U9QGAm,  돼지국밥 :9000원   올 내장 :9000원   순대버섯전골 :37000원   섞어국밥 :9000원   순대국밥 :9500원   모듬국밥 :9500원   수육백반 :11000원   수육 대 :34000원   수육 중 :29000원   모듬수육 대 :36000원   모듬수육 중 :31000원  ,"X :129.102218, Y :35.2056418"
일미 만두 칼국수,41점,5.0점,만두   만두칼국수,부산광역시 동래구 명장동 61-2 ,https://www.diningcode.com/profile.php?rid=Oo1piyMMMDaB,  만두 :4500원   군만두 :5000원   칼국수 :5000원   팥빙수 :4000원   만두국 :6000원   냉콩칼국수 :6000원   만두칼국수 :6000원  ,"X :129.102252, Y :35.2044156"
마루샤브,37점,5.0점,샤브샤브뷔페   샤브샤브,부산광역시 동래구 명장동 23-2 ,https://www.diningcode.com/profile.php?rid=EnS3mq18yryB,  평일점심 쇠고기샤브 :17800원   평일점심 해물샤브 :20000원   평일점심 한우샤브 :22000원   평일점심 스페셜모듬 :26000원   저녁 쇠고기샤브 :21000원   저녁 해물샤브 :23000원   저녁 한우샤브 :24000원   저녁 스페셜모듬 :28000원   어린이샐러드 미취학생 :5000원   어린이샐러드 초등생 :12000원   소고기샤브(주말/공휴일) :22000원   해물샤브(주말/공휴일) :24000원   한우샤브(주말/공휴일) :25000원   스페셜모듬(한우+해물)(주말/공휴일) :29000원  ,"X :129.101853, Y :35.2063781"
태산손만두칼국수,36점,0점,손만두   손만두칼국수,부산광역시 동래구 명장동 22-21 ,https://www.diningcode.com/profile.php?rid=BX9NFRFuBuD1,  고기만두 :5000원   군만두 :5000원   만두국 :6000원   김치만두 :5000원   찐빵 :5000원   국거리용 만두 :5000원   냉콩칼국수 :6000원   콜라 사이다 :1500원   공기밥 :1000원  ,"X :129.101177, Y :35.2065700"
뚱삼이와대삼이 서원시장점,36점,5.0점,대패삼겹살   삼겹살,부산광역시 동래구 명장동 67-43 ,https://www.diningcode.com/profile.php?rid=Mw11dXT70BlQ,  뚱삼이와대삼이 모듬 :28000원   뚱삼이(제주오겹) :9900원   대삼이(대패삼겹) :3500원   생삼겹 :7900원   목살 :5900원   차돌박이 :7900원   LA갈비 :8900원   우삼겹 :5900원   화끈불대패 :3900원   돼지껍데기 :3900원   화끈매운불쭈꾸미 :20000원   해물된장찌개 :3500원   차돌된장찌개 :5500원   홍게된장찌개 :5500원  ,"X :129.100302, Y :35.2015748"
풍성한밥상,36점,4.3점,제육   돌솥비빔밥,부산광역시 동래구 명장동 300-69 ,https://www.diningcode.com/profile.php?rid=eMsNBF0K87Ob,  보리밥 :7000원   시락국밥 :3900원   제육볶음 :15000원   돌솥비빔밥 :7000원   제육정식 :7000원   육개장 :7000원   김치찌개 :7000원   파전 :7000원  ,"X :129.102384, Y :35.2095318"
커피에세이,35점,4.0점,자메이카   커피,부산광역시 동래구 명장동 132-4 ,https://www.diningcode.com/profile.php?rid=2L3AxCWh4s1o,  핫아이스 오늘의 핸드드립커피 :5000원   핫아이스 아메리카노 :5000원   핫아이스 더치커피 :5000원   하와이안코나 :15000원   파나마게이샤 핸드드립 :15000원   자메이카블루마운틴 핸드드립 :15000원   하와이안코나 핸드드립 :15000원   예멘모카마타리 핸드드립 :10000원   핫아이스 카페라떼 :5000원   핫아이스 카푸치노 :5000원   핫아이스돌체연유카페라떼 :6000원   핫아이스 바닐라카페라떼 :6000원   핫아이스 바닐라 아인슈페너 :6500원   핫아이스 계피커피 아인슈페너 :6500원   핫아이스 만델링 핸드드립 :6000원   핫아이스 예가체프 핸드드립 :6000원  ,"X :129.104143, Y :35.2040764"
