Name,score,userscore,detail
금용,57점,4.3점,구포역 | 만두   군만두
테츠완,54점,5.0점,덕천 | 타코야끼   하이볼
장터촌닭,43점,5.0점,덕천 | 숯불치킨   촌닭
골목돼장,43점,4.5점,부산 | 삼겹살   생고기
카페 깔마,43점,4.8점,덕천 | 카페   아메리카노
해미아구찜,43점,5.0점,덕천 | 해물찜   아구찜
이삭토스트 부산구남점,43점,5.0점,구남역 | 토스트
웁스차이나,43점,4.6점,부산 | 중국집   중식당
원산밀면,42점,5.0점,부산 | 손칼국수   밀면
프린체,42점,5.0점,부산광역시 | 빠에야   스페인요리
송담추어탕 구포점,42점,5.0점,구포역 | 추어탕   추어만두
피자와썹 부산덕천점,41점,4.0점,부산북구 | 피자
파스쿠찌,40점,5.0점,부산 | 카페   파니니
자갈마당,40점,4.6점,부산 | 장어구이
강대감손칼국수,40점,5.0점,구포시장 | 손칼국수   비빔칼국수
양지밥집,39점,4.6점,덕천 | 보쌈   밥집
농띠,38점,5.0점,덕천 | 숙성회   시메사바
야채통닭,38점,5.0점,구남역 | 통닭   치킨
이원화구포국시,38점,5.0점,구포시장 | 국수   국시
삼겹파티,37점,4.0점,구남역 | 삼겹살   대패삼겹살
푸라닭 부산덕천점,37점,4.0점,덕천 | 치킨   닭
지영이밥집,36점,4.5점,구명역 | 해물   게장정식
동양반점,36점,4.0점,구포역 | 중국집   간짜장
킨사이,36점,4.0점,덕천 | 이자까야   토시살스테이크
구포손칼국수,36점,4.0점,구포역 | 충무김밥   손칼국수
홍콩반점0410,36점,4.2점,구남역 | 중식당   쟁반짜장
반올림피자샵 부산북구점,35점,4.0점,부산북구 | 피자   피자전문
베러먼데이 구포역점,34점,4.0점,구포역 | 카페   coffee
3대천왕 이가네 떡볶이 유보라리버파크점,34점,5.0점,부산북구 | 떡볶이   오뎅
만수생고기,34점,5.0점,부산북구 | 생고기   고기집
뷰포트,34점,5.0점,덕천 | 커피   디저트카페
장수장 꼬리곰탕,34점,리뷰없음,부산 | 꼬리수육   꼬리곰탕
밀양돼지국밥,33점,3.5점,구명역 | 돼지국밥   따로국밥
1번장터국밥,33점,4.0점,구포시장 | 국밥   족탕
박가 김장독,33점,4.0점,구남역 | 묵은지고등어찜   묵은지
가온분식,33점,4.0점,부산 | 떡볶이   분식
양철집,33점,4.0점,덕천 | 고기집   껍데기
정직유부 부산구남점,32점,3.0점,부산북구 | 초밥   유부초밥
우미가,32점,5.0점,부산 | 옻닭   삼계탕
명가 가야밀면,32점,5.0점,구명역 | 밀면
럭키상회,32점,0점,구남역 | 오뎅바   술집
또래오래,32점,3.5점,부산 | 튀김   치킨
고봉민김밥인,31점,3.0점,구남역 | 라면   김밥
대가야밀면,31점,3.0점,구포시장 | 국수   물밀면
조방낙지,31점,1.0점,부산 | 낙지   낙곱새
불휘쌈밥정식,31점,리뷰없음,구명역 | 쌈밥정식   쌈밥
가남추어탕,31점,리뷰없음,구포시장 | 추어탕   돌솥추어탕
목향,31점,리뷰없음,덕천 | 국수   파전
한솥도시락,31점,3.0점,구남역 | 도시락   치킨마요
대정수산,31점,4.0점,덕천 | 장어구이   장어
쉐프의 생 안심 탕수육 북구점,31점,5.0점,부산북구 | 탕수육   중국집
서부커피로스터스,31점,리뷰없음,부산 | 로스터리카페   커피
김해뒷고기,31점,리뷰없음,구포시장 | 고기집   뒷고기
묵도리,31점,리뷰없음,구포역 | 한식   밀냉면
뜨락구포국수,31점,리뷰없음,부산 | 국수   정구지전
진주생숯불갈비,31점,리뷰없음,구포역 | 숯불갈비   양념갈비
삼동포차,31점,리뷰없음,부산 | 포장마차
장안국밥,31점,리뷰없음,덕천 | 돼지국밥   국밥
바다산곰장어,31점,리뷰없음,구포시장 | 곰장어   산곰장어
마산생아구찜,31점,리뷰없음,구명역 | 아구찜   생아구찜
리강왕곱창,31점,리뷰없음,덕천 | 곱창   곱창전골
스시쿠도쿠,31점,5.0점,부산북구 | 스시
청년떡볶이,31점,리뷰없음,구남역 | 떡볶이   국물떡볶이
코리아횟집,31점,리뷰없음,부산 | 횟집   미역국
홍참치생연어,31점,리뷰없음,덕천 | 참치   생연어
피자베이,31점,리뷰없음,덕천 | 숯불갈비   피자
평산갈비,31점,리뷰없음,부산광역시 | 돼지갈비   갈비
생생돈까스 구포점,31점,리뷰없음,부산 | 돈까스   생돈까스
불막열삼 덕천점,31점,리뷰없음,부산북구 | 막창   삼겹살
장수돼지국밥,31점,리뷰없음,구포역 | 국밥   돼지국밥
유니돈까스,31점,리뷰없음,부산 | 돈가스   돈까스
맘스터치 구남역점,31점,4.0점,구남역 | 햄버거   버거
밥코드,31점,리뷰없음,부산북구 | 도시락   컵밥
빨봉분식,31점,리뷰없음,덕천 | 분식   쫄만두
기장산곰장어,31점,리뷰없음,부산 | 장어   산곰장어
민속아구찜,31점,리뷰없음,구남역 | 아구찜   해물아구찜
보스식당,31점,리뷰없음,덕천 | 퓨전음식   스지전골
천일돼지국밥,31점,리뷰없음,구포시장 | 돼지국밥   장국밥
사랑도회센타,31점,리뷰없음,부산 | 횟집
뼈장군,31점,리뷰없음,구포시장 | 감자탕   해장국
땅스부대찌개,31점,리뷰없음,구포시장 | 부대찌개   부대찌게
쥬씨 덕천점,31점,리뷰없음,덕천 | 과일주스
돈꿀돼지국밥본점,31점,리뷰없음,구포시장 | 국밥   돼지국밥
용구중국관,31점,리뷰없음,부산 | 간짜장   중국집
양이야기,31점,리뷰없음,덕천 | 양꼬치   양고기
열빈원,31점,리뷰없음,부산 | 중국집   탕수육
본도시락,31점,리뷰없음,덕천 | 도시락   단체도시락
원조숯불장어구이,31점,리뷰없음,구포역 | 장어   숯불장어구이
용원횟집,31점,리뷰없음,구포시장 | 횟집   향어회
소나무돼지국밥,31점,리뷰없음,부산 | 돼지국밥   모듬수육
이디야커피,31점,리뷰없음,구포역 | 커피   카페
덕천빈대떡,31점,리뷰없음,덕천 | 막걸리   빈대떡
남자마늘보쌈,31점,리뷰없음,구남역 | 보쌈   마늘보쌈
와우돈가스 구남점,31점,리뷰없음,구남역 | 돈가스   돈까스
아리산,31점,리뷰없음,구남역 | 중국집   탕수육
지야네김밥,15점,5.0점,부산북구 | 김밥
읍천리382 덕천점,15점,0점,덕천 | 샐러드   카페
스타벅스 부산구남역DT점,15점,4.0점,구남역 | 카페   돌체라떼
시민보쌈족발,15점,4.0점,덕천 | 보쌈   족발
언로드,15점,4.0점,구포 | 카페   휘낭시에
부산 구포동,score,userscore,details
