Name,score,userscore,detail
이비가짬뽕 오산시청점,52점,4.6점,오산 | 짜장면   고기짬뽕,경기도 오산시 부산동 219-12 
청담집,44점,5.0점,오산 | 도가니탕   설렁탕,경기도 오산시 부산동 304 
전통해물칼국수,37점,3.8점,오산 | 칼국수   해물칼국수,경기도 오산시 부산동 436-9 
개성집,37점,4.0점,오산 | 코다리   명태조림,경기도 오산시 부산동 412-3 
강남묵호등대,36점,4.0점,선릉역 | 자연산회   횟집,경기도 오산시 부산동 611 
만타스시31 오산운암점,34점,5.0점,오산 | 초밥,경기도 오산시 부산동 778-7 
통통치킨,34점,5.0점,오산 | 치킨   닭강정,경기도 오산시 부산동 778-1 
최미삼순대국 오산점,33점,3.0점,오산 | 순대국밥   순대국,경기도 오산시 부산동 219-21 
하이난 오산본점,32점,2.7점,오산 | 철판짜장면   철판짜장,경기도 오산시 부산동 76-1 
추오정남원추어탕,32점,4.0점,오산 | 추어탕   추어고추튀김,경기도 오산시 부산동 221 
두부마을,31점,리뷰없음,오산 | 두부   두부전골,경기도 오산시 부산동 394-1 
만인촌,31점,0.0점,오산 | 삼계탕   백합,경기도 오산시 부산동 202-4 
삼대설렁탕,31점,리뷰없음,오산 | 설렁탕   왕갈비탕,경기도 오산시 부산동 162 
우장군아싸갈비,31점,리뷰없음,오산 | 갈비   소생갈비,경기도 오산시 부산동 608-2 
전골마을,31점,리뷰없음,오산 | 백숙   영양탕,경기도 오산시 부산동 198 
황금장수촌,31점,리뷰없음,오산 | 백숙   누룽지백숙,경기도 오산시 부산동 611 
카페 꽃술,31점,리뷰없음,오산시 | 카페   커피,경기도 오산시 부산동 571-2 
꾸어꾸어,31점,리뷰없음,오산 | 치킨   맥주,경기도 오산시 부산동 778-7 
또봉이통닭 오산시티자이점,31점,리뷰없음,오산 | 통닭,경기도 오산시 부산동 571-2 
바로커치킨,31점,리뷰없음,오산 | 치킨   생맥,경기도 오산시 부산동 779-6 
소반식당,31점,리뷰없음,오산 | 한식,경기도 오산시 부산동 779-1 
다경감자탕 부산동점,15점,리뷰없음,오산 | 감자탕   묵은지감자탕,경기도 오산시 부산동 531 
깐부치킨,15점,리뷰없음,오산 | 치킨   오리,경기도 오산시 부산동 690 
김밥속으로 부산동점,15점,리뷰없음,오산 | 돈까스   김밥,경기도 오산시 부산동 801 
돈까스회관 오산시티자이점,15점,리뷰없음,오산 | 돈까스   치킨까스,경기도 오산시 부산동 801 
부산리식당,15점,리뷰없음,오산 | 순대국   순대국밥,경기도 오산시 부산동 468-1 
대도식당,15점,리뷰없음,오산 | 한식,경기도 오산시 부산동 439-3 
꾼떡 시티자이점,15점,리뷰없음,오산 | 참치마요컵밥,경기도 오산시 부산동 690 
해밀,15점,리뷰없음,오산 | 카페   디저트,경기도 오산시 부산동 531-1 
루나블루,15점,리뷰없음,오산 | 카페   디저트,경기도 오산시 부산동 778-7 
롯데제과 온드오산캠퍼스점,15점,리뷰없음,오산 | 카페   디저트,경기도 오산시 부산동 88 
산골미꾸라지매운탕,15점,리뷰없음,오산 | 한식   매운탕,경기도 오산시 부산동 80-1 
파리바게뜨,15점,리뷰없음,오산 | 케이크   바게트,경기도 오산시 부산동 779-6 
파리바게뜨,15점,리뷰없음,오산시 | 케이크   바게트,경기도 오산시 부산동 690 
오늘나봄,15점,리뷰없음,오산 | 카페   꽃차,경기도 오산시 부산동 104 
아리아리,15점,리뷰없음,오산 | 찌개   전골,경기도 오산시 부산동 690 
메가커피 오산시티자이점,15점,리뷰없음,오산 | 커피   카페,경기도 오산시 부산동 815 
컴포즈커피 오산운암점,15점,리뷰없음,오산 | 커피   크로플,경기도 오산시 부산동 778-8 
돈맛,15점,리뷰없음,오산 | 삼겹살   부대찌개,경기도 오산시 부산동 690 
카페 레몬밤,15점,리뷰없음,오산 | 카페   레몬,경기도 오산시 부산동 619 
통큰갈비 오산시티자이점,15점,리뷰없음,오산 | 갈비   스테이크갈비,경기도 오산시 부산동 571-2 
투썸플레이스 오산시티자이점,15점,리뷰없음,오산 | 카페   디저트,경기도 오산시 부산동 690 
남도수산,15점,리뷰없음,오산 | 생선회,경기도 오산시 부산동 611 
커피남매,15점,리뷰없음,오산시 | 카페   디저트,경기도 오산시 부산동 444-1 
삼동소바,15점,리뷰없음,오산 | 우동   소바,경기도 오산시 부산동 607-1 
부산 동,score,userscore,detailsroc+
