Name,score,userscore,detail
오성집,39점,4.7점,초량 | 돼지고기   콩나물찜,부산광역시 동구 초량동 254 
스타벅스 부산역라마다점,38점,3.9점,부산역 | 카페   아이스아메리카노,부산광역시 동구 초량동 1204-1 
화성통삼겹,38점,5.0점,초량 | 돼지고기   대패삼겹살,부산광역시 동구 초량동 207-9 
미식가의구이 부산역점,38점,3.2점,부산역 | 구이   이베리코,부산 동구 초량동 207-7 
스타벅스,38점,4.0점,부산역 | 샌드위치   어묵,부산광역시 동구 초량동 1199-9 
금채복이네산꼼장어,38점,4.6점,초량역 | 꼼장어   해물요리,부산광역시 동구 초량동 275 
훈춘양고기,38점,5.0점,부산동구 | 양꼬치   양고기,부산광역시 동구 초량동 172-6 
텐퍼센트커피 부산역,37점,5.0점,부산동구 | 커피   카페,부산광역시 동구 초량동 1201-1 
이유 (EU),37점,3.5점,부산동구 | 파스타   리조또,부산광역시 동구 초량동 135-6 
동대문엽기떡볶이,37점,3.9점,부산역 | 떡볶이   떡,부산광역시 동구 초량동 1207-5 
스모크그릴,37점,3.5점,부산역 | 러시아요리,부산광역시 동구 초량동 1208-28 
온지,37점,4.3점,부산역 | 커피   디저트,부산광역시 동구 초량동 1204-1 
돈누리,37점,5.0점,부산 | 돼지껍데기   고기집,부산광역시 동구 초량동 138-5 
명란 브랜드연구소,37점,4.1점,초량 | 명란오일파스타   카페,부산광역시 동구 초량동 994-351 
홍성방 본관,37점,2.1점,부산역 | 만두   군만두,부산시 동구 초량동 1210-1 
루이168,37점,0.0점,부산역 | 커피   카페,부산광역시 동구 초량동 994-59 3층 
참맛카롱,37점,5.0점,초량 | 카페   쑥떡,부산광역시 동구 초량동 45-10 
포레스트,37점,5.0점,부산역 | 샌드위치   카페,부산광역시 동구 초량동 1194-6 
덕미생선구이,37점,5.0점,부산역 | 생선구이   모듬구이,부산광역시 동구 초량동 415-18 
던킨도너츠 부산역라마다점,37점,4.6점,부산역 | 도너츠,부산광역시 동구 초량동 1204-1 
사해방,36점,4.0점,부산역 | 중식   간짜장,부산광역시 동구 초량동 553-3 
부광숯불갈비,36점,5.0점,초량 | 돼지갈비   갈비,부산광역시 동구 초량동 197-13 
동해낙지마을,36점,5.0점,초량 | 낙지   낙곱새,부산광역시 동구 초량동 423-2 
신풍숯불갈비,36점,5.0점,초량 | 돼지갈비   숯불갈비,부산광역시 동구 초량동 197-45 
컴포즈커피 부산역점,36점,3.0점,부산역 | 카페   커피,부산광역시 동구 초량동 1212-14 
설빙 부산역점,36점,5.0점,부산역 | 빙수   인절미,부산광역시 동구 초량동 483 
우동충무김밥,36점,5.0점,부산역 | 우동   충무김밥,부산광역시 동구 초량동 1200-11 
문출래 된장,36점,4.0점,부산역 | 한식   된장찌개,부산시 동구 초량동 1200-7 B1F (금도빌딩 지하) 
착한물회횟집,36점,4.0점,부산역 | 물회   횟집,부산광역시 동구 초량동 1200-14 
홍콩반점0410 부산역점,36점,5.0점,부산역 | 짬뽕   냉짬뽕,부산광역시 동구 초량동 1207-21 2층 
소문난 미가네손칼국수,36점,5.0점,초량 | 칼국수   손칼국수,부산광역시 동구 초량동 806-218 
삼진어묵 부산역광장점,35점,3.5점,부산역 | 한식   부산어묵,부산광역시 동구 초량동 1200-17 
초량단골집,35점,5.0점,초량 | 모듬전   술집,부산광역시 동구 초량동 145-5 
스토리웨이 아메리칸트레일러 부산역점,35점,4.0점,부산역 | 자몽주스   착즙주스,부산광역시 동구 초량1동 1203-5 
나베야,35점,4.0점,부산역 | 일식당,부산광역시 동구 초량동 1187-1 
초량원조불백,35점,2.0점,초량 | 돼지찌개   불백,부산광역시 동구 초량동 667-8 
목구멍 초량점,35점,5.0점,부산동구 | 고기집,부산광역시 동구 초량동 106-28 
유림정,35점,0점,부산역 | 한식,부산광역시 동구 초량동 1204-15 
삼진어묵 부산역라마다점,35점,리뷰없음,부산역 | 한식   어묵고로케,부산광역시 동구 초량동 1204-1 
황산밀면,35점,리뷰없음,부산역 | 냉면   물밀면,부산광역시 동구 초량동 1212-5 
화교대반점,35점,5.0점,부산역 | 코스요리   중국집,부산광역시 동구 초량동 568-1 
마리스텔라 커피,35점,4.0점,부산역 | 커피   스텔라,부산광역시 동구 초량동 1147-14 국제오피스텔 202호 
골목게장,34점,2.4점,부산역 | 간장게장   게장,부산광역시 동구 초량동 1197-8 
양지아구찜,34점,0.0점,초량 | 아구찜   섞어찜,부산광역시 동구 초량동 135-43 
천백돈까스,34점,3.6점,초량 | 돈까스   옛날돈까스,부산광역시 동구 초량동 100-8 
부산 역,score,userscore,detailsroc+
