Name,score,userscore,detail
브라운핸즈 보수동,57점,4.4점,부산중구 | 카페   아메리카노
보수동가,45점,5.0점,남포동 | 카페   크로플
동화반점,44점,4.3점,남포동 | 중국집   유니짜장
새진주식당,43점,4.0점,부산 | 비빔밥   선지국
물꽁식당,43점,5.0점,남포동 | 아구찜   아구수육
인앤빈,42점,4.0점,남포동 | 커피   로스터리카페
용광횟집,40점,5.0점,부산 | 선어회   횟집
미도리우동,38점,5.0점,부산 | 우동   돌냄비우동
옥성반점,38점,4.0점,남포동 | 중식당   탕수육
아테네학당,37점,5.0점,남포동 | 브런치   카페
한우뭉치,35점,4.0점,남포동 | 소고기   소고기구이
LAB,33점,4.0점,부산중구 | 카페   커피
대동냉면밀면,32점,4.0점,남포동 | 냉면   밀면
에그카페24,32점,3.0점,부산 | 무인카페   카페
보수구이,31점,리뷰없음,부산중구 | 오리고기   구이
두찜 부산보수점,31점,4.0점,부산 | 로제찜닭   찜닭
꿀꿀뒷고기,31점,리뷰없음,동아대 | 돼지고기   뒷고기
행운식당,31점,5.0점,남포동 | 아구찜   해물찜
우리글방,31점,리뷰없음,남포동 | 카페   북카페
닭굽는마을,31점,리뷰없음,부산 | 치킨   치밥
미락정,31점,리뷰없음,부산 | 한식
장가국시,31점,리뷰없음,부산광역시 | 국수
보수맛집,31점,리뷰없음,부산광역시 | 한식
무꼬뭐꼬 떡볶이,31점,리뷰없음,부산중구 | 종합분식
금오생고기,31점,리뷰없음,부산 | 식육식당   소고기구이
든든 한끼,31점,리뷰없음,부산중구 | 한식
광복경양식 책방골목점,31점,리뷰없음,남포동 | 오므라이스   경양식
이화민속주막,31점,리뷰없음,동아대 | 막걸리   민속주
문달,31점,리뷰없음,부산 | 샌드위치   카페
새진주집,31점,리뷰없음,부산 | 비빔밥   석쇠불고기
네네치킨 중부산점,15점,리뷰없음,남포동 | 샐러드   치킨
불스떡볶이연탄화로석쇠구이,15점,리뷰없음,부산 | 떡볶이   석쇠구이
피자헛,15점,리뷰없음,남포동 | 퐁듀   피자
BHC치킨 보수부민점,15점,리뷰없음,부산중구 | 후라이드   치킨
한솥도시락 보수사거리점,15점,리뷰없음,남포동 | 치킨마요   도시락
FLUE800 중부산세무서점,15점,리뷰없음,부산중구 | 커피   카페
시골촌 숙성 김치찌개 중구점,15점,리뷰없음,부산중구 | 한식   김치찌개
어묵찌빠,15점,리뷰없음,부산 | 오뎅   세이로무시
스시준,15점,리뷰없음,부산 | 모듬사시미   스시
자갈치브라더스 부산보수점,15점,리뷰없음,부산중구 | 맥주   먹태
6페이지,15점,리뷰없음,부산 | 카페   디저트
라산다방,15점,리뷰없음,부산중구 | 다방   커피
건강북카페,15점,리뷰없음,부산 | 카페   디저트
피자에땅 보수점,15점,리뷰없음,부산중구 | 피자   피자전문
브롱스 보수점,15점,리뷰없음,부산중구 | 맥주   수제맥주
신 동방제면,15점,리뷰없음,부산중구 | 밀면   만두국
명품달인김밥 보수동점,15점,리뷰없음,부산 | 김밥   땡초김밥
컵피옥,15점,리뷰없음,부산중구 | 에스프레소전문   에스프레소
