Name,score,userscore,detail
마산곱창,43점,4.0점,서면 | 곱창   곱창전골
외식일번가 부산본점,37점,4.2점,서면 | 소고기   갈비살양념구이
스타벅스 서면트레이더스점,35점,5.0점,서면 | 카페   커피
구룡포과메기전문점 부산당감점,34점,4.0점,당감동 | 해물   문어숙회
스시가게,34점,4.0점,당감동 | 초밥   스시
짬뽕면가,34점,5.0점,부산시 | 짬뽕   짬뽕면
하삼동커피 서면동일파크스위트점,33점,4.0점,부산진구 | 카페   커피
오징어나라,33점,4.0점,서면 | 한식   오징어회
빈카츠 본점,33점,4.0점,부산진구 | 치즈돈까스   돈까스
감탄떡볶이 롯데마트부산점,32점,4.0점,부산진구 | 떡볶이   분식
북경,31점,3.4점,부산진구 | 중식당   중국집
프리모,31점,리뷰없음,부산시 | 피자   파스타
신팔도 오돌뼈,31점,리뷰없음,부산시 | 육회   오돌뼈
포구나무집,31점,리뷰없음,서면 | 고기집   양념갈매기살
이탈리아피자,31점,4.4점,서면 | 양식   피자
88대패,31점,4.0점,부산시 | 고기집   대패삼겹
더파티,31점,3.0점,서면 | 중식   뷔페
어느날골목,31점,3.0점,부산시 | 브런치카페   마들렌
부암스커피,31점,리뷰없음,당감동 | 커피   카페
가마솥순두부,31점,리뷰없음,전포동 | 순두부
갓블유피자 본점,31점,리뷰없음,서면 | 피자   치킨
길림성,31점,리뷰없음,부산진구 | 짬뽕   중국집
단물곤물 부암점,31점,리뷰없음,당감동 | 찜닭   백숙
미향,31점,리뷰없음,부산진구 | 한정식
뽕여사반점,31점,리뷰없음,부산진구 | 중국집   짬뽕
원조가야밀면,31점,리뷰없음,부산진구 | 냉면   만두백반
청년다방,31점,리뷰없음,부산진구 | 다방   차돌떡볶이
다기야기,31점,리뷰없음,부산 | 치맥   치킨
부영칼국수,31점,리뷰없음,당감동 | 수제비   손칼국수
맛있는칼국수,31점,리뷰없음,당감동 | 칼국수   만두
포항물회,31점,리뷰없음,당감동 | 매운탕   물회
양정명동찌개마을 당감점,31점,리뷰없음,부산진구 | 찌개   돼지고기김치찌개
미락일식,31점,리뷰없음,당감동 | 초밥   일식
맘스터치 시민공원점,31점,리뷰없음,부산시 | 치킨   햄버거
봇대,31점,리뷰없음,부산 | 생선회
텐퍼센트커피 부산시민공원점,31점,리뷰없음,부산진구 | 커피   카페
해촌산오징어물회,31점,리뷰없음,당감동 | 횟집   산오징어물회
양돈산업,31점,리뷰없음,당감동 | 삼겹살   숙성생삼겹살
요리하는집,31점,리뷰없음,당감동 | 중식   고추잡채
막끌리네,31점,리뷰없음,당감동 | 요리주점   꽁치김치찌개
류길상피자 당감점,31점,리뷰없음,당감동 | 피자   슈퍼슈프림
승승삼겹 시민공원부암점,15점,4.0점,부산시 | 흑돼지   차돌우삼겹
동근이숯불두마리치킨,15점,5.0점,부산진구 | 숯불치킨   후라이드
피자헛,15점,리뷰없음,부산시 | 퐁듀   피자
이솝,15점,리뷰없음,부산진구 | 카페   레드벨벳케이크
본죽,15점,리뷰없음,당감동 | 불고기   전복죽
아서원,15점,리뷰없음,당감동 | 중국집   탕수육
푸라닭,15점,리뷰없음,당감동 | 치킨   닭
던킨도너츠 롯데마트부암점,15점,리뷰없음,부산 | 도너츠
피자에땅 당감점,15점,리뷰없음,당감동 | 피자
