Name,score,userscore,detail
해목,81점,4.3점,해운대 | 일식당   히츠마부시,부산광역시 해운대구 우동 542-30 
금수복국 본점,80점,4.1점,해운대 | 복국   은복국,부산시 해운대구 중동 1394-65 
신발원,77점,4.2점,부산역 | 만두   군만두,부산광역시 동구 초량동 561-1 
이재모피자,75점,4.5점,남포동 | 피자   치즈크러스트,부산시 중구 신창동1가 2-1 
해운대암소갈비집,74점,4.0점,해운대 | 소갈비   양념갈비,부산광역시 해운대구 중동 1225-1 
60년전통 할매국밥,74점,4.3점,범일동 | 돼지국밥   수육,부산광역시 동구 범일동 28-5 
모모스 본점,72점,4.4점,온천장 | 핸드드립   바닐라라떼,부산광역시 금정구 부곡동 873-2 
해성막창집 본점,71점,4.4점,부산해운대 | 대창   곱창전골,부산광역시 해운대구 중동 1732 
나가하마만게츠,71점,4.5점,해리단길 | 라멘   교자,부산광역시 해운대구 우동 397-22 
마가만두,70점,4.1점,부산역 | 만두   군만두,부산광역시 동구 초량동 563 
고옥,70점,4.5점,남천동 | 일식당   히츠마부시,부산광역시 수영구 남천동 12-8 
옵스,70점,4.3점,마린시티 | 빵집   슈크림,부산광역시 해운대구 우동 1433 
해운대기와집 대구탕,69점,4.5점,해운대 | 대구탕,부산광역시 해운대구 중동 990-3 
영진돼지국밥,69점,4.6점,신평 | 돼지국밥   수육백반,부산광역시 사하구 신평동 628-6 
언양불고기 부산집,69점,4.4점,광안리 | 불고기   언양불고기,부산시 수영구 남천동 3-9 
본전돼지국밥,69점,4.1점,부산역 | 돼지국밥   수육백반,부산광역시 동구 초량동 1200-6 
다이도코로,68점,4.8점,광안리 | 일본가정식   치킨가라아케,부산광역시 수영구 남천동 3-57 
버거인뉴욕,67점,4.3점,해운대 | 버거   감자튀김,부산광역시 해운대구 중동 1404-39 
수변최고돼지국밥 민락본점,67점,4.4점,광안리 | 돼지국밥   고기국밥,부산 수영구 민락동 110-54 
톤쇼우 광안점,66점,4.5점,광안리 | 돈까스,부산 수영구 민락동 181-20 
남천녹차팥빙수,66점,4.5점,남천동 | 팥빙수   녹차팥빙수,부산광역시 수영구 남천동 363-3 
개미집 본점,66점,4.4점,남포동 | 낙지요리   낙곱새,부산시 중구 신창동1가 14-3 
합천일류돼지국밥,66점,4.1점,사상 | 돼지국밥   고기국밥,부산광역시 사상구 괘법동 565-6 
우리포차,66점,4.7점,광안리 | 포차   대방어,부산광역시 수영구 광안동 536-40 
백화양곱창,65점,4.2점,자갈치 | 양곱창,부산시 중구 남포동6가 32 
바로해장,65점,4.4점,광안리 | 해장국,부산광역시 수영구 광안동 202-1 
버거샵,65점,4.7점,해리단길 | 수제버거   베이컨치즈버거,부산 해운대구 우동 532-17 
톤쇼우,65점,4.5점,부산대 | 돈카츠   로스카츠,부산광역시 금정구 장전동 419-21 
바다마루,65점,4.8점,해운대 | 죽집   전복죽,부산광역시 해운대구 중동 971 
속씨원한 대구탕 미포본점,64점,4.3점,해운대 | 대구탕   알말이,부산시 해운대구 중동 957-1 
딤타오,64점,4.8점,해리단길 | 슈마이   소룡포,부산 해운대구 우동 495-4 
에테르,64점,4.2점,영도 | 브런치   아메리카노,부산시 영도구 영선동4가 1102 
부산명물횟집,64점,3.9점,자갈치시장 | 횟집   회백반,부산광역시 중구 남포동4가 38 
숙성도 광안점,64점,4.6점,광안리 | 돼지고기   흑돼지,부산광역시 수영구 광안동 196-9 2층 201호 
국제밀면 본점,64점,4.3점,부산교대 | 국수   밀면,부산광역시 연제구 거제동 242-23 
오븐의온도,64점,4.4점,부산서면 | 베이커리   쿠키,부산광역시 부산진구 전포동 680-8 
합천국밥집,63점,4.4점,용호동 | 돼지국밥   따로국밥,부산광역시 남구 용호동 554-3 
초원복국,63점,4.8점,해운대 | 복국   복불고기,부산광역시 해운대구 중동 1225-5 
거대갈비,63점,4.3점,해운대 | 평양냉면   점심특선,부산광역시 해운대구 중동 1139-4 
바릇식당,63점,4.3점,일광 | 꼬막   육전,부산광역시 기장군 일광면 동백리 266-6 1층 
초량밀면,63점,3.7점,부산역 | 국수   물밀면,부산시 동구 초량동 363-2 
프루토프루타,63점,4.5점,전포 | 과일카페   쉐이크,부산광역시 부산진구 전포동 306-2 
모리구이집,63점,4.7점,청사포 | 꼬지   모듬구이,부산시 해운대구 중동 587 
삼삼횟집,62점,4.2점,광안리 | 횟집   참돔유비끼,부산광역시 수영구 민락동 181-138 
동해물회,62점,4.8점,서면 | 물회   해물회,부산광역시 부산진구 부전동 142-5 
Cafe de 220VOLT,62점,4.3점,영도 | 카페   아메리카노,부산광역시 영도구 청학동 386-198 
소문난 주문진 막국수,62점,4.1점,사직 | 수육   막국수,부산광역시 동래구 사직동 92-1 
원조 18번 완당 발국수,62점,4.4점,부민동 | 완당   발국수,부산시 서구 부용동1가 69-1 
할매집,62점,4.2점,해운대 | 돼지국밥   국밥,부산광역시 해운대구 중동 1373-10 
