Name,score,userscore,detail
옛날오막집,45점,4.4점,동대신역 | 우동   양곱창
박수식당,44점,5.0점,부산 | 술집   치즈감자전
편의방,38점,3.0점,동대신동 | 만두전문   만두
영남 냉면 밀면,38점,3.5점,부산서구 | 밀면   냉면
카페051 동대신역점,37점,4.9점,동대신역 | 커피   카페
맛나기사식당,37점,5.0점,부산 | 대구탕   기사식당
3초삼겹살,37점,5.0점,동대신동 | 돼지고기
대연횟집,37점,4.0점,부산서구 | 횟집   모듬회
용궁횟집,35점,4.0점,동대신동 | 횟집   모듬회
광화냉면,34점,리뷰없음,동대신동 | 냉면   밀면
편의방,34점,리뷰없음,동아대 | 만두전문   만두
전차카페,34점,4.0점,동대신동 | 케이크   카페
해수바다이야기,33점,5.0점,부산서구 | 꼼장어   한식
스시하나,32점,5.0점,부산 | 회전초밥   스시
수짱가,32점,5.0점,동대신동 | 국수   만두
달달하모,32점,5.0점,동대신동 | 커피   카페
송프로피자,32점,5.0점,동대신동 | 피자   치즈크러스트
유가네닭갈비 대신점,32점,5.0점,부산서구 | 닭갈비   철판볶음밥
도너츠윤 부산서구점,32점,리뷰없음,부산서구 | 도넛   도너츠
오독,32점,리뷰없음,동대신동 | 닭발   오돌뼈
조방낙지 대신동점,32점,4.0점,동대신동 | 낙지   낙곱새
이공막창,32점,0점,동대신동 | 막창   돼지생막창
동대보리밥,31점,리뷰없음,동대신동 | 보리밥
새우까는집,31점,5.0점,부산광역시 | 해물   새우구이
홍복,31점,리뷰없음,동대신동 | 중국집   중화요리
3678통장어,31점,리뷰없음,동대신동 | 장어   장어국밥
아구아구찜,31점,4.0점,동대신동 | 아구찜
대쌈이삼겹살,31점,4.0점,동대신동 | 대패삼겹살   고기집
족 오향족발,31점,리뷰없음,동대신동 | 족발   오향장육
옥이이모,31점,리뷰없음,부산 | 카페   바오
금이돼지국밥,31점,리뷰없음,동대신동 | 국밥   돼지국밥
아빠와돈까스,31점,3.0점,부산 | 돈까스
아빠곰탕,31점,리뷰없음,동아대 | 곰탕   불고기비빔밥
덕분생선구이,31점,리뷰없음,동아대 | 생선구이   생선구이백반
스노우드롭,31점,리뷰없음,동아대 | 카페   에그타르트
옛날집숯불고기,31점,리뷰없음,동대신동 | 돼지갈비   숯불고기
합천돼지국밥,31점,리뷰없음,동대신동 | 돼지국밥   갈비국밥
힐링,31점,리뷰없음,동대신동 | 오겹살   뒷고기
초가집양곱창,31점,리뷰없음,동대신동 | 재첩국   양곱창
특수고기,31점,리뷰없음,동대신동 | 돼지고기   돼지특수부위
