Name,score,userscore,detail
모모스 본점,72점,4.4점,온천장 | 핸드드립   바닐라라떼
소문난 초량할매쭈꾸미,56점,4.7점,온천장 | 쭈꾸미   양념쭈꾸미
바로바로횟집,52점,4.5점,온천장 | 횟집   모듬회
거창맷돌,45점,4.3점,부산대 | 순두부   순두부찌개
가네쉬,43점,5.0점,부산대 | 카페   요거트
청화백,40점,5.0점,부산대역 | 국밥   돼지국밥
백마돼지갈비,40점,5.0점,부산대 | 돼지갈비   생갈비
카페부곡,39점,5.0점,부산대 | 카페   쿠키
박기모 조방낙지,38점,5.0점,부산대 | 낙지   낙곱새
코베지,37점,5.0점,금정구 | 브런치   브런치카페
일송면옥,37점,4.5점,부산대 | 돼지갈비   밀면
메종드다월,37점,4.0점,부산대 | 팥빙수   팬케이크
메가커피,37점,5.0점,장전역 | 커피   아이스아메리카노
송스베이커리,37점,5.0점,부산금정구 | 베이커리카페   베이커리
들마루연탄오리불고기,36점,3.0점,부산금정구 | 오리고기   오리불고기
소정아구찜,36점,4.1점,금정구 | 아구찜   대구찜
오륙도낙지,35점,4.0점,금정구 | 낙지   낙곱새
오 별난 멸치국수 장전점,34점,4.0점,장전역 | 국수   시락국밥
벽제령,34점,5.0점,부산 | 숯불갈비   양념갈비살
코지하우스,34점,4.0점,부산대 | 파스타   레스토랑
김윤정숯불양념통닭,34점,4.0점,금정구 | 통닭   숯불양념
콩밭골순두부,33점,4.0점,금정구 | 순두부찌개   순두부
와사비,33점,4.0점,금정구 | 조개요리   꼬막정식
인뎁스 드링크 샵,33점,4.0점,온천장 | 카페   레터링케이크
이태리삼촌,33점,리뷰없음,부산대 | 돈까스   이태리
블루샥 장전점,33점,4.0점,장전역 | 카페   꿀자몽티
월전장어구이,33점,리뷰없음,부산 | 장어   장어구이
스타벅스 금정구청DT점,33점,4.0점,장전역 | 카페   디저트
써브웨이 장전역점,33점,4.0점,장전역 | 샌드위치
BHC치킨 금정부곡점,33점,4.0점,부산금정구 | 치킨   후라이드
점촌네,33점,4.0점,부산 | 영양탕
명가떡집,33점,리뷰없음,부산 | 떡집   앙꼬절편
파리바게뜨 금정부곡점,33점,4.0점,부산 | 샌드위치   베이커리
퍼센트 실링가 커피,33점,4.2점,구서동 | 커피   카페
연산골장수촌순대돼지국밥,33점,4.0점,금정구 | 순대   돼지국밥
금화정,33점,5.0점,금정구 | 삼계탕   인삼주
청담동대구뽈찜아구찜,33점,4.0점,금정구 | 아구찜
파리바게뜨 부산대역점,33점,4.0점,부산대역 | 샌드위치   빵집
상주삼계탕,33점,5.0점,부산대 | 삼계탕   옻삼계탕
삼환맛축산,32점,리뷰없음,온천장 | 고기집   삼겹살
삼세랑,32점,0점,부산대 | 가정식   한방갈비찜
콜갈비,32점,리뷰없음,금정구 | 갈비   직화구이
대박곱창 기찰점,32점,리뷰없음,부산 | 곱창집   곱창
미숙이네 들깨손칼국수,32점,3.3점,부산대 | 칼국수   들깨칼국수
기장방우횟집,31점,리뷰없음,금정구 | 숙성회   횟집
녹우원,31점,리뷰없음,금정구 | 식육식당   소고기구이
북카페 타임스퀘어,31점,리뷰없음,부산대 | 카페   디저트
