Name,score,userscore,detail
감성조개,54점,4.7점,태종대 | 조개구이   조개
원조밀면,54점,4.3점,영도 | 국수   물밀면
와글와글,51점,4.0점,영도 | 즉석떡볶이   치즈떡볶이
피아크,48점,4.0점,영도 | 라떼   베이커리카페
백설대학,48점,4.3점,영도 | 떡볶이
영도해녀촌,46점,4.0점,부산영도 | 김밥   해물라면
제주복국,45점,4.2점,영도 | 복국   까치복
신흥반점,44점,4.7점,영도 | 짬뽕   깐풍기
카페 385,44점,3.8점,영도 | 카페   아메리카노
전주식당,43점,4.6점,태종대 | 불낙   낙곱새
사랑방,43점,3.7점,태종대 | 조개구이   조개구이전문
카페 커파아 해양박물관점,41점,4.6점,부산영도 | 아이스크림   카페
물망초,40점,5.0점,태종대 | 조개구이   감바스
옥천횟집,40점,3.5점,영도 | 횟집   해물라면
에르마나,40점,3.8점,영도 | 라자냐   이탈리안레스토랑
목장원,40점,3.1점,영도 | 이탈리안   로스
석화정,39점,5.0점,영도 | 굴국밥   석화
태종대 짬뽕,39점,3.8점,태종대 | 짬뽕   짜장
어리목도새기촌,39점,4.6점,영도 | 생고기   된장찌개
토로,39점,3.9점,영도 | 트러플파스타   스테이크
닭먹고오리발,38점,4.8점,영도 | 치킨   오리
골목경양식,37점,4.0점,영도 | 함박스테이크   경양식
사카나,37점,4.2점,영도 | 이자카야   모듬사시미
The november 라운지 부산영도점,37점,5.0점,영도 | 펍   카페
소복키친,37점,4.0점,영도 | 칼국수   복칼국수
시마,37점,4.3점,영도 | 덮밥   일본라멘
콩백이야기,37점,5.0점,영도 | 고기집   콩나물불고기
올레,36점,5.0점,태종대 | 산낙지   조개구이
맛나감자탕,36점,4.4점,영도 | 감자탕   해물뼈찜
청해복국,36점,4.0점,영도 | 복국   복튀김
충북집 누나야,36점,3.7점,태종대 | 조개구이   가리비
태종대불백,36점,5.0점,태종대 | 고기집   불고기백반
아이러브자갈마당,36점,4.4점,태종대 | 조개구이   버터새우구이
해녀집,36점,5.0점,태종대 | 조개구이   해물모듬
통나무집,35점,4.0점,영도 | 장어구이   바다장어
중리해녀촌,35점,4.0점,영도 | 해물요리
엔제리너스 부산태종대점,35점,4.0점,태종대 | 카페
티엔미미 블랙,35점,1.0점,영도 | 딤섬   중식당
시골통돼지볶음 영도점,35점,3.0점,영도 | 김치찌개   돼지볶음
올바릇식당 영도점,35점,3.6점,영도 | 꼬막   육전
크리스탈제이드 부산피아크점,35점,3.0점,부산영도 | 깐풍기   중식당
청춘식당,34점,4.0점,영도 | 파스타   빠네크림파스타
날마다 대박나는집,34점,5.0점,영도 | 고기집   대패삼겹살
경기도식당,34점,4.4점,태종대 | 청국장   기사식당
장군돼지국밥,34점,4.3점,태종대 | 돼지국밥   수육백반
빡벳 부산영도오션시티점,34점,5.0점,부산 | 카페   디저트
희야손칼국수,34점,3.0점,영도 | 칼국수   손칼국수
단골집,34점,4.0점,태종대 | 조개구이   해물모듬
삼거리횟집,34점,3.0점,영도 | 횟집
대디돈스텍,34점,5.0점,영도 | 돈까스   마제소바
태종아리랑,34점,5.0점,영도 | 갈비   소고기구이
맛나찹쌀꽈배기,34점,5.0점,영도 | 베이커리   꽈배기
카벨,34점,5.0점,부산영도 | 카페
좋은자리 의정부식 부대찌개,34점,5.0점,영도 | 부대찌개   베이컨구이
목촌돼지국밥,34점,3.6점,태종대 | 돼지국밥   보쌈수육
원가회관 영도점,34점,5.0점,영도 | 닭요리   닭한마리
어반생선구이,34점,5.0점,영도 | 생선구이전문   생선구이
리케이온,34점,3.0점,영도 | 커피   카페
마이퍼주는집,33점,4.4점,영도 | 한식   랍스타코스
황가네 착한소,33점,4.0점,영도 | 소고기   소고기구이
아트라운지 스크랩(SCRAB),33점,3.0점,영도 | 브루잉커피   갤러리카페
태종대 암소한마당,33점,4.0점,태종대 | 갈비탕   왕갈비탕
김재성베이커리카페,33점,2.0점,영도 | 베이커리카페
