Name,score,userscore,detail
원조할매낙지,53점,4.0점,범일역 | 낙지   낙곱새
가가와,51점,4.6점,범내골역 | 모밀   돈까스
카페인중독 범내골점,48점,4.7점,범내골 | 와플   누텔라와플
마산식당,48점,3.5점,범일역 | 돼지국밥   수육백반
원조 범일동 매떡,47점,3.4점,부산 | 순대   매운떡볶이
범천집 목구이,46점,3.7점,서면 | 구이   특수부위
조방숯불곱창,43점,5.0점,부산 | 곱창   숯불곱창
본가낙지볶음,43점,5.0점,부산 | 낙지볶음   낙지
부산정,42점,4.1점,부산 | 꼬치   야키도리
해물다찌 대오야,41점,5.0점,양정 | 해산물   다찌
부산5대짬뽕부산갈매기,40점,5.0점,범내골 | 짬뽕   고추군만두
양재기찜갈비,39점,5.0점,범내골 | 갈비찜   찜갈비
저스트커피,38점,4.3점,서면 | 카페   커피
만수스시,37점,3.3점,서면 | 오마카세   스시
초원복국,35점,3.8점,부산진구 | 복국   복수육
곱창특공대,35점,4.0점,부산 | 곱창집   곱창
흥미원,35점,4.0점,범내골 | 중국집   쟁반짜장
범내골 커피,35점,3.6점,범내골 | 피자   커피
골목집,34점,0.0점,범내골 | 갈비   돼지갈비
칼질천번,34점,3.5점,서면 | 생선회   산오징어회
영심이해산물,34점,4.0점,부산 | 해산물   오징어회
박민후대구탕,33점,리뷰없음,범내골 | 기사식당   대구탕
명태집딸,33점,0점,부산 | 육전   실비집
라온파티뷔페,33점,4.5점,범내골 | 한식뷔페
조흥식당,33점,리뷰없음,부산 | 쭈꾸미   두루치기
자갈치 보리밥 선지국,33점,4.0점,부산 | 보리밥   선지국
그린키친,32점,4.0점,범내골 | 샐러드   훈제오리
황금밀면 범천동본점,32점,0점,범내골 | 종합분식   밀면
육해공포차,32점,리뷰없음,범내골 | 포장마차
고향통닭,32점,리뷰없음,범내골 | 치킨   통닭
더파티 범일점,32점,리뷰없음,부산 | 뷔페   스튜
파더스,32점,리뷰없음,범내골 | 펍레스토랑   돈까스
강원도산골손칼국수,32점,리뷰없음,부산 | 손칼국수   김치말이국수
꾸브라꼬 숯불두마리치킨 범천점,31점,5.0점,부산 | 치킨
진영곱창,31점,리뷰없음,부산 | 곱창   곱창전골
파리바게뜨 부산금융단지점,31점,5.0점,부산 | 베이커리   바게뜨
은화수식당,31점,리뷰없음,부산 | 돈가스   돈까스
네네치킨 범천점,31점,4.5점,부산진구 | 치킨
조방낙지,31점,리뷰없음,범내골 | 낙지   낙곱새
블루샥 범일,31점,3.0점,범일역 | 밀크티   카페
먹고식당,31점,리뷰없음,부산진구 | 파불고기   버섯전골
조방왕새우,31점,리뷰없음,부산진구 | 해물   새우튀김
경성설렁탕,31점,4.6점,부산 | 설렁탕   한우스지
서면칼국수,31점,리뷰없음,범내골 | 칼국수   해물파전
투썸플레이스,31점,5.0점,서면 | 카페   프라페
미진축산 범천점,31점,3.0점,부산진구 | 돼지목살   고기집
합천식당,31점,리뷰없음,부산 | 국밥   돼지국밥
밥상극장,31점,리뷰없음,범내골 | 뷔페   한식뷔페
태호양꼬치,31점,4.0점,범내골역 | 양꼬치
현대포장마차,31점,4.0점,부산 | 포장마차   실내포차
소문난구포집,31점,리뷰없음,범내골 | 한식   뽈찜
매운떡볶이,31점,리뷰없음,부산 | 떡볶이   떡
성원,31점,리뷰없음,범내골역 | 갈비찜   돌솥밥
본죽 범내골역점,31점,리뷰없음,서면 | 죽집   삼계전복죽
기와집아구찜,31점,리뷰없음,서면 | 아구찜   해물찜
꾸바꾸바 치킨호프범천점,31점,5.0점,부산 | 치킨
디디씨치킨 범천점,31점,5.0점,범내골 | 치킨   크리스피치킨
원조명태갈비찌짐,31점,리뷰없음,부산 | 요리주점   명태갈비
연돼지국밥 범천점,31점,2.2점,범내골 | 돼지국밥   수육
일차횟집,31점,3.0점,부산 | 횟집   모듬회
교통부칼국수,31점,리뷰없음,부산 | 칼국수
대송초밥,31점,리뷰없음,범내골 | 코스요리   회초밥
수복포차,31점,리뷰없음,범내골 | 포차   문어수육
장어나라,31점,리뷰없음,부산 | 장어구이   장어
불막열삼 범천점,31점,리뷰없음,부산 | 삼겹살   막창
중앙숯불갈비,31점,리뷰없음,범내골 | 돼지갈비   숯불갈비
포항횟집,31점,리뷰없음,부산 | 횟집   회비빔밥
중앙밀면,31점,리뷰없음,범일역 | 국수   얼큰칼국수
홍두깨칼국수,31점,리뷰없음,범내골 | 칼국수   들깨칼국수
와우신내떡 부산범천점,31점,리뷰없음,범내골 | 떡볶이   튀김
남도식당,31점,리뷰없음,부산 | 육개장   김치전골
범내골돼지꼬리,31점,리뷰없음,범내골 | 갈비   돼지꼬리
코코쿡 문현금융단지점,31점,리뷰없음,부산진구 | 샤브샤브
미식가의구이 2호점,31점,리뷰없음,범일역 | 고기집   구이
한우만공격,31점,리뷰없음,범내골 | 한우   한우모듬
범천가야밀면,31점,리뷰없음,부산 | 밀면
문현숯불곱창,31점,리뷰없음,범내골 | 숯불곱창
대가밀면,31점,리뷰없음,범내골 | 한식   비빔밀면
오니비 범천점,31점,5.0점,범내골 | 이자카야   명란구이
베트남노상식당 부산서면점,31점,리뷰없음,부산진구 | 쌀국수   똠양꿍
해뜰마루감자탕 범일본점,31점,4.5점,범내골 | 감자탕   간장뼈찜
한마당 통영숯불 장어구이,31점,리뷰없음,부산진구 | 장어
소소감자탕,31점,리뷰없음,범내골역 | 감자탕   소곱창전골
브라운도트,31점,리뷰없음,서면 | 밀면   녹차
나금이네,31점,리뷰없음,서면 | 매운탕   내장
덕선제과,31점,리뷰없음,부산 | 빵집   팥빵
이모활어횟집,31점,리뷰없음,부산 | 횟집
동원횟집,31점,리뷰없음,부산 | 횟집
맛골힘탕,31점,5.0점,범내골 | 바다장어   장어탕
카페보리,31점,리뷰없음,부산시 | 루프탑   카페
시골밥상,31점,리뷰없음,서면 | 시골밥상   돌솥비빔밥
강가네손만두 범천동점,31점,리뷰없음,범내골 | 손만두
메가커피,31점,0점,범내골 | 카페   커피
한솥도시락,31점,리뷰없음,범내골 | 도시락   치킨마요
마루양곱창,31점,리뷰없음,부산 | 대창   양곱창
태화반점,31점,리뷰없음,부산진구 | 짜장면   중화요리
하이오커피 범내골점,15점,5.0점,범내골 | 카페   커피
꼬마김밥과우동,15점,5.0점,범내골 | 충무김밥   꼬마김밥
돈짱맛짱,15점,5.0점,범내골 | 한식   대패삼겹
동천양곱창 본점,15점,4.0점,부산 | 곱창   곱창전골
부산 범천동,score,userscore,details
