Name,score,userscore,detail
Cafe de 220VOLT,62점,4.3점,영도 | 카페   아메리카노
카린,51점,4.1점,영도 | 루프탑   아메리카노
왔다식당,50점,5.0점,영도 | 찌개   스지된장전골
신기숲,47점,4.1점,영도 | 밀크티   아메리카노
홍차왕자 영도,46점,4.1점,영도 | 스콘   홍차
그라치에,45점,4.2점,영도 | 스파게티   감자뇨끼
지모리즈카페,44점,4.0점,부산영도 | 카페   크림라떼
신기산업,44점,3.4점,영도 | 루프탑   아메리카노
모티브커피,43점,4.1점,영도 | 카페   아메리카노
화복반점,41점,4.0점,부산영도 | 중식당   짬뽕
영도면옥,40점,4.3점,영도 | 곰탕   얼큰이칼국수
석정옥,38점,4.4점,영도 | 곰탕   갈비찜
청학동 가야밀면,38점,4.4점,영도 | 만두   비빔밀면
쿤타,38점,5.0점,부산영도 | 토스트   샌드위치
선생 조고매,37점,4.2점,영도 | 고구마라떼   카페
선인장식당,37점,3.6점,영도 | 함박스테이크   경양식
얼큰이칼국수,35점,3.7점,영도 | 칼국수   얼큰이칼국수
영도우,34점,2.9점,영도 | 파스타   디트로이트피자
백세촌순대돼지국밥,34점,4.1점,영도 | 돼지국밥   국밥
엘림 오리고기집,33점,5.0점,영도 | 오리고기   오리백숙
공간카페,32점,리뷰없음,영도 | 루프탑   카페
청해해물찜,32점,0.0점,영도 | 아구찜   해물찜
트리플에이커피 영도점,31점,0.0점,부산영도 | 카페   디저트
C&D 카페 본점,31점,0점,부산영도 | 커피   카페
푸라닭 부산청학점,31점,4.0점,영도 | 치킨
컴피키친,31점,3.0점,영도 | 샌드위치   샐러드
로데오,31점,리뷰없음,영도 | 술집   스키야키
느티나무오리가든,31점,리뷰없음,영도 | 오리고기   오리
남도벌교재첩국,31점,리뷰없음,영도 | 재첩국   재첩회
황룡성,31점,리뷰없음,부산영도 | 중국집   간짜장
8월의 중식 영도점,31점,리뷰없음,부산영도 | 중식당
맷돌콩칼국수,31점,리뷰없음,영도 | 칼국수
모드니,31점,리뷰없음,부산영도 | 카페   복숭아아이스티
미정식당,31점,리뷰없음,영도 | 생선회   생선조림
스쿠버횟집,31점,리뷰없음,부산 | 횟집
영진산꼼장어,31점,리뷰없음,부산영도 | 꼼장어   소금구이
용감한식당 영도점,31점,리뷰없음,영도 | 함박스테이크   된장찌개
청동숯불갈비,31점,리뷰없음,영도 | 숯불갈비   생갈비
거창한한식뷔페,31점,리뷰없음,영도 | 밥집   한식뷔페
돼지식품,31점,리뷰없음,영도 | 편육   수육
더분식카페,31점,리뷰없음,부산영도 | 분식
교촌치킨 청학점,15점,5.0점,영도 | 치킨   치킨집
녹두랑 전이랑,15점,리뷰없음,부산 | 한식
처갓집양념치킨 부산청학점,15점,리뷰없음,영도 | 치킨   양념치킨
불로만숯불바베큐,15점,리뷰없음,영도 | 숯불바베큐   치킨바베큐
7번가피자,15점,리뷰없음,영도 | 피자   치즈링
화화 돼지왕갈비,15점,리뷰없음,영도 | 왕갈비   돼지왕갈비
오돌수육,15점,리뷰없음,영도 | 수육   돼지고기
투다리 청학점,15점,리뷰없음,부산영도 | 닭산적   술집
개미집,15점,리뷰없음,부산영도 | 대구탕   해물
냉면덕후 영도점,15점,리뷰없음,부산영도 | 냉면   한식
아웃스턴트,15점,리뷰없음,부산영도 | 스콘   호두파이
1인한식당 영도점,15점,리뷰없음,영도 | 한식
전성호쌀빵제빵소,15점,리뷰없음,영도 | 빵집   쌀빵
한끼,15점,리뷰없음,영도 | 칼국수   스팸김밥
빅스타피자 부산영도점,15점,리뷰없음,부산영도 | 불고기피자   페퍼로니피자
프레드피자 부산영도점,15점,리뷰없음,영도 | 피자   스파게뤼
재잘재잘,15점,리뷰없음,부산 | 종합분식
향기로운공간,15점,리뷰없음,영도 | 민속주점   막걸리
도미노피자 영도점,15점,리뷰없음,영도 | 피자
야미안 부산남항점,15점,리뷰없음,부산 | 호프
굽네치킨 부산청학점,15점,리뷰없음,영도 | 치킨   치밥
신도커피,15점,리뷰없음,부산영도 | 카페   디저트
카페마렌 청학마루점,15점,리뷰없음,영도 | 카페   고구마라떼
하나분식,15점,리뷰없음,부산영도 | 분식   떡볶이
청학다방,15점,리뷰없음,영도 | 카페   다방
모르나커피,15점,리뷰없음,영도 | 커피   빨미까레
일산감자탕,15점,리뷰없음,영도 | 삼겹살   감자탕
다연분식,15점,리뷰없음,부산영도 | 종합분식
조이치즈등갈비,15점,리뷰없음,부산영도 | 등갈비   치즈등갈비
신촌24시갈비,15점,리뷰없음,영도 | 갈비   갈비탕
카페마렌 해돋이점,15점,리뷰없음,영도 | 아메리카노
풍성식당,15점,리뷰없음,부산영도 | 한식
두나미스마린커피,15점,리뷰없음,부산영도 | 카페   커피
커피&옥,15점,리뷰없음,부산영도 | 카페
영도이서방수산,15점,리뷰없음,부산영도 | 반건조구이   생선구이
옥이네김치찌개와직화삼겹 영도점,15점,리뷰없음,부산영도 | 찌개   전골
그린분식,15점,리뷰없음,부산영도 | 종합분식   떡볶이
올리버 다이너,15점,리뷰없음,영도 | 파스타   레스토랑
땜프,15점,리뷰없음,부산영도 | 카페   디저트
스타벅스 영도청학DT점,15점,리뷰없음,영도 | 커피   카페
배떡 영도2호점,15점,리뷰없음,영도 | 분식   로제떡볶이
청학 면옥,15점,리뷰없음,영도 | 냉면   밀면
가마치통닭 가마치 부산영도 청학점,15점,리뷰없음,부산영도 | 치킨   닭강정
유로코피자 부산 영도점,15점,리뷰없음,부산영도 | 피자   수제피자
순곱이네 영도점,15점,리뷰없음,영도 | 순대곱창   순대곱창전골
바른치킨 부산청학점,15점,리뷰없음,영도 | 치킨   치킨집
밀향,15점,리뷰없음,영도 | 칼국수
BHC치킨 청학동삼점,15점,리뷰없음,영도 | 치킨   후라이드
모티브와인라운지,15점,리뷰없음,부산영도 | 와인
나마네,15점,리뷰없음,영도 | 카페   디저트
와치홈바,15점,리뷰없음,영도 | 칵테일바   와인바
해향,15점,리뷰없음,영도 | 해물탕   물회
차차토스트,15점,리뷰없음,부산영도 | 토스트
반올림피자샵 영도구청점,15점,리뷰없음,부산영도 | 피자
잭슨팹,15점,리뷰없음,영도 | 디저트   카페
