Name,score,userscore,detail
김씨네붴,49점,4.8점,문현동 | 아부라소바   일본식라멘
BHC 부산문현점,42점,4.4점,부산 | 치킨   치즈볼
하나돈까스 문현점,42점,4.0점,문현동 | 돈까스   김치치즈나베
런드리블루스,41점,4.1점,문현동 | 카페   아메리카노
호포갈비 문현점,40점,4.7점,문현동 | 갈비탕
이흥용베이커리,40점,4.0점,문현동 | 과자점   명란바게트
양미가 문현점,40점,5.0점,문현동 | 고기집   양등심
스타벅스 BIFC Mall점,38점,4.7점,문현동 | 카페   레모네이드
류센소 BIFC점,37점,5.0점,문현동 | 일본라멘
맷돌순두부,37점,4.0점,부산국제금융센터 | 순두부   카레순두부
아부라소바 부산,36점,5.0점,부산남구 | 차슈   아부라소바
롯데리아,36점,3.6점,문현동 | 햄버거   버거
꾸이점빵,36점,5.0점,문현동 | 소고기   빵
남지라면천국,36점,4.0점,문현동 | 라면   해장라면
가원밥상,35점,4.0점,문현동 | 아구찜   아구수육
칠성식당 본점,35점,4.0점,문현동 | 곱창집   곱창
보타닉 아덴,35점,3.2점,문현동 | 베이커리카페   아메리카노
신불떡볶이,34점,5.0점,문현동 | 떡볶이   불떡볶이
방콕식당,34점,5.0점,부산남구 | 태국음식   볶음밥
풀이랑 샐러드,34점,5.0점,문현동 | 샐러드   연어포케
와사비 문현점,34점,5.0점,문현동 | 꼬막정식   꼬막요리
블루샥 문현점,34점,5.0점,문현동 | 카페   디저트
호랭이국수,34점,리뷰없음,문현동 | 고기국수   국수
민속촌,33점,리뷰없음,문현동 | 수육   김치
칠성식당 2호점,33점,리뷰없음,문현동 | 곱창   양념곱창
유가네,33점,4.0점,문현동 | 닭갈비   철판볶음밥
전설의돈바베큐,33점,4.0점,문현동 | 돼지고기바베큐   고기집
대박집,33점,3.0점,문현동 | 물회   모듬물회
동천칼국수,32점,리뷰없음,문현동 | 손칼국수   칼국수
백두포차,32점,5.0점,문현동 | 포차   닭도리탕
카페도담,32점,4.0점,문현동 | 와플   카페
연일곱창,32점,리뷰없음,문현동 | 곱창   돼지곱창
텐퍼센트커피 문현금융단지점,32점,4.0점,부산 | 커피   카페
구이연가,32점,리뷰없음,문현동 | 구이   더덕구이
성해루,32점,3.0점,문현동 | 중국집   간짜장
베리라이스,32점,4.0점,문현동 | 김밥   치즈계란말이
