Name,score,userscore,detail
맛나분식,50점,5.0점,부산 | 계란만두   분식
배비장보쌈 구서본점,46점,4.7점,구서동 | 대통밥   쟁반국수
마파람해물찜해물탕 구서본점,44점,4.4점,구서동 | 해물찜   해물탕
농가의하루,44점,3.9점,구서동 | 파스타   이탈리안레스토랑
금정한정식,43점,5.0점,두실역 | 고등어구이   한정식
낭만연어,42점,4.7점,구서동 | 일식당   고로케
일디보오,41점,4.4점,두실역 | 파스타   피자
일생상회 소고기이야기,40점,5.0점,구서동 | 소고기   한우물회
이삭토스트 구서역점,40점,5.0점,구서역 | 토스트   베이컨토스트
동원분식,40점,4.0점,부산 | 김밥   분식
고봉민김밥인,39점,4.0점,부산 | 돈까스   김밥
송부장돼지갈비,38점,4.0점,부산 | 돼지갈비   된장찌개
Beans20,38점,5.0점,구서동 | 드립커피   아이스커피
해논산업 본점,38점,4.0점,금정구 | 한식   가자미회
바담코다리 구서본점,37점,4.4점,구서동 | 생선회
옥수관,37점,4.6점,구서동 | 곰탕   어복쟁반
루이안,37점,4.0점,구서동 | 중국집   중식당
만희지커피,37점,5.0점,구서동 | 브런치   브런치카페
전원숯불 부산구서점,37점,4.2점,구서동 | 돼지갈비   숯불갈비
돼지팥빙수 구서점,36점,5.0점,구서동 | 빙수   팥빙수
소담식당,36점,5.0점,구서동 | 돈까스   치즈돈까스
다루,36점,리뷰없음,구서동 | 수제비전문   해물수제비
고메밀면 서동점,35점,5.0점,금정구 | 갈비탕   밀면
할매회무침,35점,리뷰없음,부산 | 생선회   동동주
금정면옥,35점,4.6점,구서동 | 냉면전문   가오리회무침
진가원,35점,4.0점,구서동 | 콩나물국밥   묵사발
도너츠윤 부산금정점,35점,5.0점,구서동 | 도너츠   찹쌀도너츠
하이오커피,35점,3.5점,부산금정구 | 버블티   커피
카페우니스,35점,5.0점,구서동 | 브런치카페   우니
도로시,35점,5.0점,부산금정구 | 파니니   브런치
동천해물탕,35점,4.0점,구서동 | 아구찜   해물탕
가젠스시,35점,5.0점,구서동 | 초밥   스시
약수터해장국,35점,4.0점,구서동 | 해장국   우거지갈비탕
춘하추동칼국수,35점,4.8점,부산 | 칼국수   콩칼국수
한우고기집,35점,5.0점,구서동 | 한우   소고기구이
신전떡볶이,35점,5.0점,구서동 | 떡볶이   튀만두
카페 멜랑즈,35점,5.0점,구서동 | 타르트   카페
카페051 두실점,35점,5.0점,부산금정구 | 커피   카페
수,35점,5.0점,구서동 | 사시미   스시
에바돈가츠 구서점,35점,5.0점,구서동 | 돈까스
마베,35점,5.0점,구서동 | 크로와상   베이커리카페
리틀희,34점,리뷰없음,구서동 | 중식당   돌솥
신전떡볶이,34점,5.0점,부산 | 떡볶이   로제떡볶이
손칼국수,34점,5.0점,부산 | 손칼국수   비빔칼국수
피자스쿨,34점,5.0점,부산 | 피자   파인애플피자
