Name,score,userscore,detail
청호집,46점,3.7점,부산 | 해장국   선지국,부산광역시 남구 용당동 554-2 
스타벅스 동명대DT점,41점,4.2점,부산 | 카페   콜드브루,부산광역시 남구 용당동 532-26 
이비가짬뽕,35점,4.0점,부산 | 짬뽕   탕수육,부산광역시 남구 용당동 554 
진양연탄불백,34점,0.0점,부산 | 돼지고기   불백,부산광역시 남구 용당동 473-10 
고메밀면 용당점,33점,4.0점,부산 | 밀면,부산광역시 남구 용당동 542-4 
이상재함흥냉면,33점,4.0점,부산 | 함흥냉면   냉면,부산시 남구 용당동 542-5 
동명식육식당,33점,5.0점,부산 | 김치찌개   식육식당,부산광역시 남구 용당동 562-5 
미가원,33점,4.0점,대연동 | 중국집   신선로,부산광역시 남구 용당동 542-1 
영분식,31점,리뷰없음,부산 | 칼국수   분식,부산광역시 남구 용당동 135-5 
고향집칼국수,31점,리뷰없음,부산 | 칼국수   검정콩칼국수,부산광역시 남구 용당동 466-6 
영덕대게생각,31점,리뷰없음,용호동 | 대게   고래고기,부산광역시 남구 용당동 477-1 
공원집정식셀프,31점,리뷰없음,부산 | 뷔페   밥집,부산광역시 남구 용당동 568-2 
오마연어,31점,리뷰없음,부산남구 | 오마카세   연어,부산광역시 남구 용당동 468-10 
용당포구나무집,31점,리뷰없음,부산 | 사철탕,부산광역시 남구 용당동 261-2 
옛날맷돌순두부,31점,리뷰없음,부산남구 | 백반   순두부,부산광역시 남구 용당동 172-2 
강릉한우뒷고기,31점,리뷰없음,부산광역시 | 한우   뒷고기,부산광역시 남구 용당동 572-1 
강가네손만두,31점,리뷰없음,용호동 | 손만두   비빔만두,부산광역시 남구 용당동 482-1 
맥도날드,31점,리뷰없음,부산남구 | 버거   신선로,부산광역시 남구 용당동 524 
땅땅치킨 용호점,31점,리뷰없음,용호동 | 치킨   불갈비,부산광역시 남구 용당동 564-5 상가 1층 땅땅치킨 용당점 
네오피자 남구점,31점,리뷰없음,부산 | 피자,부산광역시 남구 용당동 563-8 
선화반점,15점,리뷰없음,용호동 | 중식   중국집,부산광역시 남구 용당동 470-5 
가배향화,15점,리뷰없음,대연동 | 커피   카페,부산광역시 남구 용당동 548-2 
바다양푼이동태탕 부산용당점,15점,리뷰없음,부산 | 동태탕   해물탕,부산광역시 남구 용당동 179-1 
국제통닭 용당점,15점,리뷰없음,부산남구 | 후라이드   깐풍치킨,부산광역시 남구 용당동 472-11 
명가추어탕,15점,리뷰없음,부산남구 | 추어탕   추어만두,부산광역시 남구 용당동 552-5 
신선관,15점,리뷰없음,부산남구 | 중국집   탕수육,부산광역시 남구 용당동 172-4 
별미식당,15점,리뷰없음,부산남구 | 뼈해장국   갈비탕,부산광역시 남구 용당동 180-2 
오륙도횟집,15점,리뷰없음,부산남구 | 횟집   생선회,부산광역시 남구 용당동 193-3 
마산식당,15점,리뷰없음,부산남구 | 소고기   소갈비살,부산광역시 남구 용당동 623-34 
투다리 용당점,15점,리뷰없음,부산남구 | 오뎅   꼬치,부산광역시 남구 용당동 565-16 
용궁횟집,15점,리뷰없음,부산남구 | 모듬회   매운탕,부산광역시 남구 용당동 566-5 
팬도로시 부경대점,15점,리뷰없음,부산남구 | 카페   커피,부산광역시 남구 용당동 산100 교양관 
덮담 도시락카페,15점,리뷰없음,부산 | 덮밥   도시락,부산광역시 남구 용당동 599-1 
투가이즈치킨&피자 남구점,15점,리뷰없음,부산남구 | 치킨   닭강정,부산광역시 남구 용당동 581-1 
마싯나베 샤브샤브전문점,15점,리뷰없음,부산남구 | 한식   밀푀유나베,부산광역시 남구 용당동 566-5 
전주콩나물해장국,15점,리뷰없음,부산남구 | 콩나물해장국,부산광역시 남구 용당동 623-34 
두레박,15점,리뷰없음,부산 | 한식   돈가스,부산광역시 남구 용당동 578-8 
갓골,15점,리뷰없음,부산남구 | 카페   계란빵,부산광역시 남구 용당동 566-3 
기사식당소풍,15점,리뷰없음,부산 | 기사식당   백반,부산광역시 남구 용당동  
더드림홀딩스 카페드림 동명대학교점,15점,리뷰없음,부산남구 | 카페,부산광역시 남구 용당동 485 
호호수산,15점,리뷰없음,부산남구 | 게요리,부산광역시 남구 용당동 482-1 
베이징스토리,15점,리뷰없음,부산 | 중식당   중국집,부산광역시 남구 용당동 485 
153커피하우스,15점,리뷰없음,부산 | 디저트   커피,부산광역시 남구 용당동 473-18 
시민족발보쌈 대연점,15점,리뷰없음,부산남구 | 족발   굴보쌈,부산광역시 남구 용당동 566-1 
순수빵,15점,리뷰없음,부산남구 | 베이커리,부산광역시 남구 용당동 351-6 
신선식당,15점,리뷰없음,부산남구 | 돼지불백,부산광역시 남구 용당동 180-6 
이디야커피 부산동명대점,15점,리뷰없음,부산남구 | 바닐라라떼   아메리카노,부산광역시 남구 용당동 485 
행복한빅마마삼겹,15점,리뷰없음,대연동 | 돼지고기   대패삼겹,부산광역시 남구 용당동 579-1 
지리산흑돼지,15점,리뷰없음,부산남구 | 흑돼지   김치찌개,부산광역시 남구 용당동 470-4 
맘스터치 동명대점,15점,리뷰없음,부산남구 | 치킨   햄버거,부산광역시 남구 용당동 485 
우리집밥,15점,리뷰없음,부산 | 해물,부산광역시 남구 용당동 182-6 
정담은감자탕,15점,리뷰없음,대연동 | 감자탕   우거지감자탕,부산광역시 남구 용당동 565-9 
다은이김밥,15점,리뷰없음,부산남구 | 김밥   우엉김밥,부산광역시 남구 용당동 468-10 
대원낙지,15점,리뷰없음,부산남구 | 낙지   낙곱새,부산광역시 남구 용당동 466-2 
용당가야밀면,15점,리뷰없음,부산 | 밀면   만두,부산광역시 남구 용당동 473-11 
참치브라더,15점,리뷰없음,부산광역시 | 생선회   참치,부산광역시 남구 용당동 245-9 
오션카페,15점,리뷰없음,부경대 | 카페   디저트,부산광역시 남구 용당동 180-4 
꾸브라꼬숯불두마리치킨 부산남구점,15점,리뷰없음,부산남구 | 치킨   숯불양념구이,부산광역시 남구 용당동 562-5 
뚜레쥬르 부산용당점,15점,리뷰없음,부산남구 | 베이커리,부산광역시 남구 용당동 565-9 
어벤커피 용당점,15점,리뷰없음,대연동 | 카페   디저트,부산광역시 남구 용당동 584 
카페드지,15점,리뷰없음,부산 | 카페   디저트,부산광역시 남구 용당동 285-4 
열정국밥,15점,리뷰없음,부산 | 내장탕   국밥,부산광역시 남구 용당동 587-2 1층 일부호() 
처갓집양념치킨 감만점,15점,리뷰없음,부경대 | 치킨   양념치킨,부산광역시 남구 용당동 180-4 
남다른 썬치킨 용당1호점,15점,리뷰없음,부산남구 | 치킨   닭강정,부산광역시 남구 용당동 564-3 
부산 용당동,score,userscore,detailsroca+
