Name,score,userscore,detail
영선꼼장어,41점,5.0점,영도 | 바다장어   꼼장어,부산광역시 영도구 대교동2가 14 
림스치킨,39점,5.0점,영도 | 치킨   후라이드,부산광역시 영도구 대교동2가 121 
경북밀면,39점,4.0점,영도 | 국수   밀면,부산 영도구 대교동2가 26-7 경북식당 
오유미당 영도점,38점,5.0점,영도 | 돈카츠   돈까스,부산광역시 영도구 대교동1가 179-7 
영도뼈다귀,38점,5.0점,영도 | 감자탕   뼈다귀해장국,부산광역시 영도구 대교동1가 179-1 
영도해장국,36점,4.0점,영도 | 해장국   뼈다귀해장국,부산시 영도구 대교동1가 182-1 
소문난돼지국밥집,36점,리뷰없음,영도 | 돼지국밥   따로국밥,부산광역시 영도구 대교동2가 170-3 
설빙 부산영도점,35점,5.0점,영도 | 빙수   인절미빙수,부산광역시 영도구 대교동2가 151-3 
명랑핫도그 영도점,34점,4.0점,영도 | 핫도그,부산 영도구 대교동2가 125 
가장맛있는족발족과의동침 영도점,33점,5.0점,영도 | 불족발   족발,부산광역시 영도구 대교동2가 135-7 
이디야커피 부산영도대교동점,33점,5.0점,영도 | 카페   쿠키,부산광역시 영도구 대교동2가 109 
텐퍼센트 영도대교점,33점,3.0점,부산영도 | 카페   라떼,부산광역시 영도구 대교동1가 155-2 
맛있는고기에솜씨를더하다,33점,4.6점,영도 | 오겹살   된장찌개,부산광역시 영도구 대교동1가 150 
사또분식,32점,2.6점,영도 | 분식   비빔김밥,부산 영도구 대교동2가 178-2 
곰짬뽕,32점,리뷰없음,영도 | 짬뽕   홍합짬뽕,부산광역시 영도구 대교동2가 32-2 
영도멸치국수 영도본점,31점,0점,영도 | 밥집   멸치국수,부산광역시 영도구 대교동2가 121-2 
초원복국,31점,리뷰없음,영도 | 복국   복수육,부산광역시 영도구 대교동2가 42-2 
7번가피자 영도중앙점,31점,리뷰없음,영도 | 피자,부산 영도구 대교동1가 39 1층 
영도다리삼계탕,31점,리뷰없음,영도 | 삼계탕   도다리,부산광역시 영도구 대교동1가 150-3 
육회공장 영도대교점,31점,리뷰없음,영도 | 육회,부산광역시 영도구 대교동2가 22-6 
때깔 영도점,31점,3.0점,영도 | 고기집   숙성생삼겹살,부산광역시 영도구 대교동2가 125-3 
맛깔참죽,31점,리뷰없음,영도 | 죽전문   죽집,부산광역시 영도구 대교동2가 146 
원조해장국꼬리곰탕,31점,리뷰없음,영도 | 해장국   꼬리곰탕,부산광역시 영도구 대교동2가 71-3 
카페 더 그리너리,31점,리뷰없음,부산영도 | 불고기파스타   토마토스튜,부산광역시 영도구 대교동1가 68-1 
삼화식당,31점,리뷰없음,부산영도 | 한식,부산광역시 영도구 대교동1가 181 
삼굽살 영도점,31점,리뷰없음,부산영도 | 삼겹살   돼지껍데기,부산광역시 영도구 대교동2가 104-2 
역전할머니맥주 부산영도점,31점,0점,영도 | 맥주   짜파구리,부산광역시 영도구 대교동2가 155 
완도삼계탕,31점,리뷰없음,영도 | 삼계탕   전복삼계탕,부산광역시 영도구 대교동2가 22-6 
나무섬,31점,리뷰없음,영도 | 모듬회   횟집,부산광역시 영도구 대교동2가 164-6 
드메르,31점,리뷰없음,부산영도 | 카페   cafe,부산광역시 영도구 대교동2가 1-1 
하이수산 영도직영점,31점,리뷰없음,영도 | 대게   킹크랩,부산광역시 영도구 대교동2가 105-9 
팔금산,31점,리뷰없음,영도 | 횟집   초밥,부산광역시 영도구 대교동2가 95 
부산본가돼지국밥 영도직영점,31점,리뷰없음,영도 | 돼지국밥   얼큰국밥,부산광역시 영도구 대교동1가 79 
봉래밀면,31점,리뷰없음,영도 | 국수   비빔밀면,부산광역시 영도구 대교동2가 24-1 
앵콜보리밥&찰밥,31점,리뷰없음,부산 | 보리밥   찰밥,부산광역시 영도구 대교동2가 172-2 
스타벅스 영도대교점,31점,3.0점,영도 | 아메리카노   자바칩프라푸치노,부산광역시 영도구 대교동1가 47 영도해안루미너스 
영도아나고숯불구이,31점,리뷰없음,영도 | 장어탕   숯불갈비,부산광역시 영도구 대교동2가 163-9 
동보성,31점,리뷰없음,영도 | 중국집   잡채밥,부산광역시 영도구 대교동2가 71-5 
천탁,31점,리뷰없음,영도 | 막걸리   김치전,부산광역시 영도구 대교동2가 10 
산청 경호강 추어탕,31점,리뷰없음,영도 | 장어구이   추어탕,부산시 영도구 대교동 1가 157-9 
진주식당,15점,리뷰없음,영도 | 한식   콩나물해장국,부산광역시 영도구 대교동1가 22-1 
공차 부산영도점,15점,리뷰없음,부산영도 | 버블티,부산광역시 영도구 대교동2가 103-6 
배스킨라빈스,15점,리뷰없음,영도 | 아이스크림   민트초코,부산광역시 영도구 대교동2가 133-2 
치킨스톰,15점,리뷰없음,영도 | 치킨   유린기,부산광역시 영도구 대교동1가 182-3 
비취커피숍,15점,리뷰없음,부산영도 | 커피,부산광역시 영도구 대교동1가 177-2 
칠성다방,15점,리뷰없음,부산영도 | 커피,부산광역시 영도구 대교동1가 157 
정실장S골목참치,15점,리뷰없음,부산영도 | 참치   생선회,부산광역시 영도구 대교동2가 105-1 
두건쓴형제 영도점,15점,리뷰없음,영도 | 이베리코꽃목살   돼지고기,부산광역시 영도구 대교동2가 178-1 
