Name,score,userscore,detail
동래밀면,55점,4.5점,부산동래 | 만두   밀면,부산광역시 동래구 수안동 9-33 
원카츠 동래본점,45점,4.8점,동래 | 돈까스   카츠동,부산광역시 동래구 수안동 597 
블루샥 온천천점,44점,5.0점,온천천 | 라떼   카페,부산광역시 동래구 수안동 41-7 
투썸플레이스 부산온천천점,43점,4.6점,온천천 | 케이크   아메리카노,부산광역시 동래구 수안동 41-14 
재진이네 아구찜,40점,5.0점,동래시장 | 구이   아구찜,부산광역시 동래구 수안동 392 
한양족발,40점,4.0점,동래 | 족발   냉채족발,부산광역시 동래구 수안동 595 
봉평막국수,40점,4.2점,동래 | 만두   수육,부산광역시 동래구 수안동 1-25 
레이지모먼트커피스탠드,40점,4.7점,온천천 | 카페,부산광역시 동래구 수안동 35-40 
수안커피,39점,4.3점,동래 | 카페   커피,부산광역시 동래구 수안동 108-5 
보고커피 동래점,39점,5.0점,동래 | 커피   크로플,부산광역시 동래구 수안동 507 
금수복국 동래점,37점,5.0점,동래 | 복국   까치복,부산광역시 동래구 수안동 1-5 
24시 장수촌 순대돼지국밥 수안점,37점,3.3점,온천천 | 돼지국밥   순대,부산광역시 동래구 수안동 41-14 
두리양평해장국,37점,5.0점,동래 | 해장국   내장탕,부산광역시 동래구 수안동 192-7 
동래불백,36점,4.1점,수안역 | 불백   김치찌개,부산광역시 동래구 수안동 9-45 
돈카츠공방,36점,5.0점,동래역 | 돈카츠   치즈카츠,부산광역시 동래구 수안동 749 
수안뚝배기순두부,36점,5.0점,동래 | 순두부   뚝배기,부산광역시 동래구 수안동 9-35 
꼬꼬방,36점,5.0점,동래 | 치킨   통닭,부산광역시 동래구 수안동 333-6 
낙원갈비집 부산동래점,35점,4.0점,동래 | 샤브샤브   갈비,부산광역시 동래구 수안동 469-5 
아빠와돈까스,35점,리뷰없음,동래 | 경양식   돈까스,부산광역시 동래구 수안동 9-34 
사헌삼계탕,35점,5.0점,동래구 | 삼계탕,부산광역시 동래구 수안동 3-8 
오누,34점,5.0점,부산동래 | 카페   디저트,부산광역시 동래구 수안동 33-36 
원조본가산곰장어집,34점,5.0점,동래 | 곰장어   산곰장어,부산광역시 동래구 수안동 441-2 
정림전통한식,34점,5.0점,동래 | 한정식,부산시 동래구 수안동 460-3 
밥도둑 1번지,34점,리뷰없음,동래 | 게장   간장게장,부산시 동래구 수안동 580-2 
국수박사,34점,3.5점,동래시장 | 손칼국수   국수,부산광역시 동래구 수안동 422-1 
통뼈감자탕 수안점,34점,5.0점,동래 | 감자탕   뼈찜,부산 동래구 수안동 9-1 
돼지한마리,33점,리뷰없음,동래 | 돼지고기,부산광역시 동래구 수안동 4-7 
동래올빼미,33점,5.0점,동래 | 술집   마카롱,부산광역시 동래구 수안동 6-1 
지썅지썅,33점,3.0점,동래 | 중식   중국집,부산광역시 동래구 수안동 500-2 
동래뽈찜,33점,5.0점,동래 | 아귀찜   대구뽈찜,부산광역시 동래구 수안동 3-6 
명륜진사갈비 부산수안점,33점,5.0점,부산동래 | 돼지갈비   갈비,부산광역시 동래구 수안동 9-14 
카페 네이지,32점,리뷰없음,동래 | 브런치   브런치카페,부산광역시 동래구 수안동 291 
대자연경성양육관 본점,32점,리뷰없음,동래 | 양꼬치   양고기,부산광역시 동래구 수안동 556-3 
동래통닭,32점,리뷰없음,부산 | 치킨집   통닭,부산광역시 동래구 수안동 440-2 
꼬리집,32점,리뷰없음,동래 | 곰탕   꼬리곰탕,부산광역시 동래구 수안동 565-2 
정림쌈장명가,31점,리뷰없음,동래 | 쌈밥   돌솥밥,부산광역시 동래구 수안동 464-6 
오삼겹,31점,리뷰없음,동래 | 삼겹살   대패삼겹살,부산광역시 동래구 수안동 510-3 
부산라멘,31점,리뷰없음,동래 | 일본식라멘   라멘,부산광역시 동래구 수안동 520 
바우 석쇠 구이,31점,리뷰없음,동래 | 숯불구이   석쇠구이,부산시 동래구 수안동 1-10 
다래성,31점,리뷰없음,동래 | 중화요리   중국집,부산광역시 동래구 수안동 3-12 
동래집곰장어,31점,3.0점,동래 | 곰장어   곰장어구이,부산광역시 동래구 수안동 450-1 
씨에씨에마라탕,31점,리뷰없음,부산동래 | 마라탕,부산광역시 동래구 수안동 188-6 2층 9호() 
명품물회 동래점,31점,리뷰없음,동래 | 물회,부산광역시 동래구 수안동 123-4 
통영집,31점,리뷰없음,동래 | 물회   가자미물회,부산광역시 동래구 수안동 507 
전통곰장어,31점,리뷰없음,동래 | 곰장어,부산광역시 동래구 수안동 436-3 
상우갈비,31점,리뷰없음,동래 | 돼지갈비   갈비,부산광역시 동래구 수안동 178-1 
석정생삼겹살,31점,리뷰없음,부산 | 삼겹살   고기집,부산광역시 동래구 수안동 38-55 
고려삼계탕,31점,리뷰없음,동래 | 삼계탕   인삼주,부산광역시 동래구 수안동 501 
명가,31점,리뷰없음,동래 | 고기집   석쇠구이,부산광역시 동래구 수안동 2-5 
할매아구찜,31점,리뷰없음,수안역 | 아구찜,부산광역시 동래구 수안동 381 
생선구이,31점,리뷰없음,부산동래 | 생선구이,부산광역시 동래구 수안동 437-3 
지호한방삼계탕,31점,리뷰없음,동래 | 삼계탕   한방삼계탕,부산광역시 동래구 수안동 189-2 
안주천국 수안점,31점,리뷰없음,부산동래 | 호프,부산광역시 동래구 수안동 437-3 
성향산곰장어,31점,리뷰없음,부산동래 | 장어,부산광역시 동래구 수안동 430-2 
무진장횟집,31점,리뷰없음,동래 | 횟집   방어,부산광역시 동래구 수안동 448-1 
의령돼지국밥,31점,리뷰없음,동래시장 | 돼지국밥   소머리수육,부산광역시 동래구 수안동 379-1 
재민국밥,31점,리뷰없음,동래시장 | 돼지국밥   국밥,부산광역시 동래구 수안동 324-3 
원조할매곰장어,31점,리뷰없음,동래 | 꼼장어   곰장어,부산광역시 동래구 수안동 586 
24시전주명가콩나물국밥 동래점,15점,리뷰없음,동래 | 콩나물국밥   김치콩나물국밥,부산광역시 동래구 수안동 162-1 
황해도,15점,리뷰없음,동래 | 가정식   간장,부산광역시 동래구 수안동 9-13 
제주흑돼지,15점,리뷰없음,동래 | 오겹살   흑돼지,부산광역시 동래구 수안동 4-16 
고봉민김밥인,15점,리뷰없음,동래 | 김밥   돈까스김밥,부산광역시 동래구 수안동 4-1 
빚은,15점,리뷰없음,동래 | 떡집   떡,부산광역시 동래구 수안동 4-5 
동성루,15점,리뷰없음,부산 | 짜장면   짬뽕,부산광역시 동래구 수안동 38-40 
티바두마리치킨 부산수안낙민점,15점,리뷰없음,동래 | 치킨   치킨집,부산광역시 동래구 수안동 39-40 
카페코코넛,15점,리뷰없음,동래구 | 카페   커피,부산광역시 동래구 수안동 324-2 
낙원떡집,15점,리뷰없음,동래시장 | 떡집,부산광역시 동래구 수안동 312 
전통본가밀면,15점,리뷰없음,동래 | 국수   물밀면,부산광역시 동래구 수안동 231-1 
쑝쑝돈까스 수안점,15점,리뷰없음,동래 | 돈까스   치즈돈까스,부산광역시 동래구 수안동 473-7 
더찜,15점,리뷰없음,부산동래 | 돼지김치찜,부산광역시 동래구 수안동 6-1 상가라동 1층 13호 
동래추어탕,15점,리뷰없음,동래 | 추어탕,부산광역시 동래구 수안동 9-37 
송원수산,15점,리뷰없음,동래 | 참도다리   횟집,부산광역시 동래구 수안동 394-1 
일번가산곰장어,15점,리뷰없음,부산동래 | 장어   먹장어,부산광역시 동래구 수안동 430-2 
아정횟집,15점,리뷰없음,동래구 | 생선회,부산광역시 동래구 수안동 430-2 
팔딱추어탕,15점,리뷰없음,부산동래 | 추어탕,부산광역시 동래구 수안동 2-9 
옛날통닭,15점,리뷰없음,부산동래 | 통닭,부산광역시 동래구 수안동 306-1 
동래식당,15점,리뷰없음,동래구 | 생선조림   생선구이,부산광역시 동래구 수안동 327-1 
진짜루,15점,리뷰없음,동래 | 중국집   미니탕수육,부산광역시 동래구 수안동 325-8 2층 
The옛날통닭,15점,리뷰없음,동래시장 | 통닭   옛날통닭,부산광역시 동래구 수안동 317-3 
정가네생선구이정식,15점,리뷰없음,동래 | 생선구이   고등어,부산광역시 동래구 수안동 9-13 
아지트,15점,리뷰없음,부산동래 | 포차,부산광역시 동래구 수안동 268-15 
썬더치킨 수안1호점,15점,리뷰없음,동래 | 치킨   후라이드,부산광역시 동래구 수안동 4-19 
교촌치킨 수안점,15점,리뷰없음,동래 | 치킨   오리,부산광역시 동래구 수안동 192-4 
자연산참가자미회,15점,리뷰없음,동래 | 생선회   가자미회,부산광역시 동래구 수안동 2-1 
파파쿠킹,15점,리뷰없음,동래구 | 반미샌드위치,부산광역시 동래구 수안동 188-6 
먹거리장터,15점,리뷰없음,부산동래 | 분식   순대,부산광역시 동래구 수안동 313-3 
올치그로우,15점,리뷰없음,부산 | 샐러드,부산광역시 동래구 수안동 665-1 
이디야커피 동래시장점,15점,리뷰없음,수안역 | 아메리카노   토피넛라떼,부산광역시 동래구 수안동 469-1 
샬롬여기는맛집,15점,리뷰없음,부산동래 | 짬뽕   탄탄면,부산광역시 동래구 수안동 367-2 
상해,15점,리뷰없음,부산동래 | 중식당,부산광역시 동래구 수안동 268-19 
몽블랑,15점,리뷰없음,부산동래 | 맥주   호프,부산광역시 동래구 수안동 595 
