Name,score,userscore,detail
제줏간 하단점,41점,4.6점,부산하단 | 고기집   주스,부산광역시 사하구 당리동 303-4 
진스시,41점,5.0점,사하구 | 초밥   스시,부산광역시 사하구 당리동 316-17 
나누면,40점,0.0점,하단 | 면요리   국수,부산시 사하구 당리동 313-14 
효탄,39점,5.0점,사하구 | 이자카야   이자까야,부산광역시 사하구 당리동 318-18 
핸즈커피,39점,5.0점,사하구 | 커피   딸기케이크,부산광역시 사하구 당리동 317-58 
복어야아구야 하단점,37점,5.0점,하단 | 아귀찜   아구찜,부산광역시 사하구 당리동 304-19 
오공떵번,35점,4.5점,사하구 | 베트남쌀국수   쌀국수,부산광역시 사하구 당리동 313-3 
브라운박스커피,35점,0점,당리역 | 카페,부산광역시 사하구 당리동 316-9 
통영도매회센터,35점,5.0점,사하구 | 횟집   회센터,부산시 사하구 당리동 341-44 
하나돈까스 사하점,34점,0.0점,사하 | 돈까스   김치치즈나베,부산광역시 사하구 당리동 316-22 
꾸브라꼬 숯불 두마리치킨,34점,5.0점,하단 | 숯불치킨   치킨,부산광역시 사하구 당리동 350-22 
늘솜,34점,리뷰없음,사하구 | 돈까스   모밀국수,부산광역시 사하구 당리동 339-26 
진성원,34점,4.0점,하단 | 숯불구이   한우,부산광역시 사하구 당리동 304-31 
원정집 하단2호점,33점,리뷰없음,하단 | 닭볶음탕   석쇠불고기,부산광역시 사하구 당리동 303-15 
하단만족,32점,5.0점,하단 | 족발   보쌈,부산광역시 사하구 당리동 306-3 
더가리비,32점,4.0점,하단 | 조개구이   가리비,부산광역시 사하구 당리동 303-12 
카페 아래치,32점,리뷰없음,하단 | 루프탑   카페,부산광역시 사하구 당리동 308-11 
미친막창,32점,리뷰없음,사하구 | 막창   소금구이막창,부산광역시 사하구 당리동 337-2 
당리사계절밀면 본점,32점,5.0점,괴정 | 국수   비빔밀면,부산광역시 사하구 당리동 331-17 
도담,32점,0.0점,하단 | 소금구이   목살,부산광역시 사하구 당리동 303-12 
양정명동찌개마을 당리점,32점,리뷰없음,부산광역시 | 동태탕   찌개,부산광역시 사하구 당리동 331-46 
동해옥함흥냉면 수제순대,32점,리뷰없음,사하구 | 순대   수제순대,부산광역시 사하구 당리동 317-80 
365꼬막정찬,31점,5.0점,사하구 | 꼬막   꼬막정식,부산광역시 사하구 당리동 321-1 경성리치W상가 
우마이찬,31점,4.0점,괴정 | 이자카야   생연어사시미,부산광역시 사하구 당리동 327-10 
장방,31점,리뷰없음,하단 | 쌈밥정식   쌈밥,부산광역시 사하구 당리동 302-2 
유메,31점,0점,하단 | 이자카야   돈까스,부산광역시 사하구 당리동 303-13 
복돌양곱창,31점,리뷰없음,하단 | 곱창   곱창전골,부산광역시 사하구 당리동 305-16 
와스에,31점,5.0점,사하구 | 스시   초밥,부산광역시 사하구 당리동 324-21 
두껍스,31점,리뷰없음,괴정 | 막창전문   막창,부산광역시 사하구 당리동 324-18 
사랑방메기탕 당리점,31점,리뷰없음,당리역 | 매운탕   메기매운탕,부산광역시 사하구 당리동 304-14 
맛나감자탕 사하구청점,31점,4.5점,사하구 | 감자탕   뼈다귀해장국,부산광역시 사하구 당리동 321-1 상가 2층 200호 
봉추찜닭,31점,리뷰없음,하단 | 납작당면   찜닭,부산광역시 사하구 당리동 305-27 
식당3선,31점,4.0점,사하구 | 한식   양념돼지갈비,부산광역시 사하구 당리동 313-12 
포항물회,31점,리뷰없음,사하구 | 물회   가자미물회,부산광역시 사하구 당리동 324-29 
할매복집,31점,리뷰없음,사하구 | 복국   복집,부산광역시 사하구 당리동 330-6 
양꼬챙이,31점,리뷰없음,사하구 | 양꼬치   양갈비,부산광역시 사하구 당리동 331-31 
본죽,31점,4.9점,부산사하구 | 죽집   비빔밥,부산광역시 사하구 당리동 303-8 
신라삼계탕,31점,리뷰없음,하단 | 삼계탕   옻삼계탕,부산광역시 사하구 당리동 304-9 
화이트콩,31점,리뷰없음,사하구 | 카페   cafe,부산광역시 사하구 당리동 341-45 
남경횟집,31점,리뷰없음,하단 | 횟집   모듬회,부산광역시 사하구 당리동 305-24 
개성옹기곰탕,31점,리뷰없음,하단 | 곰탕   양지곰탕,부산광역시 사하구 당리동 304-39 
부산밤,31점,리뷰없음,부산사하구 | 야식,부산광역시 사하구 당리동 350-22 
봉평산골메밀촌,31점,리뷰없음,하단 | 막국수   메밀,부산광역시 사하구 당리동 313-50 
어심초밥,31점,리뷰없음,하단 | 코스요리   초밥,부산광역시 사하구 당리동 305-2 
삼삼낙곱새,31점,리뷰없음,하단 | 낙지요리   식혜,부산광역시 사하구 당리동 498-5 
고집센그집갈비탕,31점,리뷰없음,하단 | 갈비찜   갈비탕,부산광역시 사하구 당리동 326-6 
떡군이네 떡볶이 사하구점,31점,0점,부산사하구 | 떡볶이   분식,부산광역시 사하구 당리동 336-2 1층 () 
커피팜,31점,리뷰없음,사하구 | 로스터리카페   커피,부산광역시 사하구 당리동 336-3 
명품포항물회,31점,리뷰없음,부산사하구 | 물회   잡어물회,부산광역시 사하구 당리동 303-6 
신기한꽃게장 사하점,31점,리뷰없음,당리역 | 간장게장   양념게장,부산광역시 사하구 당리동 336-26 
홍돈,31점,4.0점,하단 | 오겹살   제주생고기,부산광역시 사하구 당리동 303-15 
70연탄 하단점,31점,리뷰없음,하단 | 돼지고기   이베리코흑돼지,부산광역시 사하구 당리동 304-36 
돌산산장,31점,리뷰없음,사하구 | 한식   촌닭백숙,부산광역시 사하구 당리동 22-13 
떡의궁전 사하점,31점,리뷰없음,사하구 | 떡집   떡,부산광역시 사하구 당리동 324-23 
한우직판장함흥냉면,31점,리뷰없음,하단 | 함흥냉면   한우,부산광역시 사하구 당리동 302-4 
자성화맛집코다리네,31점,리뷰없음,사하구 | 코다리찜   코다리,부산광역시 사하구 당리동 317-42 
로바타천,31점,리뷰없음,하단 | 오마카세   이자카야,부산광역시 사하구 당리동 305-9 
톤보,31점,리뷰없음,사하구 | 화로구이   소고기,부산광역시 사하구 당리동 317-35 
양자강,31점,리뷰없음,사하구 | 중국집   탕수육,부산광역시 사하구 당리동 326-22 
황해만두,31점,리뷰없음,사하구 | 칼국수   이북식만두,부산광역시 사하구 당리동 330-20 
조가네펍,31점,리뷰없음,사하구 | 술집   펍,부산광역시 사하구 당리동 70-2 
꾸바꾸바 당리점,31점,리뷰없음,부산 | 치킨   숯불양념바베큐,부산광역시 사하구 당리동 317-1 
목화관,31점,리뷰없음,사하구 | 중국집   탕짜면,부산광역시 사하구 당리동 312-17 
