Name,score,userscore,detail
오브베이크샵,43점,5.0점,사상 | 베이커리   휘낭시에,부산광역시 사상구 학장동 437 
종가집돼지국밥,43점,4.1점,사상 | 돼지국밥   수육백반,부산광역시 사상구 학장동 395 
오르디,42점,4.2점,사상 | 카페   디저트,부산광역시 사상구 학장동 585-8 
상해만두,42점,4.5점,부산사상 | 만두   잡채밥,부산광역시 사상구 학장동 산149-13 
춘향아씨,37점,4.4점,부산사상 | 퓨전포차   술집,부산광역시 사상구 학장동 797-15 
클래식캠퍼,37점,4.0점,부산사상 | 캠핑카페   이색카페,부산광역시 사상구 학장동 261-1 
닭드리숯불치킨,33점,5.0점,사상 | 치킨   닭,부산광역시 사상구 학장동 610-6 
청기와샤브샤브,33점,4.0점,사상 | 샤브샤브   영양죽,부산광역시 사상구 학장동 160-7 
대영식품 축산물센터식육식당,33점,4.0점,사상 | 식육식당   한우갈비탕,부산광역시 사상구 학장동 565-1 
하동돼지국밥,33점,리뷰없음,사상 | 돼지국밥   가마솥,부산광역시 사상구 학장동 585-61 
구덕민속촌,32점,3.0점,사상 | 오리고기   가마구이,부산광역시 사상구 학장동 153 
우디브룩,32점,3.0점,부산사상 | 카페   쉬림프오일파스타,부산광역시 사상구 학장동 64 
선우정,32점,리뷰없음,사상 | 짬뽕   닭한마리,부산광역시 사상구 학장동 319 
불나라닭발,32점,3.0점,사상 | 닭발   닭날개,부산광역시 사상구 학장동 820-1 
역전할머니맥주 학장점,32점,4.6점,사상 | 살얼음맥주   오징어입,부산광역시 사상구 학장동 574-100 
카페 바이버,32점,3.8점,사상 | 베이커리카페   아메리카노,부산광역시 사상구 학장동 273-13 
커피 프라하,32점,3.8점,부산 | 와플   커피,부산광역시 사상구 학장동 557 
가얏골감자탕,32점,3.6점,사상 | 감자탕   우거지감자탕,부산광역시 사상구 학장동 574-63 
하삼동커피 구덕점,31점,3.0점,부산 | 카페   커피,부산광역시 사상구 학장동 566 
가야정삼계탕,31점,2.9점,사상 | 삼계탕   전복삼계탕,부산광역시 사상구 학장동 433-2 
양평칼국수,31점,리뷰없음,사상 | 칼국수   육개장칼국수,부산광역시 사상구 학장동 279-16 
홍쉬엔샹,31점,4.0점,부산 | 중식당   중국집,부산광역시 사상구 학장동 585-18 
맛나감자탕,31점,리뷰없음,사상 | 감자탕   해물뼈찜,부산광역시 사상구 학장동 585-15 
산풀주막,31점,리뷰없음,사상 | 막걸리   산나물,부산광역시 사상구 학장동 579-9 
시골밥상,31점,3.0점,사상 | 우삼겹살   생삼겹살,부산광역시 사상구 학장동 574-57 
구버구버,31점,2.0점,사상 | 숯불갈비   돼지갈비,부산광역시 사상구 학장동 555-2 
삼성복국,31점,리뷰없음,부산 | 복국   복지리,부산광역시 사상구 학장동 260-1 
대복복국,31점,리뷰없음,사상 | 게장무한리필   복국,부산광역시 사상구 학장동 490-3 
우리식당,31점,리뷰없음,사상 | 한식   휘낭시에,부산광역시 사상구 학장동 459-2 
봉식이반점,31점,리뷰없음,부산 | 막창   중국집,부산광역시 사상구 학장동 565-1 
롯데리아,31점,리뷰없음,부산 | 버거   오징어,부산광역시 사상구 학장동 574-100 
등대횟집,31점,리뷰없음,부산 | 횟집   모듬회,부산광역시 사상구 학장동 797-17 
삼겹구이,31점,리뷰없음,사상 | 돼지고기   대패삼겹살,부산광역시 사상구 학장동 536 
무쏘실내포장,31점,리뷰없음,부산사상 | 실내포차   술집,부산광역시 사상구 학장동 612-3 
고봉민김밥인,31점,리뷰없음,부산 | 김밥   돈까스김밥,부산광역시 사상구 학장동 585-15 
통큰노가리 학장점,31점,리뷰없음,부산사상 | 노가리,부산광역시 사상구 학장동 566 
국제시장국제통닭,31점,리뷰없음,부산 | 통닭   깐풍치킨,부산광역시 사상구 학장동 819 
태화반점,31점,리뷰없음,부산 | 중식당,부산광역시 사상구 학장동 571-4 
양자강,31점,리뷰없음,부산 | 짜장면   탕수육,부산광역시 사상구 학장동 573-1 
삼성반점,31점,리뷰없음,부산 | 중식당,부산광역시 사상구 학장동 288-8 
교촌치킨 학장점,31점,5.0점,부산 | 양꼬치   치킨,부산광역시 사상구 학장동 산149-16 
이가돈통,31점,리뷰없음,사상 | 육회   구이,부산광역시 사상구 학장동 168-1 
학장생고기촌,31점,리뷰없음,부산 | 생고기   안거미,부산광역시 사상구 학장동 557 
미뚱김밥,15점,5.0점,부산 | 김밥집   참치김밥,부산광역시 사상구 학장동 산149-16 도로변1층 
부평왕족발,15점,4.5점,부산 | 족발,부산광역시 사상구 학장동 819 금강아파트 상가 
맘스터치 부산학장점,15점,5.0점,부산 | 치킨버거   치킨,부산광역시 사상구 학장동 820-34 
썬더치킨 학장1호점,15점,5.0점,부산 | 치킨   치킨집,부산광역시 사상구 학장동 579-11 
대구생막창,15점,5.0점,부산 | 포장마차   생막창,부산광역시 사상구 학장동 585-24 
컴포즈커피 학장점,15점,5.0점,부산 | 카페   커피,부산광역시 사상구 학장동 574-5 
이디야커피 부산학장동점,15점,5.0점,부산사상 | 커피   카페,부산광역시 사상구 학장동 574-13 
읍천리382 학장점,15점,5.0점,사상 | 카페   불고기샌드위치,부산광역시 사상구 학장동 557-1 
피자스쿨 부산학장점,15점,4.0점,부산 | 피자   치즈피자,부산광역시 사상구 학장동 573-1 
불막열삼 학장점,15점,리뷰없음,사상 | 막창   곱창,부산광역시 사상구 학장동 389-1 
류길상피자,15점,리뷰없음,부산 | 피자,부산광역시 사상구 학장동 394-1 
삼겹파티 학장점,15점,리뷰없음,부산 | 대패삼겹살   고기집,부산광역시 사상구 학장동 574-82 
BBQ,15점,리뷰없음,사상 | 치킨   갈비치킨,부산광역시 사상구 학장동 574-44 
굽네치킨,15점,0점,부산 | 치킨   갈비,부산광역시 사상구 학장동 610-7 
오동동아구할매집,15점,리뷰없음,사상 | 커피   카페,부산광역시 사상구 학장동 820-1 
대림반점,15점,리뷰없음,부산 | 중식당,부산광역시 사상구 학장동 167-3 
낙원집,15점,리뷰없음,부산 | 아구찜   아귀찜,부산광역시 사상구 학장동 579-5 
북경반점 북경반점,15점,리뷰없음,부산사상 | 짜장면   중화요리,부산광역시 사상구 학장동 210-1 
별미식당,15점,리뷰없음,부산사상 | 한식,부산광역시 사상구 학장동 281-1 
힘쎈민물장어,15점,리뷰없음,사상 | 장어   민물장어,부산광역시 사상구 학장동 535-11 
본죽 부산학장점,15점,리뷰없음,부산사상 | 전복죽   죽집,부산광역시 사상구 학장동 574-57 
해초과메기,15점,리뷰없음,부산사상 | 과메기,부산광역시 사상구 학장동 553-1 
학장집,15점,리뷰없음,주례 | 오뎅꼬치   오뎅바,부산광역시 사상구 학장동 579-9 
송미당 학장점,15점,리뷰없음,부산사상 | 수제고로케,부산광역시 사상구 학장동 612-1 
상상짬뽕,15점,리뷰없음,사상 | 짬뽕   유니짜장,부산광역시 사상구 학장동 797-17 
냠냠숯불두마리치킨 엄궁학장점,15점,리뷰없음,부산 | 숯불치킨   숯불구이,부산광역시 사상구 학장동 610-5 
자금성,15점,리뷰없음,부산사상 | 중식당   중식,부산광역시 사상구 학장동 610-6 
카페글먹,15점,리뷰없음,부산사상 | 카페   커피,부산광역시 사상구 학장동 453-3 
대박횟집,15점,리뷰없음,사상 | 횟집   생선회,부산광역시 사상구 학장동 585-21 
콩콩설기,15점,리뷰없음,부산사상 | 카페   디저트,부산광역시 사상구 학장동 574-13 
장풍각,15점,리뷰없음,부산사상 | 중식당,부산광역시 사상구 학장동 571-3 
츄러스1500 학장점,15점,리뷰없음,부산사상 | 카페   고구마무스,부산광역시 사상구 학장동 산149-16 1층 츄러스1500 
소나무,15점,리뷰없음,부산사상 | 한식   닭발,부산광역시 사상구 학장동 579-5 
선미네밥집,15점,리뷰없음,부산사상 | 한식,부산광역시 사상구 학장동 610-6 
맛고을,15점,리뷰없음,부산사상 | 한식,부산광역시 사상구 학장동 573-1 
