Name,score,userscore,detail
맛나분식,50점,5.0점,부산 | 계란만두   분식,부산광역시 금정구 서동 381-70 
배비장보쌈 구서본점,46점,4.7점,구서동 | 대통밥   쟁반국수,부산광역시 금정구 구서동  84-15 
마파람해물찜해물탕 구서본점,44점,4.4점,구서동 | 해물찜   해물탕,부산광역시 금정구 구서동 457-2 
농가의하루,44점,3.9점,구서동 | 파스타   이탈리안레스토랑,부산 금정구 구서동 1033-6 
금정한정식,43점,5.0점,두실역 | 고등어구이   한정식,부산광역시 금정구 구서동 1012-2 
낭만연어,42점,4.7점,구서동 | 일식당   고로케,부산광역시 금정구 구서동 457-14 
일디보오,41점,4.4점,두실역 | 파스타   피자,부산광역시 금정구 구서동 1026-2 
일생상회 소고기이야기,40점,5.0점,구서동 | 소고기   한우물회,부산광역시 금정구 구서동 414-82 
이삭토스트 구서역점,40점,5.0점,구서역 | 토스트   베이컨토스트,부산광역시 금정구 구서동 415-2 
동원분식,40점,4.0점,부산 | 김밥   분식,부산광역시 금정구 서동 113-21 
고봉민김밥인,39점,4.0점,부산 | 돈까스   김밥,부산광역시 금정구 서동 198-5 
송부장돼지갈비,38점,4.0점,부산 | 돼지갈비   된장찌개,부산광역시 금정구 서동 210-6 
Beans20,38점,5.0점,구서동 | 드립커피   아이스커피,부산광역시 금정구 구서동 413-7 
해논산업 본점,38점,4.0점,금정구 | 한식   가자미회,부산광역시 금정구 구서동 87-9 
바담코다리 구서본점,37점,4.4점,구서동 | 생선회,부산광역시 금정구 구서동 1005-1 
옥수관,37점,4.6점,구서동 | 곰탕   어복쟁반,부산광역시 금정구 구서동 469-1 
루이안,37점,4.0점,구서동 | 중국집   중식당,부산광역시 금정구 구서동 252-13 2층 
만희지커피,37점,5.0점,구서동 | 브런치   브런치카페,부산광역시 금정구 구서동 775-3 보경공인중개사(청솔아카데미) 
전원숯불 부산구서점,37점,4.2점,구서동 | 돼지갈비   숯불갈비,부산광역시 금정구 구서동 260-14 
돼지팥빙수 구서점,36점,5.0점,구서동 | 빙수   팥빙수,부산광역시 금정구 구서동 192-5 
소담식당,36점,5.0점,구서동 | 돈까스   치즈돈까스,부산광역시 금정구 구서동 86-86 
다루,36점,리뷰없음,구서동 | 수제비전문   해물수제비,부산광역시 금정구 구서동 1026-9 
고메밀면 서동점,35점,5.0점,금정구 | 갈비탕   밀면,부산광역시 금정구 서동 198-6 
할매회무침,35점,리뷰없음,부산 | 생선회   동동주,부산광역시 금정구 서동 194-36 
금정면옥,35점,4.6점,구서동 | 냉면전문   가오리회무침,부산광역시 금정구 구서동 1013-5 
진가원,35점,4.0점,구서동 | 콩나물국밥   묵사발,부산광역시 금정구 구서동 415-3 
도너츠윤 부산금정점,35점,5.0점,구서동 | 도너츠   찹쌀도너츠,부산광역시 금정구 구서동 252-16 
하이오커피,35점,3.5점,부산금정구 | 버블티   커피,부산광역시 금정구 구서동 415-112 
카페우니스,35점,5.0점,구서동 | 브런치카페   우니,부산광역시 금정구 구서동 1021-4 
도로시,35점,5.0점,부산금정구 | 파니니   브런치,부산광역시 금정구 구서동 1022-7 
동천해물탕,35점,4.0점,구서동 | 아구찜   해물탕,부산광역시 금정구 구서동 203-5 
가젠스시,35점,5.0점,구서동 | 초밥   스시,부산광역시 금정구 구서동 201-40 
약수터해장국,35점,4.0점,구서동 | 해장국   우거지갈비탕,부산광역시 금정구 구서동 1012-6 
춘하추동칼국수,35점,4.8점,부산 | 칼국수   콩칼국수,부산광역시 금정구 서동 294-9 
한우고기집,35점,5.0점,구서동 | 한우   소고기구이,부산광역시 금정구 구서동 1033-3 
신전떡볶이,35점,5.0점,구서동 | 떡볶이   튀만두,부산광역시 금정구 구서동 735-29 
카페 멜랑즈,35점,5.0점,구서동 | 타르트   카페,부산광역시 금정구 구서동 1059 
카페051 두실점,35점,5.0점,부산금정구 | 커피   카페,부산광역시 금정구 구서동 654-45 
수,35점,5.0점,구서동 | 사시미   스시,부산광역시 금정구 구서동 460-3 
에바돈가츠 구서점,35점,5.0점,구서동 | 돈까스,부산광역시 금정구 구서동 251-24 
마베,35점,5.0점,구서동 | 크로와상   베이커리카페,부산광역시 금정구 구서동 87-9 
리틀희,34점,리뷰없음,구서동 | 중식당   돌솥,부산광역시 금정구 구서동 1022-10 
신전떡볶이,34점,5.0점,부산 | 떡볶이   로제떡볶이,부산광역시 금정구 서동 302-269 
손칼국수,34점,5.0점,부산 | 손칼국수   비빔칼국수,부산광역시 금정구 서동 194-62 
피자스쿨,34점,5.0점,부산 | 피자   파인애플피자,부산광역시 금정구 서동 196-68 
판다짬뽕,34점,4.4점,부산 | 짬뽕   차돌짬뽕,부산광역시 금정구 서동 173-8 
두오모커피 구서점,34점,4.0점,구서동 | 카페,부산광역시 금정구 구서동 655 
카페 좋은날 풍경,34점,4.0점,금정구 | 카페   디저트,부산광역시 금정구 구서동 159-3 
이흥용과자점 구서점,34점,3.5점,구서 | 빵집   과자점,부산광역시 금정구 구서동 1026-4 
면채움,34점,4.0점,구서동 | 국수   물비빔면,부산광역시 금정구 구서동 446-3 
동원장수촌,34점,0점,부산금정구 | 한방백숙   오리,부산광역시 금정구 구서동 654-14 
경희궁,34점,3.2점,구서동 | 샤브샤브   상추쌈샤브샤브,부산광역시 금정구 구서동 1005-8 경희궁모범음식점 
강가네손만두 구서점,34점,4.0점,구서동 | 손만두   만두,부산광역시 금정구 구서동 444 
함가네부잣집칼국수전문점 본점,33점,4.0점,부산금정구 | 칼국수   만두,부산광역시 금정구 구서동 87-62 
샐러디 부산구서역점,33점,4.0점,구서동 | 패스트푸드   샐러드,부산광역시 금정구 구서동 86-55 
박달집,33점,리뷰없음,구서동 | 보신탕   개장국,부산광역시 금정구 구서동 1026-8 
종로빈대떡,33점,5.0점,구서동 | 녹두전   빈대떡,부산광역시 금정구 구서동  414-82 
옵스,33점,4.0점,구서 | 빵집   명란바게트,부산광역시 금정구 구서동 718-9 
세모커피,33점,3.5점,구서역 | 카페   커피,부산광역시 금정구 구서동 260-18 
유정삼계탕,33점,5.0점,구서동 | 삼계탕   옻계탕,부산광역시 금정구 구서동 159-1 
국수나무 부산구서점,33점,4.0점,구서동 | 국수   왕돈까스,부산광역시 금정구 구서동 413-1 
뉴욕버거 금정점,33점,3.5점,구서동 | 수제버거   버거,부산광역시 금정구 구서동 368 
본가 벌나무복집,33점,5.0점,금정구 | 복어,부산광역시 금정구 구서동 467-12 
서울깍두기,33점,5.0점,구서동 | 곰탕   설렁탕,부산광역시 금정구 구서동 159-29 
농심가,33점,5.0점,구서동 | 식육식당   특수부위,부산시 금정구 구서동 182-7 
어플러스,33점,5.0점,구서동 | 일식,부산광역시 금정구 구서동 1026-13 
이비가짬뽕 구서점,33점,0.0점,구서동 | 중식당   짬뽕,부산광역시 금정구 구서동 1026-10 
우정갈비,33점,리뷰없음,구서동 | 떡갈비   갈비,부산광역시 금정구 구서동 1032-8 
구서칼국수,33점,리뷰없음,부산금정구 | 칼국수,부산광역시 금정구 구서동 470-14 
서동솔밭집,33점,리뷰없음,금정구 | 오리요리   오리불고기,부산광역시 금정구 서동 502-25 
퓌어밀쉬,33점,4.0점,구서동 | 카페   식빵,부산광역시 금정구 구서동 472-24 
금샘마루,33점,리뷰없음,구서동 | 한정식   게장정식,부산광역시 금정구 구서동 1022-14 
장수돌곱창,32점,5.0점,구서동 | 곱창   곱창전골,부산광역시 금정구 구서동 413-33 
문스,32점,4.0점,부산금정구 | 디저트   카페,부산광역시 금정구 구서동 185-1 선경상가 1층 103호 
듀코비 라운지,32점,4.0점,구서동 | 카페   콜드브루,부산광역시 금정구 구서동 1009-4 1,2층 
텐퍼센트커피 구서점,32점,4.0점,구서동 | 커피   애플망고스무디,부산광역시 금정구 구서동 409-31 
풍천황금장어,32점,리뷰없음,구서동 | 풍천민물장어   장어,부산광역시 금정구 구서동 376-9 
골목에,32점,리뷰없음,부산 | 양고기전문   양고기,부산광역시 금정구 서동 118-22 
하삼동커피 구서SK점,32점,4.0점,구서 | 커피   머핀,부산광역시 금정구 구서동 460-23 
서경집,32점,4.0점,부산금정구 | 돼지국밥   밀면,부산광역시 금정구 구서동 167-96 
카페 코오후,32점,4.0점,구서동 | 커피   카페,부산광역시 금정구 구서동 158-6 
AN,32점,0.0점,부산금정구 | 커피   카페,부산광역시 금정구 구서동 246-51 
컴포즈커피 두실점,32점,3.5점,구서동 | 흑당라떼   카페,부산광역시 금정구 구서동 816-11 
푸주옥,32점,0점,구서동 | 도가니탕   설렁탕,부산광역시 금정구 구서동 420-56 
오소리순대,32점,0점,구서동 | 순대   오소리순대국,부산시 금정구 구서동 415-32 
설빙,32점,3.0점,구서동 | 빙수   인절미토스트,부산광역시 금정구 구서동 86-41 
맛나감자탕 구서점,32점,4.0점,구서동 | 감자탕   뼈감자탕,부산광역시 금정구 구서동 192-1 새롬빌딩 
가야밀면,32점,3.0점,구서동 | 물밀면   밀면,부산광역시 금정구 구서동 470-13 
불장화,32점,리뷰없음,구서동 | 고기집   소고기구이,부산광역시 금정구 구서동 415-42 
대림참치,32점,0.0점,구서동 | 참치무한리필   참치,부산광역시 금정구 구서동 415-33 
해연,32점,리뷰없음,구서동 | 중식당   중국집,부산광역시 금정구 구서동  446-5 2층 
푸라닭 부산구서점,32점,4.0점,구서동 | 치킨   닭,부산 금정구 구서동 775-8 
라뽀아르,32점,4.0점,구서동 | 케이크   딸기생크림케이크,부산 금정구 구서동 460-21 
맛나 감자탕,32점,리뷰없음,부산 | 감자탕   해물뼈찜,부산광역시 금정구 서동 195-8 
사계절밀면,32점,리뷰없음,부산 | 추어탕   밀면,부산광역시 금정구 서동 201-24 
김인규돈까스전문점,32점,4.0점,구서동 | 돈까스전문   돈까스,부산광역시 금정구 구서동 84-6 
삼형제쭈꾸미,32점,리뷰없음,구서동 | 피자   쭈꾸미,부산광역시 금정구 구서동 415-2 
더도이종가집돼지국밥,32점,3.0점,구서 | 돼지국밥   수육보쌈,부산광역시 금정구 구서동 84-4 금정빌딩 
왔다산곰장어,32점,리뷰없음,부산 | 곰장어   산곰장어,부산광역시 금정구 서동 202-13 채경식비뇨기와 
더벤티,32점,리뷰없음,구서동 | 카페   블루레몬에이드,부산광역시 금정구 구서동 414-22 
부산 구서동,score,userscore,detailsroca+
