Name,score,userscore,detail
이재모피자,75점,4.5점,남포동 | 피자   치즈크러스트,부산시 중구 신창동1가 2-1 
개미집 본점,66점,4.4점,남포동 | 낙지요리   낙곱새,부산시 중구 신창동1가 14-3 
부산숯불갈비,48점,3.9점,남포동 | 숯불갈비   돼지목살,부산시 중구 신창동3가 4-2 
힙컵,48점,3.7점,,부산광역시 중구 신창동3가 17-1 
큰집,48점,5.0점,남포동 | 가정식   한정식,부산광역시 중구 신창동2가 21-8 
아치베이커리,47점,4.1점,남포동 | 베이커리   소금빵,부산광역시 중구 신창동1가 32-3 
바다집,47점,3.8점,광복동 | 수중전골   낙지볶음,부산광역시 중구 신창동2가 17-13 
돌고래순두부,44점,3.3점,남포동 | 순두부   순두부백반,부산시 중구 신창동2가 12-2 
산해갈비,42점,3.8점,남포동 | 돼지갈비,부산광역시 중구 신창동2가 34-1 
신창토스트,41점,3.7점,국제시장 | 토스트   콩국,부산광역시 중구 신창동2가 29-3 
덕분에,40점,4.0점,남포동 | 막걸리   김치전,부산 중구 신창동2가 4-1 
레귤러하우스,38점,4.8점,남포동 | 카페   아이리쉬커피,부산광역시 중구 신창동1가 19-11 
술고당,38점,4.3점,남포동 | 두루치기   김치찜,부산광역시 중구 신창동3가 19-3 
식후빵,37점,5.0점,남포동 | 케이크전문   레터링케이크,부산광역시 중구 신창동1가 12-5 
바모노스,36점,4.0점,남포동 | 브런치   브런치카페,부산광역시 중구 신창동1가 30-1 
마당 손칼국수,36점,5.0점,남포동 | 칼국수   손칼국수,부산시 중구 신창동1가 14-3 국제시장 옷집골목 내 
국제시장,36점,3.8점,남포동 | 비빔당면   씨앗호떡,부산광역시 중구 신창동4가  
광복동커피,35점,4.0점,남포동 | 커피   아이스크림라떼,부산광역시 중구 신창동1가 2-1 
충무명물김밥세상,35점,2.6점,남포동 | 떡볶이,부산광역시 중구 신창동1가 13-1 
아재스시,35점,5.0점,남포동 | 초밥   스시,부산광역시 중구 신창동1가 5-1 
서진섭돼지국밥,35점,3.0점,남포동 | 국밥   돼지국밥,부산광역시 중구 신창동2가 10-8 
동명칼국수,34점,4.0점,남포동 | 손칼국수   칼국수,부산광역시 중구 신창동1가 20 
콩밭에,34점,4.3점,남포동 | 김치찌개   된장찌개,부산광역시 중구 신창동1가 8-3 
살라비,33점,3.8점,국제시장 | 카페   커피,부산광역시 중구 신창동2가 16-2 
오겡끼카레,33점,리뷰없음,남포동 | 일본   카레,부산광역시 중구 신창동1가 19-12 
산수갑산,32점,리뷰없음,남포동 | 돼지갈비   숯불돼지갈비,부산광역시 중구 신창동2가 21-5 
삼미집,32점,리뷰없음,국제시장 | 갈비탕   소갈비찜,부산광역시 중구 신창동3가 6-1 
23다트앤라운지,31점,0점,남포동 | 칵테일   펍,부산광역시 중구 신창동1가 13-4 
게네랄파우제,31점,3.0점,남포동 | 클래식카페   재즈카페,부산광역시 중구 신창동1가 32-1 
마이데이,31점,리뷰없음,남포동 | 카페   스콘,부산광역시 중구 신창동1가 35-5 
애슐리,31점,리뷰없음,부산 | 뷔페,부산광역시 중구 신창동1가 8-3 
겐짱카레 2호점,31점,리뷰없음,남포동 | 카레   일본카레,부산 중구 신창동3가 15-4 2층 
보라빛,31점,리뷰없음,남포동 | 도시락주문   샌드위치,부산광역시 중구 신창동1가 29-1 
평양갈비,31점,리뷰없음,남포동 | 숯불갈비   양갈비,부산광역시 중구 신창동3가 5 
닭치는 남자들 깡통시장 본점,31점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동1가 18-1 
신창국밥,31점,리뷰없음,부산중구 | 돼지국밥   국밥,부산광역시 중구 신창동2가 6-2 
영도식당,31점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동4가 51-2 
종가집,31점,리뷰없음,남포동 | 한식,부산광역시 중구 신창동1가 36-6 
한양식당,31점,리뷰없음,부산중구 | 한식   한식전문,부산광역시 중구 신창동2가 17-3 
9duck,31점,리뷰없음,남포동 | 카페   에그타르트,부산광역시 중구 신창동1가 18-1 
신창동커피,31점,리뷰없음,남포동 | 카페   커피,부산광역시 중구 신창동1가 13-5 2층 
메가커피,31점,리뷰없음,남포동 | 꼬지   커피,부산광역시 중구 신창동1가 1-3 
빨봉분식 남포2호점 남포2호점,15점,리뷰없음,남포동 | 떡볶이   우동,부산광역시 중구 신창동1가 16 
카페990,15점,리뷰없음,남포동 | 카페   비빔당면,부산광역시 중구 신창동1가 6-1 
라떼,15점,리뷰없음,남포동 | 피규어카페   라떼,부산광역시 중구 신창동1가 18-3 
간난이분식,15점,리뷰없음,부산중구 | 분식,부산광역시 중구 신창동1가 2-1 
개미집 분점,15점,리뷰없음,국제시장 | 낙지요리   낙곱새볶음,부산광역시 중구 신창동2가 17-20 
미시령 가마솥추어탕,15점,리뷰없음,남포동 | 추어탕,부산광역시 중구 신창동1가 32-1 
플러스고기,15점,리뷰없음,남포동 | 돼지고기무한리필   소고기무한리필,부산광역시 중구 신창동1가 6-1 
엘라보라도,15점,리뷰없음,남포동 | 핸드드립   카페,부산광역시 중구 신창동4가 12-2 
커피스토어 남포점,15점,리뷰없음,국제시장 | 카페   디저트,부산광역시 중구 신창동1가 39-4 
로케트살롱,15점,리뷰없음,부산중구 | 와인   티룸,부산광역시 중구 신창동3가 35 
이가돈카츠,15점,리뷰없음,부산부평동 | 돈까스   멘치카츠,부산광역시 중구 신창동4가 44-3 
sugar factory,15점,리뷰없음,남포동 | 카페   고구마라떼,부산광역시 중구 신창동1가 6-1 
줄리스카페,15점,리뷰없음,남포동 | 커피   쌍화차,부산광역시 중구 신창동2가 22 
카페 옐로콩,15점,리뷰없음,부산중구 | 카페   디저트,부산광역시 중구 신창동2가 14-1 
대성집,15점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동4가 51-2 
이조설렁탕,15점,리뷰없음,부산중구 | 곰탕   설렁탕,부산광역시 중구 신창동1가 12-7 
강나루,15점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동1가 19-4 
효정숯불갈비,15점,리뷰없음,부산중구 | 숯불갈비,부산광역시 중구 신창동3가 7-4 
형제목공기계카페더로컬,15점,리뷰없음,부산중구 | 카페   디저트,부산광역시 중구 신창동1가 32-3 
아나브린,15점,3.0점,남포동 | 베이커리   카페,부산광역시 중구 신창동1가 32-3 
미영밥집,15점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동2가 35-3 
카페항상,15점,리뷰없음,부산중구 | 카페   디저트,부산광역시 중구 신창동1가 38-1 
매력,15점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동1가 32-1 
홍두깨칼국수,15점,리뷰없음,부산중구 | 칼국수   만두,부산광역시 중구 신창동2가 1-4 
만리장성,15점,리뷰없음,남포동 | 짬뽕   중식당,부산 중구 신창동1가 17-17 
충남분식 국제지하도상가점,15점,리뷰없음,부산광역시 | 분식,부산광역시 중구 신창동4가 56-4 국제지하도상가 3-43,45 
동은,15점,리뷰없음,부산중구 | 한식,부산광역시 중구 신창동4가 51-2 
에스와이씨,15점,리뷰없음,부산중구 | 카페   디저트,부산광역시 중구 신창동4가 21-3 
