Name,score,userscore,detail
트레몬토710,42점,4.6점,금곡역 | 카페   레몬,부산광역시 북구 금곡동 528 
라이라이,37점,5.0점,부산 | 중국집   메밀,부산광역시 북구 금곡동 68-6 
파리바게트 금곡점,37점,4.0점,부산 | 베이커리   바게뜨,부산광역시 북구 금곡동 97-5 
가야밀면,33점,4.0점,화명동 | 손칼국수   밀면,부산광역시 북구 금곡동 1880-2 
초량돼지국밥,33점,0점,부산 | 국밥   돼지국밥,부산광역시 북구 금곡동 71-1 
이디야,33점,4.0점,부산 | 카페   딸기,부산광역시 북구 금곡동 97-4 
BHC,32점,3.0점,부산북구 | 후라이드   양념치킨,부산광역시 북구 금곡동 67-3 
대식가2900 금곡점,32점,3.0점,부산 | 삼겹살   이베리코꽃목살,부산광역시 북구 금곡동 95-10 
웅천집,31점,리뷰없음,부산북구 | 생선회   향어,부산광역시 북구 금곡동 95-1 
금천회마을,31점,리뷰없음,부산 | 횟집   회덮밥,부산광역시 북구 금곡동 68-10 
금곡가야밀면,31점,리뷰없음,화명동 | 밀면   비빔면,부산광역시 북구 금곡동 69-1 
바타비아 커피앤디저트,31점,3.0점,화명동 | 커피   카페,부산광역시 북구 금곡동 1900 
돈까스일번지,31점,리뷰없음,부산북구 | 돈까스   옛날돈까스,부산광역시 북구 금곡동 68-9 
나물밥상,31점,리뷰없음,부산 | 한식,부산광역시 북구 금곡동 221 
금실각,31점,리뷰없음,부산 | 짜장면   중국집,부산광역시 북구 금곡동 1112-3 
미스터보쌈5379,31점,리뷰없음,화명동 | 족발   보쌈,부산광역시 북구 금곡동 1915 상가 101호 
황고집돼지국밥,31점,리뷰없음,화명동 | 순대국밥   돼지국밥,부산광역시 북구 금곡동 1880-9 
티바두마리치킨,31점,리뷰없음,부산 | 치킨   양념치킨,부산광역시 북구 금곡동 1425-5 
팔우정,31점,리뷰없음,부산 | 숯불갈비   된장국수,부산광역시 북구 금곡동 96-1 
가얏골감자탕,31점,리뷰없음,부산 | 감자탕   간장등뼈찜,부산광역시 북구 금곡동 1874-3 
호식이두마리치킨,31점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 1423 
치킨치로,31점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 1028-10 
목화식당,31점,리뷰없음,부산 | 한식,부산광역시 북구 금곡동 66-6 
유미식당,31점,리뷰없음,부산 | 한식,부산광역시 북구 금곡동 53-1 
우리집정식,31점,리뷰없음,화명동 | 밥집   집밥,부산광역시 북구 금곡동 1202 
바쿠소바,31점,리뷰없음,부산 | 소바   오뎅탕,부산광역시 북구 금곡동 70-9 
청아한돈 청아한우,31점,리뷰없음,화명동 | 한우   한돈,부산광역시 북구 금곡동 1887-4 
CAFE COZY,31점,리뷰없음,부산 | 토스트   cafe,부산광역시 북구 금곡동 55-2 
행복한집,31점,리뷰없음,부산 | 고기집   갈비정식,부산광역시 북구 금곡동 812-5 
취밍가야밀냉면,31점,리뷰없음,부산 | 중식당   밀면,부산광역시 북구 금곡동 68-4 
남가네설악추어탕,31점,리뷰없음,화명동 | 추어탕   얼큰이추어탕,부산광역시 북구 금곡동 1880-11 
불막열삼 금곡화목점,31점,리뷰없음,부산 | 막창   생막창,부산광역시 북구 금곡동 383 
일미추어탕,31점,리뷰없음,부산 | 추어탕   어탕국수,부산광역시 북구 금곡동 1423 
은빛물고기,31점,0.0점,화명동 | 장어구이   장어,부산광역시 북구 금곡동 68-7 
OK도매횟집,31점,리뷰없음,부산북구 | 횟집   생선회,부산광역시 북구 금곡동 73-8 
불막열삼 화명뜨란채점,31점,리뷰없음,화명동 | 전골   막창,부산광역시 북구 금곡동 1890 
동화루,31점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 1108 
카페 어썸,31점,리뷰없음,부산 | 카페   디저트,부산광역시 북구 금곡동 810-5 
뚜레쥬르,31점,리뷰없음,율리역 | 빵집   브라우니,부산광역시 북구 금곡동 1880-12 
초원생오리,31점,리뷰없음,화명동 | 오리요리   생오리,부산광역시 북구 금곡동 68-1 
무진장횟집,31점,리뷰없음,화명동 | 횟집   전어회,부산광역시 북구 금곡동 810-5 
낙지한마당,31점,리뷰없음,금곡역 | 낙지   낙지전골,부산광역시 북구 금곡동 55-13 
오르미칼국수,31점,리뷰없음,부산 | 손칼국수   칼국수,부산광역시 북구 금곡동 67-1 
금곡추어탕,31점,리뷰없음,부산 | 추어탕   메기매운탕,부산광역시 북구 금곡동 67-14 
양자강,31점,리뷰없음,부산북구 | 짜장면   중국집,부산광역시 북구 금곡동 38 
소노,31점,리뷰없음,부산 | 카페   키위주스,부산광역시 북구 금곡동 95-11 
진흥각,31점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 1108 
곱돌이와낙순이,15점,리뷰없음,부산 | 감자탕   낙곱새,부산광역시 북구 금곡동 152-1 
고기파티,15점,리뷰없음,부산 | 고기집,부산광역시 북구 금곡동 55-8 
북경관,15점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 96-1 
삼천포횟집,15점,리뷰없음,부산광역시 | 생선회,부산광역시 북구 금곡동 70-3 
아구마루,15점,리뷰없음,금곡역 | 아구찜   대구매운탕,부산광역시 북구 금곡동 67-15 
네네치킨,15점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 67-12 
굽네치킨,15점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 64-5 
김밥천국,15점,리뷰없음,부산 | 분식,부산광역시 북구 금곡동 1888 
치킨프라자,15점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 811-3 
금곡반점,15점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 98-1 
하베스트베이커리,15점,리뷰없음,부산 | 베이커리,부산광역시 북구 금곡동 810-3 
밀양돼지국밥,15점,리뷰없음,부산 | 국밥,부산광역시 북구 금곡동 150-1 
송죽영양탕,15점,리뷰없음,부산 | 영양탕,부산광역시 북구 금곡동 67-7 
무진장활어회센타,15점,리뷰없음,화명 | 횟집   전어회,부산광역시 북구 금곡동 810-5 
엔젤아이스크림,15점,리뷰없음,부산북구 | 아이스크림,부산광역시 북구 금곡동 811-3 
달그락 화명점,15점,리뷰없음,율리역 | 보리밥,부산광역시 북구 금곡동 1330-1 
닥엔돈스 부산화명점,15점,리뷰없음,부산북구 | 치킨   닭강정,부산광역시 북구 금곡동 1425-5 2층 
태양반점,15점,리뷰없음,부산 | 짬뽕   중식당,부산광역시 북구 금곡동 811-3 
피자마루,15점,리뷰없음,부산 | 피자,부산광역시 북구 금곡동 64-4 
가마치통닭,15점,리뷰없음,부산 | 통닭   오뎅탕,부산광역시 북구 금곡동 66-1 
커피집입니다,15점,리뷰없음,부산 | 카페,부산광역시 북구 금곡동 75-4 
오빠가 숯불에 구워줄게,15점,리뷰없음,부산 | 황태요리   황태해장국,부산광역시 북구 금곡동 811-4 
김밥천국금곡점,15점,리뷰없음,금곡역 | 김밥   분식,부산광역시 북구 금곡동 55-2 
처갓집양념치킨,15점,리뷰없음,부산 | 치킨   닭강정,부산광역시 북구 금곡동 1425 
김밥명가,15점,리뷰없음,부산 | 김밥집   김밥,부산광역시 북구 금곡동 361-2 
바보스,15점,리뷰없음,부산 | 맥주   호프,부산광역시 북구 금곡동 57-7 
떡두레,15점,리뷰없음,부산 | 빙수   떡,부산광역시 북구 금곡동 1230 
신세계닭발,15점,리뷰없음,부산 | 닭발,부산광역시 북구 금곡동 70-16 
엄마닭갈비탕,15점,리뷰없음,부산 | 닭요리,부산광역시 북구 금곡동 155 
차이나0711,15점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 55-9 
컴포즈커피 화명신도시점,15점,리뷰없음,부산북구 | 카페   커피,부산광역시 북구 금곡동 1890 
끼리끼니분식,15점,리뷰없음,부산북구 | 분식   김밥,부산광역시 북구 금곡동 57-6 
오늘은대패 금곡동지점,15점,리뷰없음,부산 | 삼겹살   대패삼겹살,부산광역시 북구 금곡동 55-15 
두꺼비집,15점,리뷰없음,부산 | 한식   집밥,부산광역시 북구 금곡동 275 
2호선,15점,리뷰없음,금곡역 | 목살   파불고기,부산광역시 북구 금곡동 73-1 
늘봄 설기앤디저트,15점,리뷰없음,부산북구 | 카페   파운드케이크,부산광역시 북구 금곡동 1898 
족발이다 금곡점,15점,리뷰없음,부산북구 | 족발   보쌈,부산광역시 북구 금곡동 1882 
커피홀베이커리 부산금곡점,15점,리뷰없음,부산 | 베이커리   커피,부산광역시 북구 금곡동 73-15 
파리바게뜨 화명율리점,15점,리뷰없음,율리역 | 베이커리   바게트,부산광역시 북구 금곡동 1890 
승승삼겹 화명금곡점,15점,리뷰없음,화명 | 불고기,부산광역시 북구 금곡동 1917 
양여사분식,15점,리뷰없음,부산 | 종합분식   분식,부산광역시 북구 금곡동 64-5 
오감만족,15점,리뷰없음,부산북구 | 분식   날치알김밥,부산광역시 북구 금곡동 95-7 
팔봉밀면,15점,리뷰없음,부산북구 | 종합분식   밀면,부산광역시 북구 금곡동 1915 
땅스부대찌개 부산금곡율리점,15점,리뷰없음,부산 | 찌개   전골,부산광역시 북구 금곡동 1915 
일등아구찜감자탕전문,15점,리뷰없음,부산북구 | 아구찜   감자탕,부산광역시 북구 금곡동 219 
금곡숯불갈비,15점,리뷰없음,부산 | 돼지고기,부산광역시 북구 금곡동 95-8 
시골돼지국밥,15점,리뷰없음,화명동 | 돼지국밥   된장,부산광역시 북구 금곡동 71-9 
한솔반점,15점,리뷰없음,부산 | 중식당,부산광역시 북구 금곡동 56-1 
일등아구찜감자탕전문,15점,리뷰없음,부산 | 감자탕,부산광역시 북구 금곡동 219 
델피하우스,15점,리뷰없음,부산 | 맥주   호프,부산광역시 북구 금곡동 71-12 
수타5900,15점,리뷰없음,부산 | 한식,부산광역시 북구 금곡동 1112-2 
롯데리아,15점,리뷰없음,부산 | 햄버거   버거,부산광역시 북구 금곡동 1874-3 
송담추어탕,15점,리뷰없음,부산 | 추어탕,부산광역시 북구 금곡동 71-11 
부산 금곡동,score,userscore,detailsroca+
