Name,score,userscore,detail
생생도매횟집,31점,리뷰없음,부산진구 | 횟집   뼈매운탕,부산광역시 부산진구 개금동 173-2 
강원삼계탕,31점,리뷰없음,부산 | 삼계탕   한방삼계탕,부산 부산진구 개금동 796 개금롯데캐슬아파트 상가 1층 
명품생오리,31점,리뷰없음,부산 | 오리고기   생오리,부산광역시 부산진구 개금동 447-7 
부산꼼장어,31점,리뷰없음,부산 | 꼼장어   산꼼장어,부산광역시 부산진구 개금동 177-208 
테모리,31점,리뷰없음,개금역 | 이자카야   이자까야,부산광역시 부산진구 개금동 850 
은성이네양곱창,31점,리뷰없음,부산 | 전골   양곱창,부산광역시 부산진구 개금동 615-16 
부산수산횟집,31점,리뷰없음,부산 | 횟집   모듬회,부산광역시 부산진구 개금동 177-140 
쇼와고고,31점,리뷰없음,부산 | 텐동   이자카야,부산광역시 부산진구 개금동 1-12 
엔제리너스,31점,3.2점,부산 | 디저트   젤리,부산광역시 부산진구 개금동 618-2 
고봉민김밥인 부산개금점,31점,리뷰없음,부산 | 김밥집   김밥,부산광역시 부산진구 개금동 53-3 
물꽁과꽃게,31점,리뷰없음,부산 | 아구찜   꽃게,부산광역시 부산진구 개금동 258-1 
대림숯불갈비,31점,리뷰없음,부산 | 돼지갈비   숯불갈비,부산광역시 부산진구 개금동 523-36 
쫄아닥,31점,리뷰없음,동서대 | 치킨   찜닭,부산광역시 부산진구 개금동 554-33 
대박향어,31점,리뷰없음,부산 | 생선회   향어회,부산광역시 부산진구 개금동 26-7 
문현곱창,31점,리뷰없음,부산 | 곱창   곱창구이,부산광역시 부산진구 개금동 171-54 
본동개금돼지국밥,31점,리뷰없음,부산진구 | 돼지국밥,부산광역시 부산진구 개금동 356-9 
조방낙지,31점,리뷰없음,부산 | 낙지전문   낙새,부산광역시 부산진구 개금동 566-20 
돈갈비,31점,리뷰없음,부산 | 소고기   냉면,부산광역시 부산진구 개금동 447-43 
피자베이,31점,리뷰없음,부산 | 피자집   피자,부산 부산진구 개금동 177-127 
오복미역,31점,리뷰없음,개금역 | 백반   가자미미역국,부산 부산진구 개금동 511-1 
선미오리불고기,31점,리뷰없음,부산 | 오리고기   오리불고기,부산광역시 부산진구 개금동 540-286 
낙원떡집,31점,리뷰없음,부산 | 쑥떡   떡,부산광역시 부산진구 개금동 480-12 
본죽&비빔밥cafe 개금점,31점,리뷰없음,부산진구 | 전복죽   낙지김치죽,부산광역시 부산진구 개금동 618-11 
개금곱창전문,31점,리뷰없음,부산 | 곱창   곱창전문,부산광역시 부산진구 개금동 540-145 
경아다방,31점,리뷰없음,부산 | 카페   디저트,부산광역시 부산진구 개금동 471-17 
소미돈까스,31점,리뷰없음,개금역 | 돈까스   김치나베,부산 부산진구 개금동 523-75 
개금반점,31점,리뷰없음,부산 | 짜장면   짜장,부산광역시 부산진구 개금동 371-37 
앵콜반점,31점,리뷰없음,부산 | 중국집   사천짜장,부산 부산진구 개금동 177-393 앵콜반점 
중화요리 가미,31점,리뷰없음,부산 | 중화요리   짬뽕,부산광역시 부산진구 개금동 171-31 
피자헛,31점,1.0점,부산 | 피자   쉬림프,부산광역시 부산진구 개금동 186-8 
굽네치킨,31점,리뷰없음,부산 | 치킨   고추,부산광역시 부산진구 개금동 540-195 
양자강,31점,리뷰없음,부산 | 짜장면   중국집,부산광역시 부산진구 개금동 53-3 
온정,31점,리뷰없음,부산 | 사시미   스시,부산 부산진구 개금동 618-5 
대왕쪽갈비,31점,리뷰없음,부산진구 | 갈비,부산광역시 부산진구 개금동 501-3 
장승포바다장어구이,31점,리뷰없음,부산 | 장어구이   바다장어구이,부산 부산진구 개금동 554-157 
도피오식당 부산백병원점,31점,리뷰없음,부산 | 한식,부산광역시 부산진구 개금동 633-165 
진땡초우동,31점,리뷰없음,개금역 | 우동   땡초,부산 부산진구 개금동 177-127 
아리수 유황생오리 전문점,31점,리뷰없음,서면 | 오리요리   생오리,부산 부산진구 개금동 229 
삼보아구찜,31점,리뷰없음,부산 | 아구찜   생아구찜,부산 부산진구 개금동 689 
피자샵,15점,4.0점,부산 | 피자   불고기피자,부산광역시 부산진구 개금동 523-33 
맥도날드,15점,5.0점,부산 | 버거   갈릭버거,부산광역시 부산진구 개금동 619-6 
후라이드참잘하는집,15점,5.0점,부산 | 치킨   후라이드,부산광역시 부산진구 개금동 177-7 
옥싸롱,15점,리뷰없음,부산 | 맥주집   맥주,부산광역시 부산진구 개금동 53-6 
오박사왕족발,15점,리뷰없음,부산 | 왕족발,부산광역시 부산진구 개금동 176-2 
배스킨라빈스 부산개금역,15점,리뷰없음,개금역 | 아이스크림   소보로,부산광역시 부산진구 개금동 875 
빨간쭈꾸미,15점,리뷰없음,부산 | 갈비   쭈꾸미,부산광역시 부산진구 개금동 171-23 
전주남문토종순대국,15점,리뷰없음,부산 | 순대국   토종순대,부산광역시 부산진구 개금동 615-14 
부산 개금동,score,userscore,detailsroca+
