Name,score,userscore,detail
톤쇼우,65점,4.5점,부산대 | 돈카츠   로스카츠,부산광역시 금정구 장전동 419-21 
만서리 이가네 막국수,60점,4.5점,온천장 | 막국수   메밀싹수육,부산광역시 금정구 장전동 604-19 
뉴숯불통닭 본점,56점,4.6점,부산대 | 치킨   후라이드,부산광역시 금정구 장전동 146-2 
수림식당,52점,4.5점,부산대 | 탄탄면   가지만두,부산광역시 금정구 장전동 389-37 
라라관,50점,4.1점,서면 | 꿔바로우   마라탕,부산광역시 금정구 장전동 157-9 
나오리쇼쿠,49점,3.9점,부산대 | 한식   오차즈케,부산광역시 금정구 장전동 409-14 
코하루,49점,3.9점,부산대 | 돈코츠라멘   매운돈코츠라멘,부산광역시 금정구 장전동 415-12 
가야공원돼지국밥 부산대점,48점,4.5점,부산대 | 돼지국밥   국밥,부산광역시 금정구 장전동 393-10 
수림식당,48점,3.9점,금정구 | 중식당   탄탄면,부산광역시 금정구 장전동 505-6 
컵넛,47점,4.4점,부산대 | 도넛   아메리카노,부산광역시 금정구 장전동 222-37 
스시심타카이,47점,5.0점,부산대역 | 오마카세   스시,부산광역시 금정구 장전동 414-23 
카페호밀,47점,4.6점,부산대 | 베이커리   소금빵,부산광역시 금정구 장전동 503-6 
타코스패밀리,47점,5.0점,부산대 | 멕시코   타코,부산 금정구 장전동 418-11 
홍매사천요리,47점,4.0점,부산대 | 사천요리,부산광역시 금정구 장전동 423-16 
인디키친,46점,5.0점,부산대 | 인도커리   탄두리치킨,부산광역시 금정구 장전동 293-106 
이흥용과자점 부산대점,46점,4.1점,부산대 | 과자점   소금빵,부산광역시 금정구 장전동 425-1 
디델리 부산대점,46점,5.0점,부산대 | 떡볶이   참치김밥,부산광역시 금정구 장전동 415-19 
우쭈쭈,46점,4.4점,부산대 | 쭈꾸미   쭈삼겹,부산광역시 금정구 장전동 421-17 
웰컴포,46점,3.5점,부산대 | 베트남음식   쌀국수,부산광역시 금정구 장전동 422-1 2층 
지앤토비코,45점,4.7점,부산대 | 한식   새우크림,부산광역시 금정구 장전동 422-13 
스몰굿커피 부산대점,45점,4.8점,부산대 | 카페   커피,부산광역시 금정구 장전동 423-14 
에타리,44점,4.1점,부산대 | 에그타르트,부산광역시 금정구 장전동 299-3 
정진영펍,44점,5.0점,부산대 | 펍   샹그리아,부산광역시 금정구 장전동 419-11 
미분당 부산대점,44점,4.4점,부산대 | 쌀국수   힘줄쌀국수,부산광역시 금정구 장전동 420-28 
크라운닭발 부산대본점,44점,4.5점,부산대 | 닭발   국물닭발,부산광역시 금정구 장전동 413-28 
우마이도,44점,3.8점,부산대 | 하카타라멘   교자,부산광역시 금정구 장전동 424-2 
보노베리,43점,4.5점,부산금정구 | 타르트   카페,부산광역시 금정구 장전동 414-1 
쿠카이야,43점,3.7점,부산대 | 우동   덴뿌라우동,부산광역시 금정구 장전동 424-5 
라멘정,43점,5.0점,부산대 | 일본식라멘   라멘,부산광역시 금정구 장전동 420-5 
신육간,43점,4.3점,부산대 | 스테이크   소고기,부산시 금정구 장전동 389-15 
부산커피,43점,4.3점,부산대 | 카페   커피,부산광역시 금정구 장전동 392-7 
인자한키친,43점,4.4점,부산대 | 카레   로스카츠,부산광역시 금정구 장전동 221-10 
의정서,43점,4.6점,부산대 | 카페   롱블랙,부산광역시 금정구 장전동 416-37 
소사베이커리,42점,5.0점,부산대 | 카페   베이커리,부산광역시 금정구 장전동 232-18 
에프터워크,42점,4.2점,부산대 | 술집   야끼소바,부산광역시 금정구 장전동 393-40 
포맨티코,42점,4.3점,부산대 | 쌀국수   비빔쌀국수,부산시 금정구 장전동 293-196 
대길고추불고기,42점,3.1점,부산대 | 불고기   고추,부산광역시 금정구 장전동 360-5 
카츠안,42점,4.1점,부산대 | 메밀국수   치즈카츠,부산광역시 금정구 장전동 421-12 
리틀프랑,42점,4.1점,부산대 | 스파게티   생돈까스,부산광역시 금정구 장전동 418-71 
야스미,41점,4.3점,부산대 | 오꼬노미야끼   오코노미야끼,부산시 금정구 장전동 643-323 
더기베이글,41점,4.3점,부산대 | 베이글   플레인베이글,부산광역시 금정구 장전동 401-11 
솔밭집,41점,4.0점,부산대 | 막걸리   파전,부산광역시 금정구 장전동 산29-4 
꼬모도,41점,4.0점,부산대 | 화덕피자   알리오올리오,부산광역시 금정구 장전동 420-4 2층 
스시심,41점,4.0점,부산대 | 오마카세   스시,부산광역시 금정구 장전동 418-1 
야타이스시,41점,3.6점,부산대 | 초밥   스시,부산광역시 금정구 장전동 393-2 
맛나감자탕,41점,3.7점,부산대 | 뼈해장국   해물뼈찜,부산광역시 금정구 장전동 413-20 
델라고,41점,4.0점,부산대 | 파스타   빠네,부산시 금정구 장전동 419-18 2F 
칼집삼겹,41점,5.0점,부산대 | 냉면   된장찌개,부산광역시 금정구 장전동 417-2 
