Name,score,userscore,detail
Cafe de 220VOLT,62점,4.3점,영도 | 카페   아메리카노,부산광역시 영도구 청학동 386-198 
카린,51점,4.1점,영도 | 루프탑   아메리카노,부산광역시 영도구 청학동 148-121 
왔다식당,50점,5.0점,영도 | 찌개   스지된장전골,부산광역시 영도구 청학동 386-197 
신기숲,47점,4.1점,영도 | 밀크티   아메리카노,부산광역시 영도구 청학동 39-14 
홍차왕자 영도,46점,4.1점,영도 | 스콘   홍차,부산광역시 영도구 청학동 442-5 
그라치에,45점,4.2점,영도 | 스파게티   감자뇨끼,부산시 영도구 청학동 148-160 
지모리즈카페,44점,4.0점,부산영도 | 카페   크림라떼,부산광역시 영도구 청학동 148-105 
신기산업,44점,3.4점,영도 | 루프탑   아메리카노,부산광역시 영도구 청학동 148-203 
모티브커피,43점,4.1점,영도 | 카페   아메리카노,부산광역시 영도구 청학동 99-339 
화복반점,41점,4.0점,부산영도 | 중식당   짬뽕,부산광역시 영도구 청학동 84-22 
영도면옥,40점,4.3점,영도 | 곰탕   얼큰이칼국수,부산광역시 영도구 청학동 217-21 
석정옥,38점,4.4점,영도 | 곰탕   갈비찜,부산광역시 영도구 청학동 52-2 
청학동 가야밀면,38점,4.4점,영도 | 만두   비빔밀면,부산광역시 영도구 청학동 7-46 
쿤타,38점,5.0점,부산영도 | 토스트   샌드위치,부산광역시 영도구 청학동 231-7 
선생 조고매,37점,4.2점,영도 | 고구마라떼   카페,부산광역시 영도구 청학동 484-1 
선인장식당,37점,3.6점,영도 | 함박스테이크   경양식,부산 영도구 청학동 442-37 
얼큰이칼국수,35점,3.7점,영도 | 칼국수   얼큰이칼국수,부산광역시 영도구 청학동 217-52 
영도우,34점,2.9점,영도 | 파스타   디트로이트피자,부산 영도구 청학동 99-336 
백세촌순대돼지국밥,34점,4.1점,영도 | 돼지국밥   국밥,부산광역시 영도구 청학동 217-145 
엘림 오리고기집,33점,5.0점,영도 | 오리고기   오리백숙,부산광역시 영도구 청학동 101-13 
공간카페,32점,리뷰없음,영도 | 루프탑   카페,부산 영도구 청학동 99-108 
청해해물찜,32점,0.0점,영도 | 아구찜   해물찜,부산 영도구 청학동 148-168 
트리플에이커피 영도점,31점,0.0점,부산영도 | 카페   디저트,부산광역시 영도구 청학동 217-1 
C&D 카페 본점,31점,0점,부산영도 | 커피   카페,부산광역시 영도구 청학동 50-6 
푸라닭 부산청학점,31점,4.0점,영도 | 치킨,부산 영도구 청학동 21-76 1층 
컴피키친,31점,3.0점,영도 | 샌드위치   샐러드,부산광역시 영도구 청학동 214-1 
로데오,31점,리뷰없음,영도 | 술집   스키야키,부산 영도구 청학동 221-11 
느티나무오리가든,31점,리뷰없음,영도 | 오리고기   오리,부산광역시 영도구 청학동 122-43 
남도벌교재첩국,31점,리뷰없음,영도 | 재첩국   재첩회,부산광역시 영도구 청학동 218-9 
황룡성,31점,리뷰없음,부산영도 | 중국집   간짜장,부산광역시 영도구 청학동 221-6 
8월의 중식 영도점,31점,리뷰없음,부산영도 | 중식당,부산광역시 영도구 청학동 62-60 
맷돌콩칼국수,31점,리뷰없음,영도 | 칼국수,부산광역시 영도구 청학동 86-1 
모드니,31점,리뷰없음,부산영도 | 카페   복숭아아이스티,부산광역시 영도구 청학동 252-136 
미정식당,31점,리뷰없음,영도 | 생선회   생선조림,부산광역시 영도구 청학동 352-3 
스쿠버횟집,31점,리뷰없음,부산 | 횟집,부산광역시 영도구 청학동 489-30 
영진산꼼장어,31점,리뷰없음,부산영도 | 꼼장어   소금구이,부산광역시 영도구 청학동 223-34 
용감한식당 영도점,31점,리뷰없음,영도 | 함박스테이크   된장찌개,부산광역시 영도구 청학동 68-96 
청동숯불갈비,31점,리뷰없음,영도 | 숯불갈비   생갈비,부산광역시 영도구 청학동 13-7 
거창한한식뷔페,31점,리뷰없음,영도 | 밥집   한식뷔페,부산광역시 영도구 청학동 214-5 
돼지식품,31점,리뷰없음,영도 | 편육   수육,부산광역시 영도구 청학동 21-19 
더분식카페,31점,리뷰없음,부산영도 | 분식,부산광역시 영도구 청학동 391-75 
교촌치킨 청학점,15점,5.0점,영도 | 치킨   치킨집,부산광역시 영도구 청학동 9-16 
녹두랑 전이랑,15점,리뷰없음,부산 | 한식,부산광역시 영도구 청학동 39-2 
처갓집양념치킨 부산청학점,15점,리뷰없음,영도 | 치킨   양념치킨,부산광역시 영도구 청학동 107-18 
불로만숯불바베큐,15점,리뷰없음,영도 | 숯불바베큐   치킨바베큐,부산광역시 영도구 청학동 51-6 
7번가피자,15점,리뷰없음,영도 | 피자   치즈링,부산광역시 영도구 청학동 101-10 1층 7번가피자 
화화 돼지왕갈비,15점,리뷰없음,영도 | 왕갈비   돼지왕갈비,부산광역시 영도구 청학동 105-3 
오돌수육,15점,리뷰없음,영도 | 수육   돼지고기,부산광역시 영도구 청학동 21-19 
투다리 청학점,15점,리뷰없음,부산영도 | 닭산적   술집,부산광역시 영도구 청학동 83-1 
개미집,15점,리뷰없음,부산영도 | 대구탕   해물,부산광역시 영도구 청학동 120-9 
냉면덕후 영도점,15점,리뷰없음,부산영도 | 냉면   한식,부산광역시 영도구 청학동 10-2 () 
아웃스턴트,15점,리뷰없음,부산영도 | 스콘   호두파이,부산광역시 영도구 청학동 40-3 
1인한식당 영도점,15점,리뷰없음,영도 | 한식,부산광역시 영도구 청학동 10-2 
전성호쌀빵제빵소,15점,리뷰없음,영도 | 빵집   쌀빵,부산광역시 영도구 청학동 77-12 
한끼,15점,리뷰없음,영도 | 칼국수   스팸김밥,부산광역시 영도구 청학동 307-60 
빅스타피자 부산영도점,15점,리뷰없음,부산영도 | 불고기피자   페퍼로니피자,부산광역시 영도구 청학동 120-85 
프레드피자 부산영도점,15점,리뷰없음,영도 | 피자   스파게뤼,부산광역시 영도구 청학동 144-14 
재잘재잘,15점,리뷰없음,부산 | 종합분식,부산광역시 영도구 청학동 408-3 
향기로운공간,15점,리뷰없음,영도 | 민속주점   막걸리,부산광역시 영도구 청학동 489-30 
도미노피자 영도점,15점,리뷰없음,영도 | 피자,부산광역시 영도구 청학동 222-1 
야미안 부산남항점,15점,리뷰없음,부산 | 호프,부산광역시 영도구 청학동 185-2 
굽네치킨 부산청학점,15점,리뷰없음,영도 | 치킨   치밥,부산광역시 영도구 청학동 336-5 신도브래뉴 상가 B102호 
신도커피,15점,리뷰없음,부산영도 | 카페   디저트,부산광역시 영도구 청학동 536 
카페마렌 청학마루점,15점,리뷰없음,영도 | 카페   고구마라떼,부산광역시 영도구 청학동 447-5 
하나분식,15점,리뷰없음,부산영도 | 분식   떡볶이,부산광역시 영도구 청학동 8-11 
청학다방,15점,리뷰없음,영도 | 카페   다방,부산광역시 영도구 청학동 83-9 
모르나커피,15점,리뷰없음,영도 | 커피   빨미까레,부산광역시 영도구 청학동 218-21 
일산감자탕,15점,리뷰없음,영도 | 삼겹살   감자탕,부산광역시 영도구 청학동 82-4 
다연분식,15점,리뷰없음,부산영도 | 종합분식,부산광역시 영도구 청학동 120-85 
조이치즈등갈비,15점,리뷰없음,부산영도 | 등갈비   치즈등갈비,부산광역시 영도구 청학동 222-13 
신촌24시갈비,15점,리뷰없음,영도 | 갈비   갈비탕,부산광역시 영도구 청학동 217-92 
카페마렌 해돋이점,15점,리뷰없음,영도 | 아메리카노,부산광역시 영도구 청학동 420-3 
풍성식당,15점,리뷰없음,부산영도 | 한식,부산광역시 영도구 청학동 297-1 
두나미스마린커피,15점,리뷰없음,부산영도 | 카페   커피,부산광역시 영도구 청학동 217-92 
커피&옥,15점,리뷰없음,부산영도 | 카페,부산광역시 영도구 청학동 21-9 
영도이서방수산,15점,리뷰없음,부산영도 | 반건조구이   생선구이,부산광역시 영도구 청학동 290-6 
옥이네김치찌개와직화삼겹 영도점,15점,리뷰없음,부산영도 | 찌개   전골,부산광역시 영도구 청학동 64-74 
그린분식,15점,리뷰없음,부산영도 | 종합분식   떡볶이,부산광역시 영도구 청학동 4-12 
