Name,score,userscore,detail
김씨네붴,49점,4.8점,문현동 | 아부라소바   일본식라멘,부산광역시 남구 문현동 539-182 
BHC 부산문현점,42점,4.4점,부산 | 치킨   치즈볼,부산광역시 남구 문현동 414-10 
하나돈까스 문현점,42점,4.0점,문현동 | 돈까스   김치치즈나베,부산광역시 남구 문현동 246-5 
런드리블루스,41점,4.1점,문현동 | 카페   아메리카노,부산광역시 남구 문현동 617-49 2층 
호포갈비 문현점,40점,4.7점,문현동 | 갈비탕,부산광역시 남구 문현동 828-1 
이흥용베이커리,40점,4.0점,문현동 | 과자점   명란바게트,부산광역시 남구 문현동 244-19 
양미가 문현점,40점,5.0점,문현동 | 고기집   양등심,부산광역시 남구 문현동 814 
스타벅스 BIFC Mall점,38점,4.7점,문현동 | 카페   레모네이드,부산광역시 남구 문현동 1229-1 
류센소 BIFC점,37점,5.0점,문현동 | 일본라멘,부산 남구 문현동 1229-1 A-215호 
맷돌순두부,37점,4.0점,부산국제금융센터 | 순두부   카레순두부,부산광역시 남구 문현동 1229-1 
아부라소바 부산,36점,5.0점,부산남구 | 차슈   아부라소바,부산광역시 남구 문현동 1229-1 
롯데리아,36점,3.6점,문현동 | 햄버거   버거,부산광역시 남구 문현동 404-1 롯데리아 
꾸이점빵,36점,5.0점,문현동 | 소고기   빵,부산광역시 남구 문현동 1234 
남지라면천국,36점,4.0점,문현동 | 라면   해장라면,부산광역시 남구 문현동 744-8 
가원밥상,35점,4.0점,문현동 | 아구찜   아구수육,부산광역시 남구 문현동 205-75 
칠성식당 본점,35점,4.0점,문현동 | 곱창집   곱창,부산시 남구 문현동 837-2 
보타닉 아덴,35점,3.2점,문현동 | 베이커리카페   아메리카노,부산광역시 남구 문현동 1227-2 IFC 부산판매시설 B1층 
신불떡볶이,34점,5.0점,문현동 | 떡볶이   불떡볶이,부산광역시 남구 문현동 444-9 
방콕식당,34점,5.0점,부산남구 | 태국음식   볶음밥,부산광역시 남구 문현동 786-2 
풀이랑 샐러드,34점,5.0점,문현동 | 샐러드   연어포케,부산광역시 남구 문현동 1229-1 bifc몰 203호 
와사비 문현점,34점,5.0점,문현동 | 꼬막정식   꼬막요리,부산광역시 남구 문현동 244-8 
블루샥 문현점,34점,5.0점,문현동 | 카페   디저트,부산광역시 남구 문현동 1229-1 국제금융센터 A동 112호 
호랭이국수,34점,리뷰없음,문현동 | 고기국수   국수,부산 남구 문현동 901-4 
민속촌,33점,리뷰없음,문현동 | 수육   김치,부산광역시 남구 문현동 763-9 
칠성식당 2호점,33점,리뷰없음,문현동 | 곱창   양념곱창,부산광역시 남구 문현동 862-1 
유가네,33점,4.0점,문현동 | 닭갈비   철판볶음밥,부산광역시 남구 문현동 205-64 
전설의돈바베큐,33점,4.0점,문현동 | 돼지고기바베큐   고기집,부산 남구 문현동 244-17 
대박집,33점,3.0점,문현동 | 물회   모듬물회,부산광역시 남구 문현동 734-10 
동천칼국수,32점,리뷰없음,문현동 | 손칼국수   칼국수,부산광역시 남구 문현동 780-11 
백두포차,32점,5.0점,문현동 | 포차   닭도리탕,부산광역시 남구 문현동 41 한양아파트상가 6-114호 
카페도담,32점,4.0점,문현동 | 와플   카페,부산광역시 남구 문현동 244-5 
연일곱창,32점,리뷰없음,문현동 | 곱창   돼지곱창,부산광역시 남구 문현동 837-3 연일곱창 
텐퍼센트커피 문현금융단지점,32점,4.0점,부산 | 커피   카페,부산광역시 남구 문현동 1229-1 A동 1층 120호 
구이연가,32점,리뷰없음,문현동 | 구이   더덕구이,부산광역시 남구 문현동 244-1 
성해루,32점,3.0점,문현동 | 중국집   간짜장,부산광역시 남구 문현동 744-2 
베리라이스,32점,4.0점,문현동 | 김밥   치즈계란말이,부산광역시 남구 문현동 1229-1 
퍼니사이공,32점,4.0점,문현동 | 쌀국수   퍼보,부산광역시 남구 문현동 1229-1 
어오케이커피 문현금융단지점,32점,5.0점,부산 | 커피   아인슈페너,부산광역시 남구 문현동 1229-1 
홍스쭈꾸미 문현점,32점,3.0점,문현동 | 쭈삼   쭈꾸미,부산광역시 남구 문현동 351-7 세영상가 
대구돼지국밥,32점,5.0점,문현동 | 곱창   돼지국밥,부산광역시 남구 문현동 866-12 
더도이종가집돼지국밥 문현점,32점,3.0점,문현동 | 돼지국밥   수육백반,부산시 남구 문현동 807-2 
소반,31점,리뷰없음,문현동 | 중화요리   짬뽕,부산광역시 남구 문현동 779-1 
대박집 물회,31점,리뷰없음,문현동 | 물회   우럭물회,부산광역시 남구 문현동 734-11 
만포장자연산횟집,31점,4.0점,문현동 | 횟집   자연산횟집,부산광역시 남구 문현동 205-39 
