Name,score,userscore,detail
모해나키친,54점,4.3점,온천천 | 파스타   콥샐러드,부산광역시 동래구 안락동 633-92 
스지고집,50점,5.0점,안락동 | 한식   스지수육,부산광역시 동래구 안락동 429-44 
먹음직 온천천점,49점,4.2점,온천천 | 돼지고기   된장술밥,부산광역시 동래구 안락동 632-124 
오프리르,48점,4.5점,온천천 | 고양이카페   아메리카노,부산광역시 동래구 안락동 632-117 
멜버른,48점,4.4점,온천천 | 브런치   찻집,부산광역시 동래구 안락동 631-57 1층 카페 멜버른 
코모도 테이블,46점,4.6점,온천천 | 샌드위치   아보카도샌드위치,부산광역시 동래구 안락동 632-109 
스크루테이프의 식탁,45점,4.4점,온천천 | 스테이크   봉골레파스타,부산광역시 동래구 안락동 632-112 
르쎄,45점,4.4점,온천천 | 케이크   아이스아메리카노,부산광역시 동래구 안락동 221-51 
아랑돈까스,44점,5.0점,안락동 | 돈까스   경양식,부산 동래구 안락동 717-2 
선우닭한마리,44점,4.0점,온천천 | 닭한마리,부산광역시 동래구 안락동 221-31 
탕비실,43점,4.0점,온천천 | 카페   에그타르트,부산광역시 동래구 안락동 633-80 
카페썬번,42점,4.7점,안락동 | 케이크   쿠키,부산광역시 동래구 안락동 430-39 
스타벅스 부산안락DT점,42점,4.0점,안락동 | 카페   라임에이드,부산광역시 동래구 안락동 256-4 
서서우동,41점,4.6점,서원시장 | 김밥   우동,부산광역시 동래구 안락동 426-50 
홀스앤타이거,41점,5.0점,온천천 | 카페   프렌치토스트,부산광역시 동래구 안락동 630-61 
지미지니팍 온천천점,41점,4.6점,온천천 | 마카롱   카페라떼,부산광역시 동래구 안락동 633-100 
어반플로우,41점,4.2점,온천천 | 카페   아메리카노,부산광역시 동래구 안락동 633-58 
유가네 온천천점,40점,5.0점,온천천 | 닭갈비   볶음밥,부산광역시 동래구 안락동 221-25 
월향당,40점,3.8점,온천천 | 한식디저트   전통차,부산광역시 동래구 안락동 631-59 2층 
폴,40점,4.7점,온천천 | 커피   카페,부산광역시 동래구 안락동 221-4 
파리바게트 안락서원,40점,4.5점,동래구 | 베이커리   빵집,부산광역시 동래구 안락동 425-54 
오복가 해물찜,39점,5.0점,안락동 | 아구찜   해물찜,부산광역시 동래구 안락동 630-26 
밤비공기 온천천,39점,5.0점,안락동 | 카페   디저트,부산광역시 동래구 안락동 221-37 
나고미,39점,5.0점,안락동 | 숙성회   초밥,부산광역시 동래구 안락동 426-45 
강초밥,38점,4.0점,온천천 | 스시   초밥,부산광역시 동래구 안락동 243-43 강초밥 
꼼시꼼사 온천천,38점,5.0점,안락동 | 카페,부산광역시 동래구 안락동 632-69 
금광루,38점,4.7점,안락동 | 중국집   간짜장,부산광역시 동래구 안락동 670-11 
부바스,38점,4.8점,온천천 | 브런치   파스타,부산광역시 동래구 안락동 221-32 
부라보365,38점,4.5점,온천천 | 가정식   순두부찌개,부산광역시 동래구 안락동 630-58 
19burgertable,37점,4.6점,온천천 | 수제버거   버거,부산광역시 동래구 안락동 633-44 
돈돈뒷고기,37점,5.0점,부산동래 | 뒷고기   고기집,부산광역시 동래구 안락동 423-8 
채스우드,37점,4.5점,안락동 | 메밀국수   퓨전한식,부산광역시 동래구 안락동 221-57 
경성퀴진,37점,3.4점,온천천 | 파스타   명란파스타,부산광역시 동래구 안락동 221-41 
이에스시,37점,5.0점,온천천 | 초밥   스시,부산광역시 동래구 안락동 632-118 
도쿄규카츠,37점,5.0점,온천천 | 규카츠   치즈카츠,부산광역시 동래구 안락동 631-6 
