Name,score,userscore,detail
티원원,43점,4.3점,범어사 | 카페   소금빵,부산광역시 금정구 청룡동 230-1 
청송맷돌순두부,41점,4.7점,범어사 | 순두부찌개,부산광역시 금정구 청룡동 30-14 
더팜471,40점,3.6점,범어사 | 카페   아메리카노,부산광역시 금정구 청룡동 471-1 
얼크니손칼국수,40점,4.1점,범어사 | 손칼국수   샤브샤브,부산광역시 금정구 청룡동 32-18 
TEA1,38점,2.9점,범어사 | 루프탑   아메리카노,부산 금정구 청룡동 230-1 
감나무집,38점,4.0점,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 465-2 
오동통치킨,37점,5.0점,범어사 | 치킨   후라이드,부산광역시 금정구 청룡동 17-23 
산수갑산,37점,4.5점,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 489 
경주집,37점,리뷰없음,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 464 
원조 소문난손칼국수,34점,4.0점,범어사 | 칼국수   손칼국수,부산시 금정구 청룡동 61-17 
쉐이드,34점,2.0점,범어사 | 카페   연유라떼,부산광역시 금정구 청룡동 447 
손씨집,34점,4.0점,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 517-4 
12달이야기,34점,5.0점,범어사 | 머핀   팝콘,부산광역시 금정구 청룡동 58-1 
임진각식당,32점,리뷰없음,범어사 | 한식   소국밥,부산광역시 금정구 청룡동 129 
만도리,32점,리뷰없음,범어사 | 조개요리   조개칼국수,부산광역시 금정구 청룡동 634-7 
고려해장국,32점,0.0점,범어사 | 감자탕   해장국,부산광역시 금정구 청룡동 64-1 
유씨집,32점,4.0점,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 489 
이삭만두,32점,리뷰없음,범어사 | 만두   찐빵,부산광역시 금정구 청룡동 634-7 
로얄갤러리,32점,0.0점,범어사 | 갤러리카페   카페,부산광역시 금정구 청룡동 142-1 
가미아구찜,32점,4.0점,범어사 | 아구찜   해물아구찜,부산광역시 금정구 청룡동 632-3 
카페삼월삼일,32점,3.0점,부산금정구 | 브런치,부산광역시 금정구 청룡동 460 
하마정원,31점,4.0점,범어사 | 한우   생오리숯불구이,부산광역시 금정구 청룡동 208-1 
다옴,31점,4.0점,부산금정구 | 김밥   돈까스,부산광역시 금정구 청룡동 44-11 
옛날찐빵왕만두,31점,4.0점,금정구 | 왕만두   왕찐빵,부산광역시 금정구 청룡동 64-1 
카페위드,31점,리뷰없음,범어사 | 커피   카페,부산광역시 금정구 청룡동 124 
풀내음,31점,리뷰없음,범어사 | 한정식   버섯탕수,부산시 금정구 청룡동 202-4 
불막열삼 범어사점,31점,리뷰없음,범어사 | 막창   생막창,부산광역시 금정구 청룡동 30-6 
진주집,31점,리뷰없음,범어사 | 한정식   오리불고기,부산광역시 금정구 청룡동 468 
대나무집,31점,리뷰없음,범어사 | 오리요리,부산광역시 금정구 청룡동 483-1 
장보고회수산,31점,리뷰없음,부산 | 생선회   회비빔밥,부산광역시 금정구 청룡동 57-12 
범어사가야밀면,31점,리뷰없음,범어사 | 밀면   만두,부산광역시 금정구 청룡동 31-5 
풍년오리박사,31점,리뷰없음,범어사 | 오리고기   오리,부산광역시 금정구 청룡동 45-3 
팔송떡방아간,31점,리뷰없음,범어사 | 떡집   떡,부산광역시 금정구 청룡동 83-14 
예담,31점,리뷰없음,부산 | 한식,부산광역시 금정구 청룡동 33-2 
맥시칸치킨 남산점,31점,리뷰없음,부산금정구 | 치킨,부산광역시 금정구 청룡동 83-40 
청룡갈비,31점,리뷰없음,부산금정구 | 돼지갈비   갈비,부산광역시 금정구 청룡동 44-18 
감나무집,31점,리뷰없음,범어사 | 한식   부추,부산광역시 금정구 청룡동 100-2 
범어사청초집,31점,리뷰없음,범어사 | 백숙   오리불고기,부산광역시 금정구 청룡동 513 
대밭집,31점,리뷰없음,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 519 
둥지,31점,0.0점,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 436-2 
동산원,31점,리뷰없음,범어사 | 한식   오리불고기,부산광역시 금정구 청룡동 126-13 
토박이,15점,리뷰없음,범어사 | 닭요리   닭백숙,부산광역시 금정구 청룡동 487-7 
녹원,15점,리뷰없음,부산금정구 | 한식   오리구이,부산광역시 금정구 청룡동 487-6 
이모네국시,15점,리뷰없음,부산금정구 | 국시,부산광역시 금정구 청룡동 30-15 
BBQ치킨,15점,리뷰없음,범어사 | 자메이카   치킨,부산광역시 금정구 청룡동 50-15 
퇴근길회도매수산,15점,리뷰없음,범어사 | 생선회   방어,부산광역시 금정구 청룡동 50-1 
청초집,15점,리뷰없음,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 513 
원조조방낙지,15점,리뷰없음,부산 | 낙지요리,부산광역시 금정구 청룡동 50-31 
남산도매횟집,15점,리뷰없음,남산동 | 횟집   전어,부산광역시 금정구 청룡동 31-5 
동천장,15점,리뷰없음,금정구 | 한식   오리불고기,부산광역시 금정구 청룡동 633-15 
정류장분식,15점,리뷰없음,부산금정구 | 분식,부산광역시 금정구 청룡동 284-2 1층 분식 
그자리경양식,15점,리뷰없음,부산금정구 | 양식,부산광역시 금정구 청룡동 17-21 
미방,15점,리뷰없음,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 435-1 
컴포즈커피 범어사점,15점,리뷰없음,부산금정구 | 카페,부산광역시 금정구 청룡동 30-1 
장터식육도매식당,15점,리뷰없음,범어사 | 식육식당   항정살,부산광역시 금정구 청룡동 31-5 
카페더트리,15점,리뷰없음,금정구 | 카페   디저트,부산광역시 금정구 청룡동 45-3 
가야빈대떡,15점,리뷰없음,범어사 | 고기빈대떡   빈대떡,부산광역시 금정구 청룡동 17-23 
팔송식당,15점,리뷰없음,범어사 | 삼겹살   미나리,부산광역시 금정구 청룡동 22-13 
청운집,15점,리뷰없음,범어사 | 한식   옻오리,부산광역시 금정구 청룡동 633-6 
행복한찹쌀꽈배기,15점,리뷰없음,부산금정구 | 꽈배기   핫도그,부산광역시 금정구 청룡동 83-8 
청림,15점,리뷰없음,부산금정구 | 오리요리,부산광역시 금정구 청룡동 442-2 
명품호야김밥,15점,리뷰없음,범어사 | 분식   김밥,부산광역시 금정구 청룡동 17-25 1층(정룡동) 
범리단국수,15점,리뷰없음,부산금정구 | 국수   파전,부산광역시 금정구 청룡동 33-4 
커피베이 부산범어사점,15점,리뷰없음,범어사 | 카페   커피,부산광역시 금정구 청룡동 28-5 
시골보리밥,15점,리뷰없음,범어사 | 보리밥   팥칼국수,부산광역시 금정구 청룡동 59-9 
마당 국수,15점,리뷰없음,남산동 | 콩국수   꼬마김밥,부산광역시 금정구 청룡동 50-14 
숲카페,15점,리뷰없음,범어사 | 수제쿠키   카페,부산광역시 금정구 청룡동 2-5 
청와장,15점,리뷰없음,범어사 | 오리고기   오리불고기,부산광역시 금정구 청룡동 435-5 
하르,15점,리뷰없음,범어사 | 수제쿠키   카페,부산광역시 금정구 청룡동 435-2 
신의밥상,15점,리뷰없음,금정구 | 생오겹살   돔베고기,부산광역시 금정구 청룡동 632-5 
이디야커피 부산청룡점,15점,리뷰없음,부산금정구 | 아메리카노   토피넛라떼,부산광역시 금정구 청룡동 632-13 
금정산장,15점,리뷰없음,부산금정구 | 막걸리   파전,부산광역시 금정구 청룡동 산2-5 
힐링카페올,15점,리뷰없음,금정구 | 한방카페,부산광역시 금정구 청룡동 469 
어울림커피,15점,리뷰없음,범어사 | 카페   디저트,부산광역시 금정구 청룡동 22-17 
고래야,15점,리뷰없음,부산 | 고래고기   참치,부산광역시 금정구 청룡동 30-1 
청아,15점,리뷰없음,범어사 | 카페   카라멜마끼야또,부산광역시 금정구 청룡동 435-2 
토담,15점,리뷰없음,금정구 | 불고기정식   전복장,부산광역시 금정구 청룡동 632-10 
커피홀릭밥카페,15점,리뷰없음,범어사 | 필라프   커피,부산광역시 금정구 청룡동 439-1 
브릭필드,15점,리뷰없음,범어사 | 카페,부산광역시 금정구 청룡동 45-2 
카페 여리지,15점,리뷰없음,범어사 | 카페   홍차,부산광역시 금정구 청룡동 462-3 
둥지,15점,리뷰없음,부산금정구 | 오리요리   닭도리탕,부산광역시 금정구 청룡동 436-2 
목천,15점,리뷰없음,범어사 | 백숙   오리불고기,부산광역시 금정구 청룡동 466 
이디야커피 부산범어사역점,15점,리뷰없음,부산 | 카페,부산광역시 금정구 청룡동 8-1 협성엠파이어 102호, 103호 
부산 청룡동,score,userscore,detailsroca+
