Name,score,userscore,detail
포구나무집,50점,4.6점,금정구 | 숯불구이   양념구이,부산시 금정구 두구동 1153 
손영환 비빔국수,39점,5.0점,금정구 | 칼국수   비빔국수,부산시 금정구 두구동 601-6 
연잎밥전문점해오름,37점,5.0점,금정구 | 한식   연잎밥,부산광역시 금정구 두구동 1049-9 
부산갈매기,32점,리뷰없음,금정구 | 고기집   특수부위,부산광역시 금정구 두구동 491-1 
버드나무집,32점,리뷰없음,금정구 | 민물매운탕   추어탕,부산광역시 금정구 두구동 486-5 
금문,31점,3.0점,부산 | 중식당   찹쌀등심탕수육,부산광역시 금정구 두구동 307-3 
대봉루,31점,리뷰없음,금정구 | 중국집   왕짬뽕,부산광역시 금정구 두구동 226-6 
우리자리,31점,리뷰없음,금정구 | 보리밥   아구찜,부산광역시 금정구 두구동 299-1 
소리소리흑마늘돼지국밥,31점,리뷰없음,금정구 | 돼지국밥   흑마늘,부산광역시 금정구 두구동 493-8 
늘봄식당,31점,리뷰없음,부산 | 추어탕   빠가사리매운탕,부산광역시 금정구 두구동 486-4 
가미국수,31점,리뷰없음,금정구 | 국수   잔치국수,부산광역시 금정구 두구동 601-15 
뼈해장국,31점,리뷰없음,부산광역시 | 국밥,부산광역시 금정구 두구동 691 
우물정,31점,리뷰없음,금정구 | 곰탕,부산광역시 금정구 두구동 1150 
플라로드,31점,리뷰없음,부산금정구 | 카페   러스크,부산광역시 금정구 두구동 612-3 
파파정푸드,31점,리뷰없음,금정구 | 백반   가정식,부산광역시 금정구 두구동 669 
공원식당,31점,리뷰없음,부산 | 한식,부산광역시 금정구 두구동 657 
싱가생가,31점,리뷰없음,금정구 | 돼지고기   돼지숯불갈비,부산광역시 금정구 두구동 495 
이가야 칼국수왕만두,31점,리뷰없음,부산 | 칼국수   왕만두,부산광역시 금정구 두구동 601-4 
페리카나,15점,리뷰없음,부산 | 치킨   닭강정,부산광역시 금정구 두구동 230-3 
버디카페테리아,15점,리뷰없음,부산금정구 | 카페,부산광역시 금정구 두구동 1641 
마산왕돼지국밥,15점,리뷰없음,부산 | 돼지국밥   수육백반,부산광역시 금정구 두구동 907-1 
서씨네피자,15점,리뷰없음,부산금정구 | 피자   수제피자,부산광역시 금정구 두구동 1641 
올레이밥상,15점,리뷰없음,부산금정구 | 김치전골   순두부찌개,부산광역시 금정구 두구동 907-1 
한끼밥상,15점,리뷰없음,부산금정구 | 한식,부산광역시 금정구 두구동 1044-1 
카페567,15점,리뷰없음,부산 | 카페   크로플,부산광역시 금정구 두구동 491-17 
사계절 가야밀면,15점,리뷰없음,부산금정구 | 밀면,부산광역시 금정구 두구동 219-1 
노포수산,15점,리뷰없음,부산금정구 | 물회   회덮밥,부산광역시 금정구 두구동 186-1 
커피하루,15점,리뷰없음,부산금정구 | 카페   디저트,부산광역시 금정구 두구동 1641 
돌솥돌판아구찜,15점,리뷰없음,금정구 | 아구찜   돌솥,부산광역시 금정구 두구동 332-9 
국희찻집,15점,리뷰없음,부산금정구 | 찻집   찻집,부산광역시 금정구 두구동 121-3 
황궁,15점,리뷰없음,금정구 | 중식당   탕수육,부산광역시 금정구 두구동 601-14 
베네딕숑쌀피자쌀치킨 금정공원점,15점,리뷰없음,금정구 | 피자   치킨,부산광역시 금정구 두구동 1641 
모노카페,15점,리뷰없음,부산금정구 | 카페   커피,부산광역시 금정구 두구동 492-7 
두구동시래기,15점,리뷰없음,부산금정구 | 시래기국   시래기고등어조림,부산광역시 금정구 두구동 240-2 
용식이삼겹,15점,리뷰없음,부산금정구 | 삼겹살,부산광역시 금정구 두구동 702-3 
상황버섯칼국수,15점,리뷰없음,금정구 | 칼국수   버섯칼국수,부산광역시 금정구 두구동 601-31 
두구두구커피,15점,리뷰없음,부산금정구 | 로스팅   커피,부산광역시 금정구 두구동 509-5 
소문난보신탕,15점,리뷰없음,부산금정구 | 영양탕,부산광역시 금정구 두구동 1033 
태그커피,15점,리뷰없음,부산금정구 | 커피   카페,부산광역시 금정구 두구동 229 
한결같은마음,15점,리뷰없음,금정구 | 한식   돌솥알밥,부산광역시 금정구 두구동 1486-1 
직구나담양석갈비촌,15점,리뷰없음,부산금정구 | 고기집   돼지석갈비,부산광역시 금정구 두구동 600-3 
착한식당,15점,리뷰없음,부산금정구 | 한식,부산광역시 금정구 두구동 196-6 
부산시설공단 커피1호,15점,리뷰없음,부산금정구 | 카페   디저트,부산광역시 금정구 두구동 1494-1 
입구식당,15점,리뷰없음,부산금정구 | 한식   백반,부산광역시 금정구 두구동 1298-3 
내집 칼국수&죽,15점,리뷰없음,부산광역시 | 칼국수   죽요리,부산광역시 금정구 두구동 565-5 
내집팥&들깨칼국수,15점,리뷰없음,부산 | 칼국수   버섯칼국수,부산광역시 금정구 두구동 589-1 
선샤인,15점,리뷰없음,범어사 | 카페   연잎밥,부산광역시 금정구 두구동 1049-9 
다정뷔페,15점,리뷰없음,부산금정구 | 한식뷔페   한식,부산광역시 금정구 두구동 1641 
미림밥상,15점,리뷰없음,금정구 | 기사식당   한식뷔페,부산광역시 금정구 두구동 492-11 
이귀남손두부,15점,리뷰없음,금정구 | 두부요리   바지락순두부,부산광역시 금정구 두구동 601-3 
맘스터치 부산금정체육공원점,15점,리뷰없음,부산 | 버거   치킨,부산광역시 금정구 두구동 1641 
초량식당,15점,리뷰없음,금정구 | 한식,부산광역시 금정구 두구동 906-1 
복향수제돈까스,15점,리뷰없음,부산 | 밀면   돈까스,부산광역시 금정구 두구동 315-14 
신토불이백순대 부산두구점,15점,리뷰없음,부산금정구 | 순대   순댓국,부산광역시 금정구 두구동 1076-1 
동백식당,15점,리뷰없음,부산 | 한식,부산광역시 금정구 두구동 218-6 
미가면,15점,리뷰없음,부산 | 종합분식   콩국수,부산광역시 금정구 두구동 226-2 
더맛집,15점,리뷰없음,부산금정구 | 한식,부산광역시 금정구 두구동 1641 
부산 두구동,score,userscore,detailsroca+
