Name,score,userscore,detail
브라운핸즈 보수동,57점,4.4점,부산중구 | 카페   아메리카노,부산광역시 중구 보수동1가 116-16 
보수동가,45점,5.0점,남포동 | 카페   크로플,부산광역시 중구 보수동1가 116-100 
동화반점,44점,4.3점,남포동 | 중국집   유니짜장,부산시 중구 보수동2가 73-8 
새진주식당,43점,4.0점,부산 | 비빔밥   선지국,부산광역시 중구 보수동1가 77-6 
물꽁식당,43점,5.0점,남포동 | 아구찜   아구수육,부산시 중구 보수동2가 89-6 
인앤빈,42점,4.0점,남포동 | 커피   로스터리카페,부산시 중구 보수동 127-1 
용광횟집,40점,5.0점,부산 | 선어회   횟집,부산시 중구 보수동3가 62-5 
미도리우동,38점,5.0점,부산 | 우동   돌냄비우동,부산광역시 중구 보수동2가 105-5 
옥성반점,38점,4.0점,남포동 | 중식당   탕수육,부산광역시 중구 보수동1가 27-1 1층 
아테네학당,37점,5.0점,남포동 | 브런치   카페,부산광역시 중구 보수동1가 133-2 
한우뭉치,35점,4.0점,남포동 | 소고기   소고기구이,부산광역시 중구 보수동3가 24-1 
LAB,33점,4.0점,부산중구 | 카페   커피,부산광역시 중구 보수동2가 65-13 
대동냉면밀면,32점,4.0점,남포동 | 냉면   밀면,부산광역시 중구 보수동3가 77-2 
에그카페24,32점,3.0점,부산 | 무인카페   카페,부산광역시 중구 보수동1가 124-15 
보수구이,31점,리뷰없음,부산중구 | 오리고기   구이,부산광역시 중구 보수동3가 39-11 
두찜 부산보수점,31점,4.0점,부산 | 로제찜닭   찜닭,부산광역시 중구 보수동2가 74-9 
꿀꿀뒷고기,31점,리뷰없음,동아대 | 돼지고기   뒷고기,부산광역시 중구 보수동3가 73-7 
행운식당,31점,5.0점,남포동 | 아구찜   해물찜,부산광역시 중구 보수동1가 101-4 
우리글방,31점,리뷰없음,남포동 | 카페   북카페,부산시 중구 보수동1가 133-2 
닭굽는마을,31점,리뷰없음,부산 | 치킨   치밥,부산광역시 중구 보수동1가 23-1 
미락정,31점,리뷰없음,부산 | 한식,부산광역시 중구 보수동3가 69-1 
장가국시,31점,리뷰없음,부산광역시 | 국수,부산광역시 중구 보수동3가 65-10 
보수맛집,31점,리뷰없음,부산광역시 | 한식,부산광역시 중구 보수동3가 70-25 
무꼬뭐꼬 떡볶이,31점,리뷰없음,부산중구 | 종합분식,부산광역시 중구 보수동3가 66-7 
