Name,score,userscore,detail
황제짬뽕,40점,5.0점,부산 | 중식당   통오징어튀김,부산광역시 강서구 지사동 1198-8 
노랑통닭 지사동점,40점,5.0점,부산 | 통닭   후라이드,부산광역시 강서구 지사동 1190-1 
연탄집,36점,5.0점,부산 | 돼지고기   닭목살구이,부산광역시 강서구 지사동 1188-8 
영진돼지국밥,33점,3.4점,부산 | 국밥   돼지국밥,부산광역시 강서구 지사동 1215-2 
쑝쑝돈까스 부산지사점,33점,4.0점,부산 | 돈까스   치즈돈까스,부산광역시 강서구 지사동 1188-16 
김밥일번지,32점,리뷰없음,부산 | 김밥   치즈떡볶이,부산광역시 강서구 지사동 1196-4 
외할매국시,32점,4.0점,부산강서구 | 국수   짬뽕순두부,부산광역시 강서구 지사동 1188-15 
해운대,31점,리뷰없음,부산강서구 | 물회   횟집,부산광역시 강서구 지사동 1195-2 
하얀집,31점,리뷰없음,부산 | 생대구탕   대구탕,부산광역시 강서구 지사동 1191-6 
불막열삼 지사점,31점,리뷰없음,부산 | 막창   생막창,부산광역시 강서구 지사동 1188-17 
더차이나,31점,리뷰없음,부산 | 중식당,부산광역시 강서구 지사동 1198-8 
경마장식당,31점,리뷰없음,부산 | 한식,부산광역시 강서구 지사동 1183-1 
삼겹파티,31점,리뷰없음,부산 | 돼지고기   대패삼겹,부산광역시 강서구 지사동 1194-4 
태림장어,31점,리뷰없음,부산 | 장어구이   장어,부산광역시 강서구 지사동 15-6 
정담,31점,리뷰없음,부산강서구 | 백반   한식,부산광역시 강서구 지사동 1191-3 
통뼈감자탕,31점,리뷰없음,부산 | 감자탕   통뼈감자탕,부산광역시 강서구 지사동 1192-6 
본가김해뒷고기,31점,리뷰없음,부산강서구 | 고기집   뒷통구이,부산광역시 강서구 지사동 1190-13 
원조명태본가,31점,리뷰없음,부산 | 한식   명태조림,부산광역시 강서구 지사동 1215-2 지사복합상가B동101호 
복돼지국밥,31점,리뷰없음,부산 | 돼지국밥   얼큰국밥,부산광역시 강서구 지사동 1191-8 
한양족발보쌈,31점,리뷰없음,부산 | 보쌈   족발,부산광역시 강서구 지사동 1187-2 
황금어장,31점,리뷰없음,부산 | 횟집   모듬회,부산광역시 강서구 지사동 1191-12 
우리네떡볶이,31점,리뷰없음,부산 | 분식   떡볶이,부산광역시 강서구 지사동 1197-1 
얼큰이차박사,31점,리뷰없음,부산 | 치킨   영계통구이,부산광역시 강서구 지사동 1194-6 
연화성,31점,리뷰없음,부산 | 중국집   황제짬뽕,부산광역시 강서구 지사동 1191-9 
가얏골감자탕 부산지사점,31점,리뷰없음,부산강서구 | 감자탕   우거지감자탕,부산광역시 강서구 지사동 1193-7 
신라해장국,31점,리뷰없음,부산,부산광역시 강서구 지사동 1195-3 
육대장,31점,리뷰없음,부산 | 찌개   전골,부산광역시 강서구 지사동 1195-2 
통영포차,31점,리뷰없음,부산 | 일식   생선회,부산광역시 강서구 지사동 1191-2 
맘스터치,15점,리뷰없음,부산 | 햄버거   버거,부산광역시 강서구 지사동 1186 
BHC치킨,15점,리뷰없음,부산 | 치킨   치즈볼,부산광역시 강서구 지사동 1184-1 
밥상머리,15점,리뷰없음,부산강서구 | 백반,부산광역시 강서구 지사동 1215-2 
달성돼지국밥,15점,리뷰없음,부산 | 돼지국밥   국밥,부산광역시 강서구 지사동 1189-1 
