Name,score,userscore,detail
태종대 암소한마당,33점,4.0점,태종대 | 갈비탕   왕갈비탕,부산시 영도구 동삼동 1013 
김재성베이커리카페,33점,2.0점,영도 | 베이커리카페,부산광역시 영도구 동삼동 332-14 2층 
오채담,33점,리뷰없음,영도 | 한식뷔페,부산광역시 영도구 동삼동 628-1 
도원참치물회,33점,2.8점,영도 | 물회   참치,부산광역시 영도구 동삼동 576 
부산집,33점,리뷰없음,태종대 | 조개구이   홍합탕,부산광역시 영도구 동삼동 1052 
우리이모집,33점,5.0점,태종대 | 조개구이   해물라면,부산광역시 영도구 동삼동 1052 
영도김가네쑥밀면,33점,3.2점,영도 | 손만두   밀면,부산광역시 영도구 동삼동 481 
금영돼지국밥,33점,4.0점,영도 | 국밥   돼지국밥,부산광역시 영도구 동삼동 510-2 
블루빈,32점,3.0점,태종대 | 카페   커피콩빵,부산광역시 영도구 동삼동 산29-1 
소문난큰집꼬리곰탕,32점,0.0점,영도 | 곰탕   꼬리찜,부산광역시 영도구 동삼동 341-12 
참나무삼겹살,32점,4.0점,영도 | 고기집   참나무삼겹살,부산광역시 영도구 동삼동 436-4 
카페 메이사,32점,4.0점,영도 | 디저트   카페,부산 영도구 동삼동 363-46 삼창파크타운 상가동 103호 
사천성,32점,5.0점,영도 | 중화요리   중국집,부산광역시 영도구 동삼동 510-26 경진빌딩 
동막골에오면,32점,4.0점,영도 | 갈비찜   묵은지김치찌개,부산광역시 영도구 동삼동 570-18 
호박터숯불촌,32점,0.0점,영도 | 돼지갈비   호박,부산광역시 영도구 동삼동 436 
울산댁만남,32점,5.0점,태종대 | 조개구이   버터새우구이,부산광역시 영도구 동삼동 1044-5 
블루빈카페,32점,4.0점,태종대 | 커피   카페,부산광역시 영도구 동삼동 산29-1 태종대전망대카페 
태종대 욜로조개구이,32점,2.8점,태종대 | 조개구이   키조개,부산광역시 영도구 동삼동 1051 
옛날곰탕,32점,4.0점,영도 | 곰탕,부산광역시 영도구 동삼동 328-10 
청송농원,32점,리뷰없음,영도 | 오리백숙   오리요리,부산 영도구 동삼동 226-76 
만소,32점,4.0점,영도 | 고기뷔페   소고기무한리필,부산광역시 영도구 동삼동 317-8 
동삼동 불짬뽕,32점,3.0점,영도 | 중식당   매운짬뽕,부산광역시 영도구 동삼동 323-171 
신염천하마라탕,31점,4.3점,부산영도 | 꿔바로우   마라탕,부산광역시 영도구 동삼동 1170 브라이튼1단지 상가 
가마솥보리밥정식,31점,5.0점,,부산시 영도구 동삼동 322-13 
해물손칼국수,31점,3.3점,영도 | 칼국수   해물칼국수,부산광역시 영도구 동삼동 230-56 
닥치라누나,31점,5.0점,,부산광역시 영도구 동삼동 산19-1 
동운횟집,31점,5.0점,영도 | 자연산회   횟집,부산광역시 영도구 동삼동 769-7 
영도물고기아저씨,31점,리뷰없음,영도 | 횟집   모듬회,부산광역시 영도구 동삼동 510-2 207호 
서울식당,31점,리뷰없음,부산영도 | 생선구이   생갈치조림,부산광역시 영도구 동삼동 983-6 
김해통닭,31점,리뷰없음,영도 | 치킨   통닭,부산광역시 영도구 동삼동 356-19 
카페 에이미,31점,2.0점,영도 | 카페   뻥튀기,부산 영도구 동삼동 325-228 한나라빌 2동 1층 101호 
조방낙지,31점,3.7점,영도 | 낙지   낙곱새,부산광역시 영도구 동삼동 231-25 
인생극장쪽갈비 영도점,31점,3.0점,부산 | 돼지고기,부산광역시 영도구 동삼동 588-22 
어울림밥상,31점,3.4점,영도 | 북한음식   한식뷔페,부산광역시 영도구 동삼동 516-1 
코야커피,31점,3.4점,영도 | 카페   디저트,부산광역시 영도구 동삼동 317-8 
코난조개구이,31점,리뷰없음,영도 | 조개구이,부산광역시 영도구 동삼동 1035-29 
진부령황태탕,31점,5.0점,영도 | 황태탕,부산광역시 영도구 동삼동 600-1 
북창동순두부 부산영도점,31점,5.0점,영도 | 순두부찌개   순두부,부산광역시 영도구 동삼동 332-14 
제주와홍돼지,31점,리뷰없음,영도 | 언양불고기   고기집,부산광역시 영도구 동삼동 448-4 
부산 동삼동,score,userscore,detailsroca+
